step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
48000,88,38,73,250,158,771,0.1450,0.0626,0.1203,0.4119,0.2603,3.5799,196,27,11,10,5,249,1.3976
49000,106,36,89,252,182,734,0.1594,0.0541,0.1338,0.3789,0.2737,3.5534,197,28,12,10,5,252,1.4048
50000,97,45,85,246,197,767,0.1448,0.0672,0.1269,0.3672,0.2940,3.5985,200,28,12,10,4,254,1.3858
51000,97,39,84,235,215,769,0.1448,0.0582,0.1254,0.3507,0.3209,3.6448,204,30,13,10,4,261,1.3908
52000,55,44,85,214,240,765,0.0862,0.0690,0.1332,0.3354,0.3762,3.8464,204,31,13,11,4,263,1.4030
53000,90,54,69,231,265,692,0.1269,0.0762,0.0973,0.3258,0.3738,3.7433,206,31,14,12,7,270,1.4556
54000,94,54,59,256,290,673,0.1248,0.0717,0.0784,0.3400,0.3851,3.7888,210,31,16,17,8,282,1.5177
55000,83,50,54,272,313,666,0.1075,0.0648,0.0699,0.3523,0.4054,3.8834,212,31,16,17,9,285,1.5263
56000,82,26,54,278,346,685,0.1043,0.0331,0.0687,0.3537,0.4402,3.9924,215,31,17,21,11,295,1.5831
57000,85,46,61,295,360,593,0.1004,0.0543,0.0720,0.3483,0.4250,3.9433,217,31,17,22,13,300,1.6100
58000,78,49,63,286,366,598,0.0926,0.0582,0.0748,0.3397,0.4347,3.9656,219,31,19,25,13,307,1.6384
59000,86,38,56,307,401,563,0.0968,0.0428,0.0631,0.3457,0.4516,4.0124,220,31,20,25,14,310,1.6516
60000,65,43,65,340,428,547,0.0691,0.0457,0.0691,0.3613,0.4548,4.0871,221,34,21,27,14,317,1.6719
61000,73,38,59,355,448,533,0.0750,0.0391,0.0606,0.3649,0.4604,4.0966,222,34,21,28,15,320,1.6875
62000,105,48,59,375,469,451,0.0994,0.0455,0.0559,0.3551,0.4441,3.9991,225,34,21,28,16,324,1.6914
63000,93,37,42,367,496,473,0.0899,0.0357,0.0406,0.3546,0.4792,4.0976,226,34,22,29,16,327,1.7003
64000,94,44,54,380,533,427,0.0851,0.0398,0.0489,0.3439,0.4824,4.0986,227,35,22,30,16,330,1.7061
