step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
108000,59,65,183,890,849,0,0.0288,0.0318,0.0894,0.4350,0.4150,4.1755
109000,77,84,213,877,795,0,0.0376,0.0411,0.1041,0.4286,0.3886,4.0894
110000,105,106,238,889,708,0,0.0513,0.0518,0.1163,0.4345,0.3460,3.9721
111000,124,131,278,862,651,0,0.0606,0.0640,0.1359,0.4213,0.3182,3.8724
112000,155,158,284,868,579,0,0.0758,0.0773,0.1389,0.4247,0.2833,3.7622
113000,184,189,315,852,506,0,0.0899,0.0924,0.1540,0.4164,0.2473,3.6388
114000,214,221,351,837,419,0,0.1048,0.1082,0.1719,0.4099,0.2052,3.5024
115000,218,203,355,801,408,38,0.1098,0.1023,0.1788,0.4035,0.2055,3.4927
116000,140,174,336,781,449,95,0.0745,0.0926,0.1787,0.4154,0.2388,3.6516
117000,135,167,348,784,475,91,0.0707,0.0875,0.1823,0.4107,0.2488,3.6794
118000,93,154,325,776,511,132,0.0500,0.0828,0.1748,0.4174,0.2749,3.7843
119000,95,143,317,749,536,147,0.0516,0.0777,0.1723,0.4071,0.2913,3.8087
120000,96,127,295,746,559,164,0.0527,0.0697,0.1618,0.4092,0.3066,3.8475
121000,100,123,273,761,581,141,0.0544,0.0669,0.1485,0.4140,0.3161,3.8705
122000,86,100,248,739,623,181,0.0479,0.0557,0.1381,0.4115,0.3469,3.9538
123000,79,81,241,756,662,159,0.0434,0.0445,0.1325,0.4156,0.3639,4.0121
124000,62,60,221,758,676,181,0.0349,0.0338,0.1244,0.4266,0.3804,4.0838
125000,61,43,201,758,728,194,0.0341,0.0240,0.1122,0.4232,0.4065,4.1441
126000,58,38,165,750,757,201,0.0328,0.0215,0.0933,0.4242,0.4282,4.1934
127000,22,34,152,712,818,209,0.0127,0.0196,0.0875,0.4097,0.4707,4.3061
128000,15,25,153,738,904,158,0.0082,0.0136,0.0834,0.4022,0.4926,4.3575
129000,12,23,112,711,957,165,0.0066,0.0127,0.0617,0.3917,0.5273,4.4204
130000,12,28,85,689,1010,153,0.0066,0.0154,0.0466,0.3777,0.5537,4.4567
131000,2,22,77,712,1065,119,0.0011,0.0117,0.0410,0.3791,0.5671,4.4995
132000,0,8,53,690,1090,150,0.0000,0.0043,0.0288,0.3748,0.5921,4.5546
133000,0,5,51,676,1132,136,0.0000,0.0027,0.0274,0.3627,0.6073,4.5746
134000,0,6,70,657,1179,90,0.0000,0.0031,0.0366,0.3436,0.6166,4.5737
135000,0,3,75,642,1254,53,0.0000,0.0015,0.0380,0.3252,0.6353,4.5942
136000,0,4,77,626,1278,32,0.0000,0.0020,0.0388,0.3154,0.6438,4.6010
137000,0,7,83,656,1298,0,0.0000,0.0034,0.0406,0.3209,0.6350,4.5876
138000,0,14,113,693,1226,0,0.0000,0.0068,0.0552,0.3387,0.5992,4.5303
139000,2,18,129,730,1168,0,0.0010,0.0088,0.0630,0.3566,0.5706,4.4871
140000,4,26,147,772,1098,0,0.0020,0.0127,0.0718,0.3771,0.5364,4.4333
141000,9,43,172,780,1037,0,0.0044,0.0211,0.0843,0.3822,0.5081,4.3684
142000,19,62,201,824,941,0,0.0093,0.0303,0.0982,0.4025,0.4597,4.2731
143000,26,67,226,857,867,0,0.0127,0.0328,0.1106,0.4195,0.4244,4.2100
144000,30,96,269,870,782,0,0.0147,0.0469,0.1314,0.4250,0.3820,4.1128
145000,41,118,296,876,714,0,0.0200,0.0577,0.1447,0.4284,0.3491,4.0289
146000,59,137,332,862,655,0,0.0289,0.0670,0.1623,0.4215,0.3203,3.9374
147000,83,161,367,885,551,0,0.0405,0.0787,0.1793,0.4323,0.2692,3.8109
148000,103,195,402,873,470,0,0.0504,0.0954,0.1968,0.4273,0.2301,3.6911
149000,141,231,428,850,397,0,0.0689,0.1128,0.2091,0.4152,0.1939,3.5525
