step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
91000,11,26,174,904,926,3,0.0054,0.0127,0.0853,0.4429,0.4537,4.3268
92000,13,34,178,921,878,18,0.0064,0.0168,0.0879,0.4550,0.4338,4.2930
93000,15,32,174,918,852,36,0.0075,0.0161,0.0874,0.4611,0.4279,4.2858
94000,13,35,180,929,850,26,0.0065,0.0174,0.0897,0.4629,0.4235,4.2795
95000,14,37,185,927,837,33,0.0070,0.0185,0.0925,0.4635,0.4185,4.2680
96000,18,48,211,915,824,19,0.0089,0.0238,0.1047,0.4539,0.4087,4.2297
97000,6,48,196,895,846,41,0.0030,0.0241,0.0984,0.4495,0.4249,4.2692
98000,6,33,196,898,869,34,0.0030,0.0165,0.0979,0.4486,0.4341,4.2942
99000,7,32,188,855,882,48,0.0036,0.0163,0.0957,0.4353,0.4491,4.3101
100000,8,32,172,847,901,63,0.0041,0.0163,0.0878,0.4321,0.4597,4.3270
101000,12,30,151,844,919,63,0.0061,0.0153,0.0772,0.4315,0.4698,4.3436
102000,11,18,145,808,935,90,0.0057,0.0094,0.0756,0.4215,0.4877,4.3761
103000,9,19,137,832,971,53,0.0046,0.0097,0.0696,0.4228,0.4934,4.3908
104000,11,20,138,808,982,58,0.0056,0.0102,0.0704,0.4125,0.5013,4.3936
105000,9,19,120,794,992,78,0.0047,0.0098,0.0620,0.4105,0.5129,4.4173
106000,4,16,122,781,1028,68,0.0021,0.0082,0.0625,0.4003,0.5269,4.4418
107000,6,16,131,782,1059,41,0.0030,0.0080,0.0657,0.3922,0.5311,4.4403
108000,6,18,109,764,1067,56,0.0031,0.0092,0.0555,0.3890,0.5433,4.4603
109000,7,18,102,753,1091,61,0.0036,0.0091,0.0518,0.3820,0.5535,4.4729
110000,8,19,101,758,1101,47,0.0040,0.0096,0.0508,0.3815,0.5541,4.4721
111000,8,14,94,761,1116,35,0.0040,0.0070,0.0472,0.3818,0.5600,4.4867
112000,9,16,98,773,1117,23,0.0045,0.0079,0.0487,0.3840,0.5549,4.4769
113000,11,15,102,773,1111,25,0.0055,0.0075,0.0507,0.3842,0.5522,4.4702
114000,14,17,130,799,1066,17,0.0069,0.0084,0.0642,0.3944,0.5262,4.4245
115000,15,21,128,811,1058,4,0.0074,0.0103,0.0630,0.3989,0.5204,4.4147
116000,20,27,148,834,1012,2,0.0098,0.0132,0.0725,0.4086,0.4958,4.3675
117000,26,46,161,854,954,1,0.0127,0.0225,0.0789,0.4184,0.4674,4.3052
118000,33,62,183,888,873,4,0.0162,0.0304,0.0897,0.4355,0.4282,4.2290
119000,45,73,213,894,818,1,0.0220,0.0357,0.1043,0.4376,0.4004,4.1586
120000,56,85,239,895,769,1,0.0274,0.0416,0.1169,0.4379,0.3762,4.0939
121000,68,100,248,898,727,6,0.0333,0.0490,0.1215,0.4400,0.3562,4.0367
