step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
118000,20,40,214,815,953,3,0.0098,0.0196,0.1048,0.3991,0.4667,4.2933
119000,27,58,250,818,886,3,0.0132,0.0284,0.1226,0.4012,0.4345,4.2153
120000,15,67,258,820,849,24,0.0075,0.0333,0.1284,0.4082,0.4226,4.2051
121000,15,57,240,808,844,63,0.0076,0.0290,0.1222,0.4114,0.4297,4.2266
122000,16,51,244,754,880,69,0.0082,0.0262,0.1254,0.3877,0.4524,4.2499
123000,18,47,229,716,912,89,0.0094,0.0245,0.1191,0.3725,0.4745,4.2784
124000,5,44,232,717,954,68,0.0026,0.0225,0.1189,0.3673,0.4887,4.3171
125000,2,15,225,701,993,77,0.0010,0.0077,0.1162,0.3621,0.5129,4.3781
126000,2,10,203,697,996,100,0.0010,0.0052,0.1064,0.3653,0.5220,4.4020
127000,2,6,166,703,1047,99,0.0010,0.0031,0.0863,0.3654,0.5442,4.4485
128000,2,8,139,735,1058,76,0.0010,0.0041,0.0716,0.3785,0.5448,4.4619
129000,6,8,126,729,1093,56,0.0031,0.0041,0.0642,0.3716,0.5571,4.4755
130000,6,8,120,736,1133,31,0.0030,0.0040,0.0599,0.3674,0.5657,4.4888
131000,2,8,130,751,1128,19,0.0010,0.0040,0.0644,0.3720,0.5587,4.4834
132000,4,4,122,742,1117,45,0.0020,0.0020,0.0613,0.3731,0.5616,4.4902
133000,7,7,126,757,1126,16,0.0035,0.0035,0.0623,0.3742,0.5566,4.4770
134000,6,9,117,765,1113,21,0.0030,0.0045,0.0582,0.3806,0.5537,4.4776
135000,7,11,127,776,1091,28,0.0035,0.0055,0.0631,0.3857,0.5422,4.4578
136000,9,8,133,808,1070,12,0.0044,0.0039,0.0656,0.3984,0.5276,4.4408
137000,13,11,127,819,1066,6,0.0064,0.0054,0.0624,0.4023,0.5236,4.4312
138000,9,11,149,817,1034,20,0.0045,0.0054,0.0738,0.4045,0.5119,4.4139
139000,8,9,143,827,1016,25,0.0040,0.0045,0.0714,0.4129,0.5072,4.4149
140000,8,10,151,801,1035,21,0.0040,0.0050,0.0753,0.3995,0.5162,4.4190
141000,7,9,147,794,1041,37,0.0035,0.0045,0.0736,0.3974,0.5210,4.4279
142000,3,10,164,816,1035,13,0.0015,0.0049,0.0809,0.4024,0.5104,4.4152
143000,3,16,194,846,987,1,0.0015,0.0078,0.0948,0.4135,0.4824,4.3675
144000,3,23,220,862,934,1,0.0015,0.0113,0.1077,0.4221,0.4574,4.3227
145000,3,22,194,859,934,26,0.0015,0.0109,0.0964,0.4269,0.4642,4.3415
146000,4,23,183,850,918,48,0.0020,0.0116,0.0925,0.4297,0.4641,4.3423
147000,4,26,183,860,932,33,0.0020,0.0130,0.0913,0.4289,0.4648,4.3416
148000,5,31,184,834,935,41,0.0025,0.0156,0.0925,0.4193,0.4701,4.3389
149000,6,32,195,820,969,17,0.0030,0.0158,0.0964,0.4055,0.4792,4.3422
150000,8,37,194,829,944,20,0.0040,0.0184,0.0964,0.4120,0.4692,4.3241
150000,8,37,194,829,944,20,0.0040,0.0184,0.0964,0.4120,0.4692,4.3241
