step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
101000,1,5,65,749,1050,132,0.0005,0.0027,0.0348,0.4005,0.5615,4.5198
102000,1,5,57,766,1090,94,0.0005,0.0026,0.0297,0.3992,0.5680,4.5315
103000,1,7,61,773,1117,62,0.0005,0.0036,0.0311,0.3946,0.5702,4.5304
104000,2,7,62,778,1153,29,0.0010,0.0035,0.0310,0.3886,0.5759,4.5350
105000,2,4,64,796,1154,14,0.0010,0.0020,0.0317,0.3941,0.5713,4.5327
106000,2,4,72,813,1152,1,0.0010,0.0020,0.0352,0.3979,0.5639,4.5218
107000,5,8,95,841,1093,0,0.0024,0.0039,0.0465,0.4119,0.5353,4.4736
108000,7,13,128,874,1022,1,0.0034,0.0064,0.0626,0.4276,0.5000,4.4144
109000,13,14,158,895,965,0,0.0064,0.0068,0.0773,0.4377,0.4719,4.3619
110000,16,24,203,932,870,0,0.0078,0.0117,0.0993,0.4557,0.4254,4.2792
111000,20,32,242,938,813,0,0.0098,0.0156,0.1183,0.4587,0.3976,4.2186
112000,30,44,278,948,745,1,0.0147,0.0215,0.1359,0.4636,0.3643,4.1413
113000,16,48,263,956,731,20,0.0079,0.0238,0.1306,0.4747,0.3630,4.1609
114000,16,53,265,957,732,17,0.0079,0.0262,0.1310,0.4731,0.3618,4.1547
115000,19,58,283,938,725,10,0.0094,0.0287,0.1399,0.4637,0.3584,4.1330
116000,25,74,311,931,703,1,0.0122,0.0362,0.1522,0.4555,0.3439,4.0827
117000,38,98,351,922,636,0,0.0186,0.0479,0.1716,0.4509,0.3110,3.9878
118000,54,131,388,899,573,0,0.0264,0.0641,0.1897,0.4396,0.2802,3.8831
119000,73,164,430,863,515,0,0.0357,0.0802,0.2103,0.4220,0.2518,3.7741
120000,94,185,486,850,430,1,0.0460,0.0905,0.2377,0.4156,0.2103,3.6538
121000,126,216,521,817,366,0,0.0616,0.1056,0.2546,0.3993,0.1789,3.5283
122000,154,247,555,773,317,0,0.0753,0.1207,0.2713,0.3778,0.1549,3.4164
123000,185,288,597,721,257,0,0.0903,0.1406,0.2915,0.3521,0.1255,3.2817
124000,232,344,625,652,193,1,0.1134,0.1681,0.3055,0.3187,0.0943,3.1124
125000,167,290,609,642,199,95,0.0876,0.1521,0.3193,0.3367,0.1044,3.2181
126000,116,264,547,666,220,160,0.0640,0.1456,0.3017,0.3673,0.1213,3.3365
127000,97,230,506,688,251,198,0.0547,0.1298,0.2856,0.3883,0.1416,3.4323
128000,79,169,495,711,291,225,0.0453,0.0968,0.2837,0.4074,0.1668,3.5536
129000,78,134,459,726,298,230,0.0460,0.0791,0.2708,0.4283,0.1758,3.6088
130000,74,121,431,726,332,258,0.0439,0.0719,0.2559,0.4311,0.1971,3.6657
131000,57,107,400,724,353,301,0.0347,0.0652,0.2438,0.4412,0.2151,3.7367
132000,42,91,359,761,391,291,0.0255,0.0554,0.2184,0.4629,0.2378,3.8321
