step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
85000,63,68,196,729,885,1,0.0325,0.0350,0.1010,0.3756,0.4560,4.1875,5,11,18,32,36,102,3.8137
86000,73,81,231,735,830,8,0.0374,0.0415,0.1185,0.3769,0.4256,4.1118,3,9,16,27,28,83,3.8193
87000,55,74,251,709,839,19,0.0285,0.0384,0.1302,0.3677,0.4352,4.1426,3,9,13,29,33,87,3.9195
88000,13,64,223,717,833,72,0.0070,0.0346,0.1205,0.3876,0.4503,4.2395,5,8,13,32,37,95,3.9263
89000,9,66,213,739,873,36,0.0047,0.0347,0.1121,0.3889,0.4595,4.2637,4,8,13,32,38,95,3.9684
90000,7,46,192,758,890,39,0.0037,0.0243,0.1014,0.4004,0.4702,4.3090,4,7,13,32,38,94,3.9894
91000,3,42,201,782,892,23,0.0016,0.0219,0.1047,0.4073,0.4646,4.3115,4,7,10,36,36,93,4.0000
92000,3,44,198,771,900,27,0.0016,0.0230,0.1033,0.4024,0.4697,4.3158,4,7,10,38,35,94,3.9894
93000,5,38,200,789,904,15,0.0026,0.0196,0.1033,0.4075,0.4669,4.3166,3,7,11,36,35,92,4.0109
94000,5,49,229,804,868,1,0.0026,0.0251,0.1171,0.4113,0.4440,4.2691,3,7,8,30,41,89,4.1124
95000,7,56,252,815,827,1,0.0036,0.0286,0.1288,0.4165,0.4226,4.2259,3,7,9,31,33,83,4.0120
96000,8,80,278,817,786,2,0.0041,0.0406,0.1412,0.4149,0.3992,4.1646,4,5,8,32,25,74,3.9324
97000,15,106,320,804,732,1,0.0076,0.0536,0.1619,0.4067,0.3703,4.0784,4,4,6,30,20,64,3.9062
98000,21,105,290,790,717,41,0.0109,0.0546,0.1508,0.4108,0.3729,4.0801,3,4,7,27,20,61,3.9344
99000,24,113,283,792,736,27,0.0123,0.0580,0.1453,0.4066,0.3778,4.0796,1,3,7,26,22,59,4.1017
100000,24,108,290,781,727,40,0.0124,0.0560,0.1503,0.4047,0.3767,4.0772,1,4,8,26,25,64,4.0938
101000,29,74,266,783,767,46,0.0151,0.0386,0.1386,0.4080,0.3997,4.1386,1,4,7,29,31,72,4.1806
102000,19,79,246,780,762,54,0.0101,0.0419,0.1304,0.4136,0.4040,4.1596,1,4,11,29,30,75,4.1067
103000,19,72,235,789,784,42,0.0100,0.0379,0.1237,0.4155,0.4128,4.1833,1,4,11,34,33,83,4.1325
104000,16,61,232,796,826,23,0.0083,0.0316,0.1201,0.4122,0.4278,4.2196,1,3,13,34,33,84,4.1310
105000,17,68,229,819,820,7,0.0087,0.0348,0.1173,0.4194,0.4199,4.2069,1,3,11,35,33,83,4.1566
106000,25,83,251,833,777,0,0.0127,0.0422,0.1275,0.4231,0.3946,4.1447,1,2,10,34,29,76,4.1579
107000,38,96,275,845,722,0,0.0192,0.0486,0.1392,0.4276,0.3654,4.0714,2,1,9,29,27,68,4.1471
108000,54,118,314,846,659,0,0.0271,0.0593,0.1577,0.4249,0.3310,3.9734,2,0,6,25,21,54,4.1667
109000,74,144,335,844,598,0,0.0371,0.0722,0.1679,0.4231,0.2997,3.8762,2,1,5,22,20,50,4.1400
110000,90,180,357,842,521,0,0.0452,0.0905,0.1794,0.4231,0.2618,3.7658,3,1,5,29,19,57,4.0526
111000,120,216,378,830,455,0,0.0600,0.1081,0.1891,0.4152,0.2276,3.6423,2,1,6,24,12,45,3.9556
112000,158,266,416,781,388,0,0.0786,0.1324,0.2071,0.3888,0.1931,3.4853,1,1,4,20,11,37,4.0541
113000,187,311,445,743,329,0,0.0928,0.1543,0.2208,0.3687,0.1633,3.3553,2,2,5,15,9,33,3.8182
114000,232,346,478,680,270,0,0.1157,0.1725,0.2383,0.3390,0.1346,3.2044,5,3,9,15,7,39,3.4103
115000,296,391,514,633,178,0,0.1471,0.1943,0.2555,0.3146,0.0885,3.0030,4,3,10,14,4,35,3.3143
116000,342,435,549,540,143,0,0.1702,0.2165,0.2733,0.2688,0.0712,2.8542,5,3,11,15,2,36,3.1667
117000,411,515,523,460,106,0,0.2040,0.2556,0.2596,0.2283,0.0526,2.6700,5,5,7,13,2,32,3.0625
118000,461,576,503,392,85,0,0.2286,0.2856,0.2494,0.1943,0.0421,2.5359,4,6,6,11,2,29,3.0345
119000,523,618,502,329,52,0,0.2584,0.3053,0.2480,0.1625,0.0257,2.3918,2,8,4,7,2,23,2.9565
120000,594,682,444,272,31,0,0.2936,0.3371,0.2195,0.1345,0.0153,2.2407,2,9,6,4,1,22,2.6818
121000,669,749,394,193,22,0,0.3300,0.3695,0.1944,0.0952,0.0109,2.0873,1,9,6,3,0,19,2.5789
122000,758,753,367,144,7,0,0.3736,0.3711,0.1809,0.0710,0.0034,1.9596,3,6,7,3,0,19,2.5263
123000,851,764,306,105,4,0,0.4192,0.3764,0.1507,0.0517,0.0020,1.8409,5,6,5,2,0,18,2.2222
124000,961,769,238,65,3,0,0.4720,0.3777,0.1169,0.0319,0.0015,1.7132,6,4,2,0,0,12,1.6667
125000,1057,748,191,34,2,0,0.5202,0.3681,0.0940,0.0167,0.0010,1.6102,5,7,3,0,0,15,1.8667
126000,1154,727,140,13,1,0,0.5671,0.3572,0.0688,0.0064,0.0005,1.5160,7,3,2,0,0,12,1.5833
127000,1256,674,102,4,1,0,0.6166,0.3309,0.0501,0.0020,0.0005,1.4389,4,7,0,0,0,11,1.6364
128000,1354,610,68,4,0,0,0.6650,0.2996,0.0334,0.0020,0.0000,1.3723,7,4,0,0,0,11,1.3636
129000,1442,559,36,3,0,0,0.7069,0.2740,0.0176,0.0015,0.0000,1.3137,3,4,0,0,0,7,1.5714
130000,1533,484,23,0,0,0,0.7515,0.2373,0.0113,0.0000,0.0000,1.2598,6,2,0,0,0,8,1.2500
131000,1615,412,15,1,0,0,0.7905,0.2017,0.0073,0.0005,0.0000,1.2178,2,2,0,0,0,4,1.5000
132000,1692,342,9,1,0,0,0.8278,0.1673,0.0044,0.0005,0.0000,1.1776,2,1,0,0,0,3,1.3333
133000,1752,280,4,1,0,0,0.8601,0.1375,0.0020,0.0005,0.0000,1.1429,7,3,0,0,0,10,1.3000
134000,1797,239,4,0,0,0,0.8809,0.1172,0.0020,0.0000,0.0000,1.1211,4,4,0,0,0,8,1.5000
135000,1846,190,3,0,0,0,0.9053,0.0932,0.0015,0.0000,0.0000,1.0961,4,5,0,0,0,9,1.5556
136000,1885,152,1,0,0,0,0.9249,0.0746,0.0005,0.0000,0.0000,1.0756,8,1,0,0,0,9,1.1111
137000,1917,125,2,1,0,0,0.9374,0.0611,0.0010,0.0005,0.0000,1.0645,2,0,0,0,0,2,1.0000
138000,1933,104,2,0,0,0,0.9480,0.0510,0.0010,0.0000,0.0000,1.0530,7,0,0,0,0,7,1.0000
139000,1946,96,2,0,0,0,0.9521,0.0470,0.0010,0.0000,0.0000,1.0489,3,0,0,0,0,3,1.0000
140000,1950,90,2,0,0,0,0.9549,0.0441,0.0010,0.0000,0.0000,1.0460,5,0,0,0,0,5,1.0000
141000,1963,79,0,0,1,0,0.9608,0.0387,0.0000,0.0000,0.0005,1.0406,4,0,0,0,0,4,1.0000
142000,1967,68,0,0,2,0,0.9656,0.0334,0.0000,0.0000,0.0010,1.0373,11,0,0,0,0,11,1.0000
143000,1973,66,0,0,0,0,0.9676,0.0324,0.0000,0.0000,0.0000,1.0324,9,0,0,0,0,9,1.0000
144000,1985,55,0,0,0,0,0.9730,0.0270,0.0000,0.0000,0.0000,1.0270,8,0,0,0,0,8,1.0000
145000,1988,52,0,0,0,0,0.9745,0.0255,0.0000,0.0000,0.0000,1.0255,7,1,0,0,0,8,1.1250
146000,1978,61,1,0,0,0,0.9696,0.0299,0.0005,0.0000,0.0000,1.0309,8,0,0,0,0,8,1.0000
147000,1988,55,1,0,0,0,0.9726,0.0269,0.0005,0.0000,0.0000,1.0279,3,0,0,0,0,3,1.0000
148000,1995,46,0,1,0,0,0.9770,0.0225,0.0000,0.0005,0.0000,1.0240,6,0,0,0,0,6,1.0000
