step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
115000,4,5,75,808,992,117,0.0021,0.0027,0.0398,0.4289,0.5265,4.4751
116000,3,5,68,769,1052,99,0.0016,0.0026,0.0358,0.4054,0.5546,4.5087
117000,2,5,65,732,1108,94,0.0010,0.0026,0.0340,0.3828,0.5795,4.5371
118000,0,5,70,746,1152,54,0.0000,0.0025,0.0355,0.3781,0.5839,4.5433
119000,0,9,82,760,1193,1,0.0000,0.0044,0.0401,0.3718,0.5837,4.5347
120000,0,14,111,785,1135,0,0.0000,0.0068,0.0543,0.3839,0.5550,4.4870
121000,0,17,142,808,1074,0,0.0000,0.0083,0.0696,0.3959,0.5262,4.4400
122000,0,27,153,823,1040,0,0.0000,0.0132,0.0749,0.4028,0.5091,4.4077
123000,0,41,182,848,974,1,0.0000,0.0200,0.0890,0.4147,0.4763,4.3472
124000,0,45,184,867,943,5,0.0000,0.0221,0.0902,0.4252,0.4625,4.3281
125000,4,53,209,880,900,0,0.0020,0.0259,0.1022,0.4301,0.4399,4.2801
126000,8,66,252,905,813,0,0.0039,0.0323,0.1233,0.4428,0.3977,4.1981
127000,15,78,287,922,744,1,0.0073,0.0381,0.1403,0.4506,0.3636,4.1251
128000,24,100,313,918,691,0,0.0117,0.0489,0.1530,0.4487,0.3377,4.0518
129000,30,123,357,889,647,0,0.0147,0.0601,0.1745,0.4345,0.3162,3.9775
130000,45,149,406,872,574,0,0.0220,0.0728,0.1984,0.4262,0.2805,3.8705
131000,60,181,441,852,508,1,0.0294,0.0886,0.2160,0.4172,0.2488,3.7674
132000,74,213,470,833,455,0,0.0362,0.1042,0.2298,0.4073,0.2225,3.6758
133000,92,248,500,812,393,0,0.0450,0.1213,0.2445,0.3971,0.1922,3.5702
134000,121,292,531,765,336,0,0.0592,0.1428,0.2597,0.3741,0.1643,3.4416
135000,164,337,535,724,285,1,0.0802,0.1648,0.2616,0.3540,0.1394,3.3076
136000,201,389,559,673,224,0,0.0982,0.1901,0.2732,0.3289,0.1095,3.1613
137000,260,437,579,602,168,0,0.1271,0.2136,0.2830,0.2942,0.0821,2.9907
138000,311,502,597,519,117,0,0.1520,0.2454,0.2918,0.2537,0.0572,2.8187
139000,382,578,581,415,90,1,0.1867,0.2825,0.2840,0.2028,0.0440,2.6349
140000,458,636,564,336,53,0,0.2237,0.3107,0.2755,0.1641,0.0259,2.4577
141000,535,675,527,274,36,0,0.2614,0.3298,0.2574,0.1339,0.0176,2.3166
142000,640,716,483,190,18,0,0.3127,0.3498,0.2360,0.0928,0.0088,2.1353
143000,755,730,436,119,7,1,0.3688,0.3566,0.2130,0.0581,0.0034,1.9707
144000,568,627,395,125,13,203,0.3287,0.3628,0.2286,0.0723,0.0075,2.0671
145000,400,516,359,152,21,401,0.2762,0.3564,0.2479,0.1050,0.0145,2.2251
146000,300,423,335,187,28,556,0.2357,0.3323,0.2632,0.1469,0.0220,2.3873
147000,203,304,291,199,36,653,0.1965,0.2943,0.2817,0.1926,0.0348,2.5750
148000,132,227,269,216,55,677,0.1468,0.2525,0.2992,0.2403,0.0612,2.8165
149000,116,173,258,292,70,679,0.1276,0.1903,0.2838,0.3212,0.0770,3.0297
150000,49,132,246,327,91,691,0.0580,0.1562,0.2911,0.3870,0.1077,3.3302
150000,49,132,246,327,91,691,0.0580,0.1562,0.2911,0.3870,0.1077,3.3302
