step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
139000,30,40,180,683,1001,71,0.0155,0.0207,0.0931,0.3532,0.5176,4.3366
140000,26,35,178,664,1058,62,0.0133,0.0178,0.0908,0.3386,0.5395,4.3733
141000,10,37,179,657,1098,47,0.0050,0.0187,0.0904,0.3317,0.5543,4.4114
142000,10,31,168,652,1125,39,0.0050,0.0156,0.0846,0.3283,0.5665,4.4355
143000,10,34,181,668,1112,29,0.0050,0.0170,0.0903,0.3332,0.5546,4.4155
144000,11,36,180,673,1114,21,0.0055,0.0179,0.0894,0.3342,0.5531,4.4116
145000,3,33,189,674,1090,42,0.0015,0.0166,0.0950,0.3389,0.5480,4.4153
146000,4,32,200,702,1088,9,0.0020,0.0158,0.0987,0.3465,0.5370,4.4008
147000,6,49,258,717,1011,1,0.0029,0.0240,0.1264,0.3513,0.4953,4.3121
148000,6,55,264,747,944,21,0.0030,0.0273,0.1310,0.3705,0.4683,4.2738
149000,8,64,295,773,902,1,0.0039,0.0313,0.1445,0.3786,0.4417,4.2228
150000,11,62,295,779,882,10,0.0054,0.0306,0.1454,0.3839,0.4347,4.2119
150000,11,62,295,779,882,10,0.0054,0.0306,0.1454,0.3839,0.4347,4.2119
