step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
65000,4,21,129,669,769,334,0.0025,0.0132,0.0810,0.4202,0.4830,4.3681,0,0,0,0,0,0,0.0000
66000,2,7,109,678,797,320,0.0013,0.0044,0.0684,0.4256,0.5003,4.4193,0,0,0,0,0,0,0.0000
67000,1,3,87,667,841,315,0.0006,0.0019,0.0544,0.4171,0.5260,4.4659,0,0,0,0,0,0,0.0000
68000,0,1,91,649,904,276,0.0000,0.0006,0.0553,0.3945,0.5495,4.4930,0,0,0,0,0,0,0.0000
69000,4,5,88,663,964,226,0.0023,0.0029,0.0510,0.3846,0.5592,4.4954,0,0,0,0,0,0,0.0000
70000,0,1,85,654,1006,211,0.0000,0.0006,0.0487,0.3746,0.5762,4.5263,0,0,0,0,0,0,0.0000
71000,0,2,81,642,1081,179,0.0000,0.0011,0.0449,0.3555,0.5986,4.5515,0,0,0,0,0,0,0.0000
72000,0,4,68,667,1104,149,0.0000,0.0022,0.0369,0.3619,0.5990,4.5578,0,0,0,0,0,0,0.0000
73000,0,5,65,644,1139,147,0.0000,0.0027,0.0351,0.3475,0.6147,4.5742,0,0,0,0,0,0,0.0000
74000,0,5,62,630,1213,106,0.0000,0.0026,0.0325,0.3298,0.6351,4.5974,0,0,0,0,0,0,0.0000
75000,0,5,52,646,1237,78,0.0000,0.0026,0.0268,0.3330,0.6376,4.6057,0,0,0,0,0,0,0.0000
76000,0,9,62,669,1276,22,0.0000,0.0045,0.0308,0.3318,0.6329,4.5933,0,0,0,0,0,0,0.0000
77000,1,11,84,696,1248,1,0.0005,0.0054,0.0412,0.3412,0.6118,4.5583,0,0,0,0,0,0,0.0000
78000,4,19,101,701,1215,2,0.0020,0.0093,0.0495,0.3436,0.5956,4.5216,0,0,0,0,0,0,0.0000
79000,4,24,121,732,1158,5,0.0020,0.0118,0.0593,0.3590,0.5679,4.4792,0,0,0,0,0,0,0.0000
80000,8,35,139,756,1106,1,0.0039,0.0171,0.0680,0.3699,0.5411,4.4271,0,0,0,0,0,0,0.0000
81000,11,39,162,803,1028,1,0.0054,0.0191,0.0793,0.3930,0.5032,4.3696,0,0,0,0,0,0,0.0000
82000,9,35,169,781,1007,36,0.0045,0.0175,0.0845,0.3903,0.5032,4.3703,0,0,0,0,0,0,0.0000
83000,12,38,163,782,1005,30,0.0060,0.0190,0.0815,0.3910,0.5025,4.3650,0,0,0,0,0,0,0.0000
84000,11,34,140,777,1014,56,0.0056,0.0172,0.0709,0.3932,0.5132,4.3912,0,0,0,0,0,0,0.0000
85000,11,34,135,778,1070,9,0.0054,0.0168,0.0666,0.3836,0.5276,4.4112,0,0,0,0,0,0,0.0000
86000,12,39,149,791,1053,1,0.0059,0.0191,0.0729,0.3870,0.5152,4.3865,0,0,0,0,0,0,0.0000
87000,15,45,181,788,1011,2,0.0074,0.0221,0.0887,0.3863,0.4956,4.3407,0,0,0,0,0,0,0.0000
88000,24,50,205,797,956,5,0.0118,0.0246,0.1009,0.3922,0.4705,4.2849,0,0,0,0,0,0,0.0000
89000,25,54,172,775,964,40,0.0126,0.0271,0.0864,0.3894,0.4844,4.3060,0,0,0,0,0,0,0.0000
90000,25,40,171,763,974,43,0.0127,0.0203,0.0867,0.3867,0.4937,4.3284,0,0,0,0,0,0,0.0000
91000,22,42,178,766,1019,9,0.0109,0.0207,0.0878,0.3779,0.5027,4.3409,0,0,0,0,0,0,0.0000
92000,27,28,180,778,1003,18,0.0134,0.0139,0.0893,0.3859,0.4975,4.3403,0,0,0,0,0,0,0.0000
93000,24,26,186,761,1028,17,0.0119,0.0128,0.0919,0.3758,0.5077,4.3546,0,0,0,0,0,0,0.0000
94000,14,25,173,764,1019,33,0.0070,0.0125,0.0867,0.3830,0.5108,4.3779,0,0,0,0,0,0,0.0000
95000,15,16,169,765,1013,52,0.0076,0.0081,0.0854,0.3868,0.5121,4.3878,0,0,0,0,0,0,0.0000
96000,12,14,151,782,1046,31,0.0060,0.0070,0.0753,0.3900,0.5217,4.4145,0,0,0,0,0,0,0.0000
97000,13,17,146,790,1056,18,0.0064,0.0084,0.0722,0.3907,0.5223,4.4139,0,0,0,0,0,0,0.0000
98000,11,16,144,785,1041,28,0.0055,0.0080,0.0721,0.3931,0.5213,4.4166,0,0,0,0,0,0,0.0000
99000,13,16,136,786,1050,23,0.0065,0.0080,0.0680,0.3928,0.5247,4.4213,0,0,0,0,0,0,0.0000
100000,14,17,140,816,1025,22,0.0070,0.0084,0.0696,0.4056,0.5094,4.4021,0,0,0,0,0,0,0.0000
101000,5,16,133,798,1023,49,0.0025,0.0081,0.0673,0.4041,0.5180,4.4268,0,0,0,0,0,0,0.0000
102000,4,16,122,803,1034,46,0.0020,0.0081,0.0616,0.4058,0.5225,4.4386,0,0,0,0,0,0,0.0000
103000,5,18,129,805,1073,10,0.0025,0.0089,0.0635,0.3966,0.5286,4.4399,0,0,0,0,0,0,0.0000
104000,5,27,146,835,1033,0,0.0024,0.0132,0.0714,0.4081,0.5049,4.3998,0,0,0,0,0,0,0.0000
105000,9,33,195,854,953,0,0.0044,0.0161,0.0954,0.4178,0.4662,4.3253,0,0,0,0,0,0,0.0000
106000,14,38,228,896,870,0,0.0068,0.0186,0.1114,0.4379,0.4252,4.2561,0,0,0,0,0,0,0.0000
107000,18,56,261,899,812,0,0.0088,0.0274,0.1276,0.4394,0.3969,4.1882,0,0,0,0,0,0,0.0000
108000,31,78,295,903,737,0,0.0152,0.0382,0.1443,0.4418,0.3606,4.0944,0,0,0,0,0,0,0.0000
109000,50,91,334,920,653,0,0.0244,0.0444,0.1631,0.4492,0.3188,3.9937,0,0,0,0,0,0,0.0000
110000,64,117,371,935,559,0,0.0313,0.0572,0.1813,0.4570,0.2732,3.8837,0,0,0,0,0,0,0.0000
