step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
153000,b,245,247,0,247,0.4980,70,82,0,0,38520
154000,b,228,280,0,280,0.4488,76,92,0,0,38800
155000,b,278,232,0,232,0.5451,97,91,0,0,39032
156000,b,238,265,0,265,0.4732,92,102,0,0,39297
157000,b,220,270,0,270,0.4490,81,93,0,0,39567
158000,b,252,251,0,251,0.5010,98,82,0,0,39818
159000,b,233,255,0,255,0.4775,68,88,0,0,40073
160000,b,233,270,0,270,0.4632,75,87,0,0,40343
161000,b,248,260,0,260,0.4882,94,84,0,0,40603
162000,b,237,259,0,259,0.4778,78,92,0,0,40862
163000,b,266,239,0,239,0.5267,100,80,0,0,41101
164000,b,238,253,0,253,0.4847,83,79,0,0,41354
165000,b,255,254,0,254,0.5010,87,93,0,0,41608
166000,b,247,249,0,249,0.4980,91,81,0,0,41857
167000,b,251,257,0,257,0.4941,95,93,0,0,42114
168000,b,254,243,0,243,0.5111,88,94,0,0,42357
169000,b,266,244,0,244,0.5216,99,103,0,0,42601
170000,b,254,229,0,229,0.5259,89,79,0,0,42830
171000,b,239,264,0,264,0.4751,79,95,0,0,43094
172000,b,260,238,0,238,0.5221,98,72,0,0,43332
173000,b,256,240,0,240,0.5161,79,83,0,0,43572
174000,b,240,263,0,263,0.4771,81,87,0,0,43835
175000,b,260,237,0,237,0.5231,85,77,0,0,44072
176000,b,268,238,0,238,0.5296,90,84,0,0,44310
177000,b,243,255,0,255,0.4880,79,91,0,0,44565
178000,b,266,229,0,229,0.5374,87,73,0,0,44794
179000,b,251,257,0,257,0.4941,88,88,0,0,45051
180000,b,241,254,0,254,0.4869,75,91,0,0,45305
