arm,m,seed,res_f,res_s,ext_ev_f,ext_ev_s,phi0_cross,phi0_own,n_ext_samples,b_base,b_pair,b_dpair,min_cross_share,sp_overlap_exc,sp_drift_R,runlen_obs,runlen_null
para,8,16,1,1,47,21,0,0,1,2087,250,326,0.322,0.046,0.614,2.747,1.502
para,8,17,0,0,0,0,,,0,2151,242,270,0.210,0.133,0.834,2.799,1.490
para,8,18,0,0,0,0,,,0,2104,296,266,0.231,0.094,0.462,2.981,1.476
para,8,19,0,0,0,0,,,0,2087,308,268,0.196,0.053,0.611,2.695,1.489
para,8,20,2,0,80,0,0,0,2,2081,272,308,0.261,0.087,0.795,2.930,1.500
para,8,21,1,0,49,0,0,0,1,2180,256,228,0.174,0.144,0.573,2.819,1.448
para,8,22,2,0,551,0,0.071,0,14,2112,284,268,0.300,0.078,0.632,2.930,1.465
para,8,23,0,0,0,0,,,0,2132,276,256,0.210,0.082,0.733,2.913,1.516
para,8,24,2,0,155,0,0,0,4,2117,274,274,0.267,0.101,0.585,2.667,1.400
para,8,25,0,0,0,0,,,0,2154,250,260,0.222,0.073,0.715,2.828,1.519
para,8,26,1,1,52,62,0.333,0,3,2067,314,282,0.249,0.080,0.476,2.705,1.410
para,8,27,0,3,0,54,0,0,1,2131,276,256,0.269,0.126,0.628,2.814,1.451
para,8,28,1,0,265,0,0,0,7,2105,278,278,0.213,0.072,0.628,2.513,1.431
para,8,29,2,0,233,0,0,0,6,2048,298,318,0.263,0.068,0.801,2.421,1.421
para,8,30,5,0,168,0,0,0,5,2108,280,274,0.284,0.101,0.510,2.384,1.395
para,8,31,0,0,0,0,,,0,2163,262,238,0.189,0.112,0.582,3.076,1.457
para,8,32,1,2,65,141,0,0,6,2137,260,268,0.273,0.086,0.744,2.869,1.434
para,4,1,13,0,561,0,0.250,0,16,2887,944,964,0.472,0.010,0.127,2.149,1.361
para,4,2,11,0,372,0,0.100,0,10,2892,922,978,0.503,-0.010,0.113,2.206,1.386
para,4,3,5,0,152,0,0,0,4,2938,922,932,0.441,0.086,0.338,2.111,1.355
para,4,4,8,0,441,0,0.182,0,11,2910,966,918,0.476,0.007,0.320,1.931,1.338
para,4,5,9,0,181,0,0.333,0,3,2824,998,972,0.441,0.000,0.644,2.034,1.362
para,4,6,17,0,528,0,0,0,15,2865,940,990,0.459,0.038,0.176,1.969,1.341
para,4,7,13,2,595,116,0.100,0,20,2865,986,942,0.470,0.042,0.052,2.156,1.348
para,4,8,3,0,136,0,0.333,0,3,2836,950,1006,0.489,0.058,0.371,2.316,1.384
para,4,9,11,0,286,0,0.222,0,9,2897,916,976,0.449,0.099,0.203,1.946,1.355
para,4,10,10,0,231,0,0,0,6,2818,1014,958,0.452,0.038,0.350,1.907,1.366
para,4,11,14,2,504,65,0.118,0,17,2843,1014,936,0.446,0.047,0.383,2.066,1.341
para,4,12,15,0,595,0,0.188,0,16,2822,1024,946,0.441,0.078,0.262,1.874,1.330
para,4,13,12,0,462,0,0.273,0,11,2892,954,948,0.462,0.049,0.371,1.962,1.333
para,4,14,16,1,497,3,0.357,0,14,2885,960,950,0.437,0.062,0.160,2.016,1.338
para,4,15,17,0,513,0,0.231,0,13,2833,976,984,0.456,0.044,0.133,2.065,1.396
para,4,16,8,0,247,0,0.125,0,8,2836,980,976,0.468,0.079,0.520,1.989,1.373
para,4,17,14,0,487,0,0.083,0,12,2887,926,978,0.444,0.040,0.247,2.137,1.362
para,4,18,11,0,425,0,0,0,12,2836,976,980,0.463,0.062,0.306,2.003,1.366
para,4,19,12,0,256,0,0.333,0,6,2834,1046,914,0.445,0.046,0.338,2.201,1.370
para,4,20,7,1,307,37,0.100,0,10,2908,946,938,0.422,0.128,0.372,2.465,1.403
para,4,21,7,0,497,0,0.231,0,13,2877,964,952,0.446,0.039,0.094,2.373,1.411
para,4,22,14,1,343,3,0.100,0,10,2873,960,956,0.460,0.044,0.507,2.179,1.338
para,4,23,13,0,730,0,0.250,0,20,2929,882,982,0.486,0.073,0.426,2.100,1.349
para,4,24,1,1,59,9,0,0,2,2872,954,968,0.446,0.010,0.247,2.147,1.403
para,4,25,9,0,253,0,0,0,5,2864,998,930,0.488,0.072,0.103,2.307,1.357
para,4,26,6,0,347,0,0.182,0,11,2912,910,970,0.442,0.034,0.355,2.260,1.419
para,4,27,6,2,243,59,0.143,0,7,2843,1024,926,0.444,0.050,0.229,2.179,1.351
para,4,28,10,0,263,0,0,0,6,2871,938,976,0.457,0.018,0.286,2.236,1.351
para,4,29,7,0,153,0,0.250,0,4,2872,926,998,0.451,-0.006,0.158,1.906,1.332
para,4,30,9,1,586,31,0.176,0,17,2962,972,860,0.419,0.030,0.318,1.929,1.379
para,4,31,13,2,623,119,0.050,0,20,2969,924,896,0.461,0.050,0.290,2.216,1.359
para,4,32,9,1,212,8,0.143,0,7,2930,946,916,0.453,0.060,0.217,2.129,1.345
para,2,1,150,23,7655,352,0.160,0,212,4554,1710,1666,0.652,0.050,0.104,1.571,1.181
para,2,2,154,26,6695,438,0.121,0,190,4603,1562,1756,0.687,0.061,0.594,1.524,1.216
para,2,3,150,27,7259,392,0.163,0,208,4523,1760,1656,0.667,0.003,,1.583,1.260
para,2,4,126,19,7367,251,0.158,0,202,4652,1720,1546,0.637,0.020,0.239,1.464,1.243
para,2,5,163,25,8601,246,0.095,0,242,4763,1522,1622,0.713,0.038,,1.581,1.196
para,2,6,151,31,5898,434,0.179,0,173,4476,1708,1762,0.655,0.050,0.235,1.636,1.211
para,2,7,154,28,6206,416,0.151,0,185,4423,1750,1758,0.672,0.024,,1.651,1.196
para,2,8,180,15,8031,222,0.163,0,233,4604,1656,1666,0.685,0.062,,1.667,1.218
para,2,9,158,28,6825,460,0.199,0,191,4520,1782,1642,0.639,0.061,0.433,1.518,1.205
para,2,10,161,18,7894,212,0.167,0,215,4619,1650,1658,0.694,0.042,0.354,1.558,1.177
para,2,11,160,23,6233,390,0.186,0,177,4344,1764,1830,0.716,0.110,0.233,1.603,1.202
para,2,12,157,16,7990,166,0.140,0,222,4674,1594,1646,0.700,0.090,0.416,1.648,1.291
para,2,13,155,29,7984,343,0.121,0,232,4807,1508,1606,0.649,0.061,0.086,1.662,1.204
para,2,14,148,18,7440,217,0.181,0,210,4623,1618,1668,0.671,-0.005,0.104,1.453,1.206
para,2,15,143,19,6197,239,0.116,0,172,4329,1828,1766,0.686,0.107,0.452,1.373,1.221
para,2,16,145,14,6787,173,0.168,0,185,4560,1646,1718,0.672,0.056,0.626,1.583,1.195
para,2,17,155,32,7727,429,0.109,0,221,4706,1588,1630,0.682,0.125,0.451,1.598,1.183
para,2,18,170,17,8853,217,0.106,0,246,4843,1528,1554,0.664,0.086,,1.586,1.157
para,2,19,155,17,7053,130,0.185,0,189,4509,1762,1658,0.645,0.098,0.526,1.638,1.219
para,2,20,148,19,8918,252,0.169,0,249,4790,1604,1508,0.689,-0.006,,1.523,1.176
para,2,21,159,31,6648,444,0.166,0,193,4585,1592,1756,0.673,0.118,0.628,1.608,1.231
para,2,22,135,30,5175,370,0.195,0,149,4389,1716,1828,0.678,0.079,0.499,1.800,1.270
para,2,23,178,26,8205,227,0.175,0,217,4829,1540,1564,0.658,0.137,0.589,1.487,1.166
para,2,24,133,26,7194,293,0.142,0,190,4636,1632,1664,0.671,0.124,0.615,1.544,1.205
para,2,25,159,31,6925,489,0.184,0,196,4488,1772,1678,0.689,0.040,0.354,1.545,1.214
para,2,26,151,23,7506,272,0.142,0,204,4638,1652,1638,0.693,0.050,0.152,1.698,1.238
para,2,27,148,22,7829,310,0.185,0,216,4726,1580,1612,0.694,0.084,0.245,1.500,1.267
para,2,28,137,21,9597,377,0.152,0,270,4997,1576,1338,0.658,0.062,0.908,1.671,1.155
para,2,29,190,24,7917,241,0.152,0,217,4697,1574,1654,0.686,0.089,0.368,1.644,1.251
para,2,30,155,23,7874,276,0.160,0,225,4691,1626,1606,0.675,-0.035,,1.678,1.241
para,2,31,140,19,7827,398,0.154,0,221,4637,1656,1614,0.689,0.062,,1.707,1.219
para,2,32,137,20,6966,267,0.114,0,202,4601,1602,1718,0.690,0.065,,1.532,1.277
paraonly,8,1,1,0,22,0,0,0,1,2251,0,410,0.365,0.038,0.331,2.509,1.451
paraonly,8,2,0,0,0,0,,,0,2288,0,376,0.280,0.092,0.722,2.495,1.487
paraonly,8,3,1,0,80,0,0,0,2,2298,0,366,0.326,0.054,0.745,2.543,1.550
paraonly,8,4,0,0,0,0,,,0,2226,0,436,0.369,0.071,0.663,2.659,1.500
paraonly,8,5,1,0,118,0,0.333,0,3,2243,0,420,0.269,0.105,0.520,2.421,1.438
paraonly,8,6,0,0,0,0,,,0,2202,0,462,0.360,0.075,0.579,2.714,1.510
paraonly,8,7,0,0,0,0,,,0,2270,0,394,0.331,0.075,0.542,2.756,1.520
paraonly,8,8,3,0,163,0,0,0,5,2205,0,456,0.367,0.051,0.525,2.418,1.519
paraonly,8,9,1,1,94,8,0,0,2,2288,0,374,0.350,0.072,0.559,2.553,1.513
paraonly,8,10,1,0,130,0,0,0,3,2239,0,426,0.337,0.068,0.559,2.579,1.439
paraonly,8,11,2,0,55,0,0,0,2,2274,0,390,0.350,0.076,0.504,2.493,1.475
paraonly,8,12,0,0,0,0,,,0,2268,0,396,0.295,0.090,0.470,2.623,1.451
paraonly,8,13,2,0,84,0,0.500,0,2,2214,0,450,0.374,0.089,0.381,2.390,1.440
paraonly,8,14,1,0,111,0,0.333,0,3,2264,0,400,0.359,0.084,0.504,2.523,1.468
paraonly,8,15,1,0,84,0,0,0,2,2263,0,398,0.317,0.104,0.744,2.682,1.533
paraonly,8,16,0,2,0,160,0,0,4,2279,0,384,0.368,0.099,0.371,2.439,1.443
paraonly,8,17,1,0,38,0,0,0,1,2296,0,366,0.274,0.052,0.689,2.402,1.508
paraonly,8,18,2,0,84,0,0,0,2,2240,0,422,0.378,0.052,0.421,2.420,1.521
paraonly,8,19,1,0,30,0,0,0,1,2259,0,404,0.299,0.072,0.366,2.495,1.466
paraonly,8,20,1,1,26,169,0,0,4,2289,0,374,0.335,0.042,0.540,2.607,1.459
paraonly,8,21,0,0,0,0,,,0,2273,0,388,0.325,0.063,0.505,2.375,1.466
paraonly,8,22,1,0,1,0,,,0,2250,0,412,0.314,0.093,0.435,2.762,1.498
paraonly,8,23,0,0,0,0,,,0,2232,0,432,0.343,0.064,0.269,2.625,1.472
paraonly,8,24,0,0,0,0,,,0,2231,0,432,0.373,0.080,0.495,2.570,1.528
paraonly,8,25,0,0,0,0,,,0,2228,0,434,0.368,0.069,0.642,2.276,1.435
paraonly,8,26,0,0,0,0,,,0,2249,0,414,0.387,0.060,0.262,2.600,1.506
paraonly,8,27,0,0,0,0,,,0,2267,0,396,0.321,0.055,0.672,2.382,1.456
paraonly,8,28,3,0,85,0,0.500,0,2,2249,0,414,0.359,0.058,0.345,2.342,1.468
