arm,m,seed,tape_lastq,runmean_lastq
pair,2,10,9.475,3.160
pair,2,11,9.733,3.313
pair,2,12,1.860,1.895
pair,2,13,9.875,3.257
pair,2,14,9.225,3.051
pair,2,15,1.917,1.989
pair,2,16,9.633,2.984
pair,2,17,1.737,2.053
pair,2,18,1.875,1.918
pair,2,19,1.653,2.193
pair,2,20,1.870,1.971
pair,2,21,9.867,3.356
pair,2,22,1.930,1.958
pair,2,23,1.817,1.977
pair,2,24,1.890,1.876
pair,2,25,1.688,1.988
pair,2,26,1.677,2.005
pair,2,27,2.101,2.243
pair,2,28,8.583,2.975
pair,2,29,1.624,1.799
pair,2,30,1.804,1.874
pair,2,31,10.175,3.180
pair,2,32,2.000,1.979
pair,2,33,1.755,1.969
pair,2,34,1.833,1.917
pair,2,35,10.483,3.224
pair,2,36,1.854,1.960
pair,2,37,8.942,2.947
pair,2,38,1.758,1.887
pair,2,39,1.788,1.992
pair,2,40,1.758,2.091
pair,2,41,1.880,2.061
pair,2,42,1.793,2.053
pair,2,43,1.971,1.881
pair,2,44,1.979,2.020
pair,2,45,1.905,1.903
pair,2,46,1.753,2.070
pair,2,47,1.674,2.075
pair,2,48,1.870,1.935
pair,2,49,1.929,2.113
pair,2,50,9.733,3.015
pair,2,51,1.830,1.967
pair,2,52,9.583,3.279
pair,2,53,1.825,1.966
pair,2,54,1.596,1.942
pair,2,55,1.857,2.047
pair,2,56,9.192,3.115
pair,2,57,2.071,2.002
pair,2,58,2.170,1.945
pair,2,59,1.775,2.131
pair,2,60,10.225,3.143
pair,2,61,1.928,2.087
pair,2,62,1.868,2.069
pair,2,63,1.911,2.032
pair,2,64,1.981,1.952
pair,3,1,7.208,2.911
pair,3,2,14.450,4.401
pair,3,3,14.750,4.619
pair,3,4,7.733,3.082
pair,3,5,8.042,3.008
pair,3,6,8.700,3.134
pair,3,7,15.017,4.495
pair,3,8,6.375,2.962
pair,3,9,14.392,4.045
pair,3,10,14.667,4.400
pair,3,11,9.325,3.216
pair,3,12,15.317,4.713
pair,3,13,6.630,3.225
pair,3,14,6.093,3.070
pair,3,15,14.867,4.468
pair,3,16,14.917,4.376
pair,3,17,5.838,3.162
pair,3,18,7.941,2.906
pair,3,19,9.425,3.031
pair,3,20,7.642,3.205
pair,3,21,14.450,4.304
pair,3,22,8.872,3.138
pair,3,23,8.517,2.865
pair,3,24,9.983,2.865
pair,3,25,7.217,2.897
pair,3,26,7.292,3.088
pair,3,27,7.158,2.859
pair,3,28,8.275,3.062
pair,3,29,14.800,4.310
pair,3,30,7.178,3.005
pair,3,31,14.292,4.047
pair,3,32,8.183,2.980
pair,3,33,8.333,3.005
pair,3,34,14.867,4.676
pair,3,35,14.925,4.283
pair,3,36,14.633,4.261
pair,3,37,14.917,4.322
pair,3,38,14.758,4.281
pair,3,39,9.692,2.904
pair,3,40,8.792,2.981
pair,3,41,7.442,2.955
pair,3,42,9.175,3.070
pair,3,43,14.783,4.228
pair,3,44,14.633,4.182
pair,3,45,14.942,4.618
pair,3,46,7.483,3.021
pair,3,47,6.850,2.887
pair,3,48,14.375,3.830
pair,3,49,7.559,2.882
pair,3,50,6.917,2.811
pair,3,51,8.400,2.956
pair,3,52,15.175,4.799
pair,3,53,15.217,4.430
pair,3,54,7.042,2.975
pair,3,55,15.075,4.630
pair,3,56,14.867,4.184
pair,3,57,8.353,3.097
pair,3,58,8.525,3.097
pair,3,59,7.244,2.881
pair,3,60,8.825,2.863
pair,3,61,7.675,3.112
pair,3,62,8.017,3.048
pair,3,63,8.700,2.879
pair,3,64,14.417,4.453
pair,4,1,12.217,3.462
pair,4,2,11.167,3.384
pair,4,3,16.800,5.492
pair,4,4,16.792,5.524
pair,4,5,17.108,5.992
pair,4,6,16.717,5.597
pair,4,7,17.033,6.207
pair,4,8,10.550,3.477
pair,4,9,16.758,5.528
pair,4,10,17.033,6.300
pair,4,11,11.275,3.394
pair,4,12,10.725,3.141
pair,4,13,10.350,3.419
pair,4,14,10.758,3.311
pair,4,15,17.658,7.204
pair,4,16,16.933,5.771
pair,4,17,16.592,5.328
pair,4,18,11.550,3.649
pair,4,19,17.408,6.653
pair,4,20,17.067,6.168
pair,4,21,17.233,6.102
pair,4,22,16.758,5.708
pair,4,23,9.450,2.970
pair,4,24,10.683,3.285
pair,4,25,9.958,3.180
pair,4,26,12.417,3.548
pair,4,27,11.308,3.178
pair,4,28,16.900,5.450
pair,4,29,16.950,6.053
pair,4,30,17.033,5.939
pair,4,31,16.867,5.663
pair,4,32,11.750,3.325
pair,4,33,17.075,6.162
pair,4,34,16.750,5.832
pair,4,35,16.925,5.792
pair,4,36,10.475,3.413
pair,4,37,16.708,6.018
pair,4,38,16.900,5.923
pair,4,39,16.700,5.690
pair,4,40,11.700,3.466
pair,4,41,16.658,5.620
pair,4,42,12.133,3.365
pair,4,43,10.383,3.253
pair,4,44,10.700,3.220
pair,4,45,10.517,3.437
pair,4,46,17.042,5.738
pair,4,47,11.442,3.418
pair,4,48,11.567,3.379
pair,4,49,10.967,3.403
pair,4,50,11.075,3.305
pair,4,51,10.550,3.533
pair,4,52,12.125,3.826
pair,4,53,9.558,3.352
pair,4,54,16.967,5.720
pair,4,55,16.892,5.857
pair,4,56,10.333,3.423
pair,4,57,10.800,3.294
pair,4,58,11.475,3.253
pair,4,59,17.375,6.052
pair,4,60,17.383,6.196
pair,4,61,11.283,3.286
pair,4,62,17.108,6.027
pair,4,63,12.650,3.522
pair,4,64,10.583,3.285
pair,5,1,18.567,8.714
pair,5,2,18.283,7.616
pair,5,3,18.158,7.832
pair,5,4,13.817,3.920
pair,5,5,18.058,7.721
pair,5,6,18.075,7.492
pair,5,7,14.375,4.350
pair,5,8,18.417,8.982
pair,5,9,18.633,8.938
pair,5,10,18.183,7.930
pair,5,11,18.183,7.617
pair,5,12,13.542,3.861
pair,5,13,18.058,7.407
pair,5,14,18.317,7.948
pair,5,15,13.367,3.582
pair,5,16,18.158,7.358
pair,5,17,18.208,8.130
pair,5,18,13.875,4.118
pair,5,19,13.508,3.691
pair,5,20,18.158,7.721
pair,5,21,18.058,7.346
pair,5,22,18.292,8.158
pair,5,23,18.042,7.251
pair,5,24,13.783,3.992
pair,5,25,18.150,7.703
pair,5,26,14.192,4.056
pair,5,27,13.758,4.158
pair,5,28,14.442,4.123
pair,5,29,18.192,7.777
pair,5,30,18.283,8.070
pair,5,31,13.233,3.687
pair,5,32,13.700,4.113
pair,5,33,14.775,4.276
pair,5,34,14.092,4.015
pair,5,35,18.217,7.777
pair,5,36,18.317,8.078
pair,5,37,13.075,3.887
pair,5,38,12.433,3.511
pair,5,39,18.325,8.250
pair,5,40,18.225,7.659
pair,5,41,18.058,7.702
pair,5,42,18.425,7.717
pair,5,43,18.400,8.225
pair,5,44,18.292,8.709
pair,5,45,18.342,8.131
pair,5,46,13.275,3.824
pair,5,47,14.017,4.118
pair,5,48,13.958,3.965
pair,5,49,18.417,8.461
pair,5,50,18.408,8.110
pair,5,51,12.533,3.519
pair,5,52,13.225,3.844
pair,5,53,14.242,4.110
pair,5,54,18.333,8.672
pair,5,55,13.100,4.056
pair,5,56,18.042,7.407
pair,5,57,13.600,3.595
pair,5,58,13.683,3.912
pair,5,59,12.967,3.706
pair,5,60,18.008,7.404
pair,5,61,18.292,8.778
pair,5,62,18.433,8.480
pair,5,63,14.375,4.005
pair,5,64,12.792,3.706
pair,6,1,18.983,9.588
pair,6,2,18.858,9.238
pair,6,3,14.892,4.325
pair,6,4,14.875,4.449
pair,6,5,14.642,4.199
pair,6,6,15.142,4.333
pair,6,7,18.608,8.335
pair,6,8,18.792,8.918
pair,6,9,19.008,9.684
pair,6,10,19.075,10.427
pair,6,11,19.092,10.022
pair,6,12,15.033,4.154
pair,6,13,15.617,5.097
pair,6,14,18.950,9.752
pair,6,15,19.008,9.708
pair,6,16,15.050,4.538
pair,6,17,18.942,9.672
pair,6,18,16.217,5.060
pair,6,19,14.867,4.193
pair,6,20,15.542,4.828
pair,6,21,15.350,4.362
pair,6,22,15.142,4.363
pair,6,23,19.042,10.333
pair,6,24,19.000,9.693
pair,6,25,15.325,4.799
pair,6,26,15.308,4.748
pair,6,27,15.050,4.430
pair,6,28,18.833,9.280
pair,6,29,15.442,4.924
pair,6,30,15.050,4.431
pair,6,31,19.083,10.647
pair,6,32,18.992,9.534
pair,6,33,15.558,4.939
pair,6,34,15.767,5.068
pair,6,35,15.467,4.815
pair,6,36,15.058,4.414
pair,6,37,18.942,10.013
pair,6,38,15.133,4.347
pair,6,39,18.917,9.673
pair,6,40,18.908,9.781
pair,6,41,19.033,10.173
pair,6,42,18.883,9.383
pair,6,43,19.050,9.621
pair,6,44,15.458,4.591
pair,6,45,19.133,10.561
pair,6,46,18.983,9.932
pair,6,47,18.767,9.125
pair,6,48,14.675,4.245
pair,6,49,19.158,10.586
pair,6,50,14.883,4.445
pair,6,51,15.650,4.728
pair,6,52,19.017,10.062
pair,6,53,19.025,9.963
pair,6,54,15.683,4.693
pair,6,55,19.075,11.002
pair,6,56,15.325,4.902
pair,6,57,19.108,10.723
pair,6,58,15.300,4.661
pair,6,59,18.883,9.073
pair,6,60,18.817,9.314
pair,6,61,15.933,5.277
pair,6,62,18.842,9.784
pair,6,63,15.408,4.528
pair,6,64,14.575,4.172
pair,8,1,18.025,5.059
pair,8,2,19.892,13.836
pair,8,3,20.008,14.454
pair,8,4,16.842,5.954
pair,8,5,19.758,13.397
pair,8,6,17.642,6.899
pair,8,7,17.050,6.157
pair,8,8,17.208,6.064
pair,8,9,19.758,13.401
pair,8,10,19.825,12.803
pair,8,11,19.867,12.567
pair,8,12,17.033,6.317
pair,8,13,19.708,12.978
pair,8,14,17.267,6.521
