init,m,mu,seed,winner,t_death,path,t_birth1,t_birth2,t_birth3,births1,births2,births3,mutations,fitness_lastq,share1,share2,share3,pokes
slow,8,0.001,14,FIX1,,3>2>1,2027,310,1,2203,123,38,222,0.996,0.992,0.004,0.003,3555
slow,8,0.001,15,FIX1,,3>2>1,1849,1090,1,2170,61,81,217,0.994,0.991,0.005,0.005,3555
slow,8,0.001,16,FIX1,,3>2>1,1044,306,1,2212,39,58,225,0.997,0.994,0.002,0.003,3555
slow,8,0.001,17,FIX1,,3>1,580,5910,1,2287,9,45,224,0.995,0.991,0.005,0.004,3555
slow,8,0.001,18,FIX1,,3>2>1,6368,1248,1,1895,321,99,171,0.997,0.995,0.001,0.004,3555
slow,8,0.001,19,FIX1,,3>2>3>2>3>2>1,8918,622,1,1694,510,97,192,0.993,0.989,0.004,0.007,3555
slow,8,0.001,20,FIX1,,3>2>1,1858,720,1,2151,47,101,197,0.995,0.991,0.005,0.003,3555
slow,8,0.001,21,FIX1,,3>2>1,3506,2722,1,2063,34,192,229,0.998,0.996,0.003,0.001,3555
slow,8,0.001,22,FIX1,,3>1,221,3327,1,2275,9,20,231,0.996,0.993,0.003,0.004,3555
slow,8,0.001,23,FIX1,,3>1>3>1,636,1076,1,2257,7,51,185,0.997,0.994,0.003,0.003,3555
slow,8,0.001,24,FIX1,,3>1,789,2931,1,2229,8,65,224,0.996,0.993,0.005,0.002,3555
slow,8,0.003,1,FIX1,,3>1,575,1669,1,2180,31,66,608,0.994,0.990,0.005,0.005,3555
slow,8,0.003,2,FIX1,,3>1,198,807,1,2241,25,33,663,0.988,0.980,0.012,0.008,3555
slow,8,0.003,3,FIX1,,3>1,177,2053,1,2182,24,88,655,0.989,0.982,0.008,0.010,3555
slow,8,0.003,4,FIX1,,3>1,131,167,1,2236,21,22,662,0.991,0.984,0.007,0.009,3555
slow,8,0.003,5,FIX1,,3>1,783,647,1,2209,39,75,655,0.989,0.981,0.010,0.009,3555
slow,8,0.003,6,FIX1,,3>1,367,139,1,2237,29,45,681,0.988,0.980,0.009,0.011,3555
slow,8,0.003,7,FIX1,,3>2>1,1283,238,1,2173,78,48,636,0.992,0.986,0.009,0.005,3555
slow,8,0.003,8,FIX1,,3>2>1,1345,131,1,2161,113,53,636,0.987,0.979,0.009,0.012,3555
slow,8,0.003,9,FIX1,,3>2>1,410,159,1,2191,33,51,640,0.989,0.981,0.007,0.011,3555
slow,8,0.003,10,FIX1,,3>1,150,870,1,2278,35,32,708,0.989,0.982,0.009,0.009,3555
slow,8,0.003,11,FIX1,,3>1,738,130,1,2185,50,64,668,0.991,0.984,0.009,0.007,3555
slow,8,0.003,12,FIX1,,3>1,139,311,1,2278,19,27,609,0.990,0.983,0.006,0.010,3555
slow,8,0.003,13,FIX1,,3>2>1,342,130,1,2236,47,35,702,0.987,0.977,0.015,0.008,3555
slow,8,0.003,14,FIX1,,3>2>1,265,168,1,2247,49,43,662,0.990,0.983,0.007,0.010,3555
slow,8,0.003,15,FIX1,,3>1,214,1572,1,2245,29,47,653,0.988,0.981,0.009,0.011,3555
slow,8,0.003,16,FIX1,,3>1,170,130,1,2223,45,39,693,0.984,0.971,0.020,0.009,3555
slow,8,0.003,17,FIX1,,3>1>2>1,580,370,1,2174,39,66,656,0.983,0.969,0.025,0.006,3555
slow,8,0.003,18,FIX1,,3>1,1418,675,1,2099,24,114,627,0.988,0.980,0.008,0.012,3555
slow,8,0.003,19,FIX1,,3>1,244,392,1,2196,33,37,670,0.989,0.981,0.010,0.009,3555
slow,8,0.003,20,FIX1,,3>1,181,2029,1,2190,44,36,673,0.990,0.983,0.008,0.009,3555
slow,8,0.003,21,FIX1,,3>1,844,2671,1,2194,30,99,640,0.990,0.982,0.010,0.008,3555
slow,8,0.003,22,FIX1,,3>2>3>2>1,1055,583,1,1957,162,131,690,0.988,0.979,0.012,0.008,3555
slow,8,0.003,23,FIX1,,3>1,149,1850,1,2273,38,32,645,0.988,0.979,0.009,0.012,3555
slow,8,0.003,24,FIX1,,3>1,229,368,1,2219,41,41,704,0.989,0.981,0.011,0.008,3555
slow,8,0.010,1,FIX1,,3>2>1,693,130,1,2068,146,84,2018,0.962,0.932,0.040,0.028,3555
slow,8,0.010,2,FIX1,,3>2>1,807,133,1,2091,114,105,2023,0.968,0.945,0.028,0.026,3555
slow,8,0.010,3,FIX1,,3>1,158,373,1,2066,105,108,1992,0.973,0.954,0.022,0.024,3555
slow,8,0.010,4,FIX1,,3>1,168,139,1,2165,100,77,2061,0.966,0.939,0.038,0.023,3555
slow,8,0.010,5,FIX1,,3>1,164,131,1,2103,94,96,2123,0.965,0.940,0.030,0.030,3555
