arm,m,seed,rho_init,rho_lastq,runmean_lastq,tape_lastq,s_share_lastq,fidelity,rho_traj,rho_osc,rep_base,rep_pair,rep_mut,rep_dpair
plain,4,23,0.500,0.000,3.037,7.133,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4783,0,0,0
plain,4,24,0.500,0.000,3.034,6.167,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4787,0,0,0
plain,4,25,0.417,0.000,2.918,4.742,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4784,0,0,0
plain,4,26,0.667,0.000,4.308,15.367,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4797,0,0,0
plain,4,27,0.333,0.000,2.904,7.375,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4785,0,0,0
plain,4,28,0.333,0.000,2.780,6.392,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4779,0,0,0
plain,4,29,0.333,0.000,5.167,16.325,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4794,0,0,0
plain,4,30,0.500,0.000,2.939,7.400,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4784,0,0,0
plain,4,31,0.500,0.000,2.805,5.175,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4781,0,0,0
plain,4,32,0.583,0.000,2.779,5.408,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4783,0,0,0
plain,2,1,0.583,0.000,1.799,1.530,1.000,1.000,0.00;0.00;0.00;0.00;0.00;-;0.00;0.00,0.000,7756,0,0,0
plain,2,2,0.417,0.000,1.730,1.278,1.000,1.000,0.00;0.00;0.00;0.00;-;-;-;0.00,0.000,7787,0,0,0
plain,2,3,0.333,0.000,1.735,1.477,1.000,1.000,0.00;0.00;-;0.00;0.00;0.00;0.00;0.00,0.000,7771,0,0,0
plain,2,4,0.333,0.000,1.862,1.383,1.000,1.000,0.00;0.00;-;0.00;-;0.00;0.00;0.00,0.000,7778,0,0,0
plain,2,5,0.500,0.000,1.703,1.301,1.000,1.000,0.00;-;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7753,0,0,0
plain,2,6,0.500,0.000,2.643,4.350,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7985,0,0,0
plain,2,7,0.417,0.000,1.928,1.247,1.000,1.000,0.00;-;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7761,0,0,0
plain,2,8,0.583,0.000,2.714,4.622,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;-,0.000,7981,0,0,0
plain,2,9,0.667,0.000,1.871,1.413,1.000,1.000,-;0.00;0.00;-;0.00;0.00;0.00;0.00,0.000,7746,0,0,0
plain,2,10,0.500,0.000,3.076,4.118,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7981,0,0,0
plain,2,11,0.583,0.000,2.660,5.390,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7985,0,0,0
plain,2,12,0.583,0.000,1.728,1.259,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7783,0,0,0
plain,2,13,0.500,0.000,1.751,1.372,1.000,1.000,0.00;-;0.00;0.00;0.00;0.00;-;-,0.000,7738,0,0,0
plain,2,14,0.500,0.000,2.793,4.425,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7982,0,0,0
plain,2,15,0.417,0.000,2.083,1.429,1.000,1.000,-;0.00;0.00;0.00;-;0.00;0.00;-,0.000,7740,0,0,0
plain,2,16,0.583,0.000,2.435,5.160,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7985,0,0,0
plain,2,17,0.667,0.000,1.845,1.341,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7776,0,0,0
plain,2,18,0.500,0.000,1.925,1.385,1.000,1.000,0.00;-;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7766,0,0,0
plain,2,19,0.417,0.000,1.792,1.238,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;-,0.000,7744,0,0,0
plain,2,20,0.417,0.000,2.599,5.267,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7983,0,0,0
plain,2,21,0.417,0.000,2.722,5.758,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7983,0,0,0
plain,2,22,0.500,0.000,1.769,1.267,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7766,0,0,0
plain,2,23,0.500,0.000,2.680,4.875,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7983,0,0,0
plain,2,24,0.500,0.000,1.811,1.438,1.000,1.000,-;0.00;0.00;0.00;0.00;-;0.00;0.00,0.000,7760,0,0,0
plain,2,25,0.417,0.000,1.696,1.214,1.000,1.000,0.00;0.00;0.00;0.00;-;0.00;0.00;0.00,0.000,7765,0,0,0
plain,2,26,0.667,0.000,1.829,1.390,1.000,1.000,-;0.00;0.00;0.00;0.00;-;0.00;0.00,0.000,7770,0,0,0
plain,2,27,0.333,0.000,1.799,1.396,1.000,1.000,-;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7738,0,0,0
plain,2,28,0.333,0.000,2.634,4.269,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7980,0,0,0
plain,2,29,0.333,0.000,1.871,1.378,1.000,1.000,-;-;0.00;-;0.00;0.00;0.00;0.00,0.000,7748,0,0,0
plain,2,30,0.500,0.000,1.871,1.464,1.000,1.000,0.00;-;-;-;0.00;0.00;0.00;0.00,0.000,7751,0,0,0
plain,2,31,0.500,0.000,2.830,4.546,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7981,0,0,0
plain,2,32,0.583,0.000,1.892,1.280,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,7729,0,0,0
order,8,1,0.583,0.069,5.059,18.025,0.657,1.000,0.10;0.09;0.11;0.07;0.06;0.10;0.12;0.00,0.042,2182,240,0,0
order,8,2,0.417,0.000,13.836,19.892,0.000,1.000,0.09;0.06;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2337,164,0,0
order,8,3,0.333,0.000,14.454,20.008,0.000,1.000,0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2334,165,0,0
order,8,4,0.333,0.000,5.954,16.842,1.000,1.000,0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2033,314,0,0
order,8,5,0.500,0.000,13.397,19.758,0.000,1.000,0.07;0.10;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2282,191,0,0
order,8,6,0.500,0.000,6.899,17.642,1.000,1.000,0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2024,320,0,0
order,8,7,0.417,0.000,6.157,17.050,1.000,1.000,0.00;0.06;0.06;0.00;0.00;0.00;0.00;0.00,0.000,2071,296,0,0
order,8,8,0.583,0.000,6.064,17.208,1.000,1.000,0.06;0.14;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2088,286,0,0
order,8,9,0.667,0.000,13.401,19.758,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2331,167,0,0
order,8,10,0.500,0.000,12.803,19.825,0.000,1.000,0.09;0.10;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2290,187,0,0
order,8,11,0.583,0.000,12.567,19.867,0.000,1.000,0.05;0.06;0.06;0.00;0.00;0.00;0.00;0.00,0.000,2283,191,0,0
order,8,12,0.583,0.000,6.317,17.033,1.000,1.000,0.11;0.11;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2092,285,0,0
order,8,13,0.500,0.000,12.978,19.708,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2350,157,0,0
order,8,14,0.500,0.000,6.521,17.267,1.000,1.000,0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2023,320,0,0
order,8,15,0.417,0.000,6.656,17.650,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2075,294,0,0
order,8,16,0.583,0.000,13.885,19.900,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2320,172,0,0
order,8,17,0.667,0.000,13.494,19.900,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2341,161,0,0
order,8,18,0.500,0.000,6.272,17.283,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2026,318,0,0
order,8,19,0.417,0.000,13.506,19.700,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2315,174,0,0
order,8,20,0.417,0.000,6.746,17.525,1.000,1.000,0.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2088,286,0,0
order,8,21,0.417,0.000,14.398,19.925,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2288,187,0,0
order,8,22,0.500,0.000,12.894,19.808,0.000,1.000,0.12;0.07;0.11;0.12;0.00;0.00;0.00;0.00,0.010,2277,194,0,0
order,8,23,0.500,0.000,5.656,16.900,1.000,1.000,0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2037,312,0,0
order,8,24,0.500,0.000,13.914,19.875,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2345,159,0,0
order,8,25,0.417,0.000,5.033,16.650,1.000,1.000,0.10;0.06;0.06;0.10;0.12;0.00;0.00;0.00,0.043,2169,247,0,0
order,8,26,0.667,0.000,13.855,19.883,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2314,175,0,0
order,8,27,0.333,0.000,6.578,17.308,1.000,1.000,0.05;0.11;0.11;0.00;0.00;0.00;0.00;0.00,0.000,2040,311,0,0
order,8,28,0.333,0.000,6.156,17.375,1.000,1.000,0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2033,314,0,0
order,8,29,0.333,0.000,13.662,19.892,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2389,137,0,0
order,8,30,0.500,0.000,6.163,17.450,1.000,1.000,0.07;0.12;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2052,305,0,0
order,8,31,0.500,0.000,5.634,16.800,1.000,1.000,0.06;0.10;0.05;0.00;0.00;0.00;0.00;0.00,0.000,2172,245,0,0
order,8,32,0.583,0.000,12.401,19.767,0.000,1.000,0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2283,191,0,0
order,4,1,0.583,0.000,3.462,12.217,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2929,932,0,0
order,4,2,0.417,0.000,3.384,11.167,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2755,1017,0,0
order,4,3,0.333,0.000,5.492,16.800,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3444,675,0,0
order,4,4,0.333,0.000,5.524,16.792,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3455,670,0,0
order,4,5,0.500,0.000,5.992,17.108,0.000,1.000,0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3439,679,0,0
order,4,6,0.500,0.000,5.597,16.717,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3401,697,0,0
order,4,7,0.417,0.000,6.207,17.033,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3416,689,0,0
order,4,8,0.583,0.000,3.477,10.550,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2832,978,0,0
order,4,9,0.667,0.000,5.528,16.758,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3427,685,0,0
order,4,10,0.500,0.000,6.300,17.033,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3398,698,0,0
order,4,11,0.583,0.000,3.394,11.275,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2939,927,0,0
order,4,12,0.583,0.000,3.141,10.725,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2862,963,0,0
order,4,13,0.500,0.000,3.419,10.350,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2829,980,0,0
order,4,14,0.500,0.000,3.311,10.758,1.000,1.000,0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2835,978,0,0
order,4,15,0.417,0.000,7.204,17.658,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3426,685,0,0
order,4,16,0.583,0.000,5.771,16.933,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3477,660,0,0
order,4,17,0.667,0.000,5.328,16.592,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3381,706,0,0
order,4,18,0.500,0.000,3.649,11.550,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2811,990,0,0
order,4,19,0.417,0.000,6.653,17.408,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3436,680,0,0
order,4,20,0.417,0.000,6.168,17.067,0.000,1.000,0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3378,708,0,0
order,4,21,0.417,0.000,6.102,17.233,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3377,710,0,0
order,4,22,0.500,0.000,5.708,16.758,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3444,676,0,0
order,4,23,0.500,0.000,2.970,9.450,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2880,952,0,0
order,4,24,0.500,0.000,3.285,10.683,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2804,994,0,0
order,4,25,0.417,0.000,3.180,9.958,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2784,1003,0,0
order,4,26,0.667,0.000,3.548,12.417,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2866,962,0,0
order,4,27,0.333,0.000,3.178,11.308,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2870,961,0,0
order,4,28,0.333,0.000,5.450,16.900,0.000,1.000,0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3475,660,0,0
order,4,29,0.333,0.000,6.053,16.950,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3447,674,0,0
order,4,30,0.500,0.000,5.939,17.033,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3451,673,0,0
order,4,31,0.500,0.000,5.663,16.867,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,3471,662,0,0
order,4,32,0.583,0.000,3.325,11.750,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2834,978,0,0
order,2,1,0.583,0.000,3.048,8.658,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4209,1889,0,0
order,2,2,0.417,0.000,2.047,1.677,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,6765,531,0,0
order,2,3,0.333,0.000,1.998,1.843,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,6504,662,0,0
order,2,4,0.333,0.000,2.003,1.898,1.000,1.000,-;0.00;0.00;-;0.00;0.00;0.00;-,0.000,6609,604,0,0
order,2,5,0.500,0.000,2.074,1.695,1.000,1.000,0.00;0.00;-;0.00;0.00;-;-;0.00,0.000,6625,593,0,0
order,2,6,0.500,0.000,2.983,9.625,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4222,1884,0,0
order,2,7,0.417,0.000,3.341,8.983,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4251,1870,0,0
order,2,8,0.583,0.000,3.103,10.525,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4233,1880,0,0
order,2,9,0.667,0.000,2.060,1.818,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,6672,581,0,0
order,2,10,0.500,0.000,3.160,9.475,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4322,1833,0,0
order,2,11,0.583,0.000,3.313,9.733,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4213,1889,0,0
order,2,12,0.583,0.000,1.907,1.830,1.000,1.000,-;0.00;0.00;0.00;0.00;-;-;0.00,0.000,6686,553,0,0
order,2,13,0.500,0.000,3.257,9.875,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4178,1907,0,0
order,2,14,0.500,0.000,3.051,9.225,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4086,1951,0,0
order,2,15,0.417,0.000,2.017,1.915,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,6524,649,0,0
order,2,16,0.583,0.000,2.984,9.633,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4201,1895,0,0
order,2,17,0.667,0.000,2.052,1.701,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,6718,533,0,0
order,2,18,0.500,0.000,1.937,1.883,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;-;0.00,0.000,6706,556,0,0
order,2,19,0.417,0.000,2.199,1.612,1.000,1.000,0.00;-;0.00;-;-;0.00;0.00;0.00,0.000,6788,507,0,0
order,2,20,0.417,0.000,2.015,1.867,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,6519,657,0,0
order,2,21,0.417,0.000,3.356,9.867,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4261,1865,0,0
order,2,22,0.500,0.000,1.968,1.939,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,6642,578,0,0
order,2,23,0.500,0.000,1.987,1.826,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;-;0.00,0.000,6692,557,0,0
order,2,24,0.500,0.000,1.877,1.871,1.000,1.000,0.00;0.00;0.00;0.00;0.00;-;0.00;0.00,0.000,6667,578,0,0
