lambda,wi,wr,seed,events,score,extinct
0.4062,13,32,137,1,-1,1
0.4062,13,32,138,5,-1,1
0.4062,13,32,139,1,-1,1
0.4062,13,32,140,1,-1,1
0.4062,13,32,141,1,-1,1
0.4062,13,32,142,415,-1,1
0.4062,13,32,143,50000,52,0
0.4062,13,32,144,1,-1,1
0.4062,13,32,145,61,-1,1
0.4062,13,32,146,1,-1,1
0.4062,13,32,147,1,-1,1
0.4062,13,32,148,1,-1,1
0.4062,13,32,149,3,-1,1
0.4062,13,32,150,1,-1,1
0.4062,13,32,151,1,-1,1
0.4062,13,32,152,19,-1,1
0.4062,13,32,153,1,-1,1
0.4062,13,32,154,5823,-1,1
0.4062,13,32,155,5,-1,1
0.4062,13,32,156,349,-1,1
0.4062,13,32,157,7,-1,1
0.4062,13,32,158,9,-1,1
0.4062,13,32,159,3,-1,1
0.4062,13,32,160,1,-1,1
0.4062,13,32,161,1,-1,1
0.4062,13,32,162,59,-1,1
0.4062,13,32,163,27,-1,1
0.4062,13,32,164,1,-1,1
0.4062,13,32,165,9,-1,1
0.4062,13,32,166,3,-1,1
0.4062,13,32,167,1,-1,1
0.4062,13,32,168,1,-1,1
0.4062,13,32,169,1,-1,1
0.4062,13,32,170,8535,-1,1
0.4062,13,32,171,1,-1,1
0.4062,13,32,172,1,-1,1
0.4062,13,32,173,9,-1,1
0.4062,13,32,174,235,-1,1
0.4062,13,32,175,1,-1,1
0.4062,13,32,176,1,-1,1
0.4062,13,32,177,81,-1,1
0.4062,13,32,178,3,-1,1
0.4062,13,32,179,1,-1,1
0.4062,13,32,180,943,-1,1
0.4062,13,32,181,1,-1,1
0.4062,13,32,182,3,-1,1
0.4062,13,32,183,3281,-1,1
0.4062,13,32,184,257,-1,1
0.4062,13,32,185,1,-1,1
0.4062,13,32,186,7,-1,1
0.4062,13,32,187,103,-1,1
0.4062,13,32,188,1,-1,1
0.4062,13,32,189,1,-1,1
0.4062,13,32,190,1,-1,1
0.4062,13,32,191,11,-1,1
0.4062,13,32,192,1,-1,1
0.4062,13,32,193,5223,-1,1
0.4062,13,32,194,1,-1,1
0.4062,13,32,195,1,-1,1
0.4062,13,32,196,1,-1,1
0.4062,13,32,197,1,-1,1
0.4062,13,32,198,1861,-1,1
0.4062,13,32,199,3,-1,1
0.4062,13,32,200,1,-1,1
0.4375,14,32,1,50000,80,0
0.4375,14,32,2,5,-1,1
0.4375,14,32,3,50000,112,0
0.4375,14,32,4,3,-1,1
0.4375,14,32,5,1,-1,1
0.4375,14,32,6,1,-1,1
0.4375,14,32,7,31,-1,1
0.4375,14,32,8,1,-1,1
0.4375,14,32,9,1,-1,1
0.4375,14,32,10,50000,118,0
0.4375,14,32,11,3,-1,1
0.4375,14,32,12,50000,96,0
0.4375,14,32,13,13,-1,1
0.4375,14,32,14,11,-1,1
0.4375,14,32,15,1,-1,1
0.4375,14,32,16,1,-1,1
0.4375,14,32,17,3,-1,1
0.4375,14,32,18,50000,102,0
0.4375,14,32,19,1,-1,1
0.4375,14,32,20,1,-1,1
0.4375,14,32,21,3,-1,1
0.4375,14,32,22,13,-1,1
0.4375,14,32,23,7,-1,1
0.4375,14,32,24,1,-1,1
0.4375,14,32,25,50000,86,0
0.4375,14,32,26,3,-1,1
0.4375,14,32,27,3,-1,1
0.4375,14,32,28,7,-1,1
0.4375,14,32,29,13,-1,1
0.4375,14,32,30,1,-1,1
0.4375,14,32,31,647,-1,1
0.4375,14,32,32,63,-1,1
0.4375,14,32,33,1,-1,1
0.4375,14,32,34,1,-1,1
0.4375,14,32,35,5,-1,1
0.4375,14,32,36,147,-1,1
0.4375,14,32,37,1,-1,1
0.4375,14,32,38,749,-1,1
0.4375,14,32,39,3,-1,1
0.4375,14,32,40,3,-1,1
0.4375,14,32,41,5,-1,1
0.4375,14,32,42,1,-1,1
0.4375,14,32,43,797,-1,1
0.4375,14,32,44,5,-1,1
0.4375,14,32,45,63,-1,1
0.4375,14,32,46,50000,116,0
0.4375,14,32,47,31,-1,1
0.4375,14,32,48,33,-1,1
0.4375,14,32,49,1,-1,1
0.4375,14,32,50,3,-1,1
0.4375,14,32,51,50000,88,0
