p,threads,seed,events,size
0.45,1,154,55,27
0.45,1,155,39,19
0.45,1,156,1,0
0.45,1,157,1,0
0.45,1,158,1329,664
0.45,1,159,17,8
0.45,1,160,5,2
0.45,1,161,1,0
0.45,1,162,25,12
0.45,1,163,117,58
0.45,1,164,9,4
0.45,1,165,3,1
0.45,1,166,805,402
0.45,1,167,5,2
0.45,1,168,1,0
0.45,1,169,47,23
0.45,1,170,19,9
0.45,1,171,75,37
0.45,1,172,117,58
0.45,1,173,75,37
0.45,1,174,5,2
0.45,1,175,1,0
0.45,1,176,771,385
0.45,1,177,17,8
0.45,1,178,23,11
0.45,1,179,63,31
0.45,1,180,1,0
0.45,1,181,95,47
0.45,1,182,53,26
0.45,1,183,9,4
0.45,1,184,83,41
0.45,1,185,1,0
0.45,1,186,263,131
0.45,1,187,229,114
0.45,1,188,9,4
0.45,1,189,223,111
0.45,1,190,3,1
0.45,1,191,617,308
0.45,1,192,481,240
0.45,1,193,3,1
0.45,1,194,51,25
0.45,1,195,3,1
0.45,1,196,87,43
0.45,1,197,331,165
0.45,1,198,1,0
0.45,1,199,271,135
0.45,1,200,11,5
0.50,1,1,41,20
0.50,1,2,1,0
0.50,1,3,1347,673
0.50,1,4,613,306
0.50,1,5,69,34
0.50,1,6,1,0
0.50,1,7,1,0
0.50,1,8,7,3
0.50,1,9,427,213
0.50,1,10,2425,1212
0.50,1,11,569,284
0.50,1,12,203,101
0.50,1,13,2753,1376
0.50,1,14,57,28
0.50,1,15,5,2
0.50,1,16,195,97
0.50,1,17,469,234
0.50,1,18,1,0
0.50,1,19,2387,1193
0.50,1,20,23,11
0.50,1,21,311,155
0.50,1,22,337,168
0.50,1,23,9,4
0.50,1,24,1,0
0.50,1,25,1,0
0.50,1,26,841,420
0.50,1,27,959,479
0.50,1,28,429,214
0.50,1,29,949,474
0.50,1,30,1,0
0.50,1,31,1155,577
0.50,1,32,7,3
0.50,1,33,1473,736
0.50,1,34,1531,765
0.50,1,35,2029,1014
0.50,1,36,925,462
0.50,1,37,271,135
0.50,1,38,651,325
0.50,1,39,217,108
0.50,1,40,1323,661
0.50,1,41,1,0
0.50,1,42,47,23
0.50,1,43,11,5
0.50,1,44,1119,559
0.50,1,45,1105,552
0.50,1,46,1399,699
0.50,1,47,1,0
0.50,1,48,2281,1140
0.50,1,49,345,172
0.50,1,50,765,382
0.50,1,51,3,1
0.50,1,52,9,4
0.50,1,53,1,0
0.50,1,54,17,8
0.50,1,55,97,48
0.50,1,56,863,431
0.50,1,57,1939,969
0.50,1,58,1,0
0.50,1,59,1,0
0.50,1,60,1549,774
0.50,1,61,7,3
0.50,1,62,2459,1229
0.50,1,63,1695,847
0.50,1,64,1,0
0.50,1,65,13,6
0.50,1,66,379,189
0.50,1,67,1095,547
0.50,1,68,55,27
0.50,1,69,1,0
0.50,1,70,1,0
0.50,1,71,913,456
0.50,1,72,9,4
0.50,1,73,2119,1059
0.50,1,74,53,26
0.50,1,75,801,400
0.50,1,76,3,1
0.50,1,77,859,429
0.50,1,78,33,16
0.50,1,79,333,166
0.50,1,80,121,60
0.50,1,81,1,0
0.50,1,82,617,308
0.50,1,83,571,285
0.50,1,84,3,1
0.50,1,85,1539,769
0.50,1,86,1745,872
0.50,1,87,1,0
0.50,1,88,2411,1205
0.50,1,89,53,26
0.50,1,90,1085,542
0.50,1,91,1185,592
0.50,1,92,675,337
0.50,1,93,1,0
0.50,1,94,281,140
0.50,1,95,27,13
0.50,1,96,187,93
0.50,1,97,41,20
0.50,1,98,1227,613
0.50,1,99,1,0
0.50,1,100,981,490
0.50,1,101,955,477
0.50,1,102,15,7
0.50,1,103,241,120
0.50,1,104,3,1
0.50,1,105,127,63
0.50,1,106,51,25
0.50,1,107,1291,645
0.50,1,108,65,32
0.50,1,109,3,1
0.50,1,110,47,23
0.50,1,111,363,181
0.50,1,112,263,131
0.50,1,113,31,15
0.50,1,114,3,1
0.50,1,115,171,85
0.50,1,116,1,0
0.50,1,117,39,19
0.50,1,118,987,493
0.50,1,119,933,466
0.50,1,120,1289,644
0.50,1,121,127,63
0.50,1,122,1,0
0.50,1,123,2305,1152
0.50,1,124,1141,570
0.50,1,125,57,28
0.50,1,126,13,6
0.50,1,127,763,381
0.50,1,128,9,4
0.50,1,129,1533,766
0.50,1,130,145,72
0.50,1,131,2329,1164
0.50,1,132,1451,725
0.50,1,133,217,108
0.50,1,134,1543,771
0.50,1,135,765,382
0.50,1,136,2277,1138
0.50,1,137,3,1
0.50,1,138,815,407
0.50,1,139,1749,874
0.50,1,140,2737,1368
0.50,1,141,149,74
0.50,1,142,1825,912
0.50,1,143,29,14
0.50,1,144,1,0
0.50,1,145,1,0
0.50,1,146,1701,850
0.50,1,147,7,3
0.50,1,148,2009,1004
0.50,1,149,1635,817
0.50,1,150,1,0
0.50,1,151,857,428
0.50,1,152,9,4
0.50,1,153,1443,721
0.50,1,154,21,10
0.50,1,155,431,215
0.50,1,156,1,0
0.50,1,157,1,0
0.50,1,158,791,395
0.50,1,159,25,12
0.50,1,160,5,2
0.50,1,161,1,0
0.50,1,162,9,4
0.50,1,163,3003,1501
0.50,1,164,75,37
0.50,1,165,3,1
0.50,1,166,2611,1305
0.50,1,167,5,2
0.50,1,168,1,0
0.50,1,169,87,43
0.50,1,170,39,19
0.50,1,171,1053,526
0.50,1,172,2181,1090
0.50,1,173,1603,801
0.50,1,174,5,2
0.50,1,175,83,41
0.50,1,176,663,331
0.50,1,177,1097,548
0.50,1,178,1385,692
0.50,1,179,21,10
0.50,1,180,1,0
0.50,1,181,177,88
0.50,1,182,245,122
0.50,1,183,15,7
0.50,1,184,1815,907
0.50,1,185,1,0
0.50,1,186,2473,1236
0.50,1,187,85,42
0.50,1,188,1375,687
0.50,1,189,1189,594
0.50,1,190,3,1
0.50,1,191,1171,585
0.50,1,192,145,72
0.50,1,193,3,1
0.50,1,194,253,126
0.50,1,195,3,1
0.50,1,196,163,81
0.50,1,197,2219,1109
0.50,1,198,547,273
0.50,1,199,2121,1060
0.50,1,200,49,24
0.55,1,1,3395,1697
0.55,1,2,3751,1875
0.55,1,3,3345,1672
0.55,1,4,2661,1330
0.55,1,5,43,21
0.55,1,6,1,0
0.55,1,7,1,0
0.55,1,8,7,3
0.55,1,9,3627,1813
0.55,1,10,3571,1785
0.55,1,11,3481,1740
0.55,1,12,3597,1798
0.55,1,13,3257,1628
0.55,1,14,3487,1743
0.55,1,15,3357,1678
0.55,1,16,3433,1716
0.55,1,17,2797,1398
0.55,1,18,1,0
0.55,1,19,3607,1803
0.55,1,20,3755,1877
0.55,1,21,1657,828
0.55,1,22,577,288
0.55,1,23,3295,1647
0.55,1,24,1,0
0.55,1,25,5,2
0.55,1,26,2895,1447
0.55,1,27,3593,1796
0.55,1,28,3525,1762
0.55,1,29,2997,1498
0.55,1,30,1,0
0.55,1,31,3235,1617
0.55,1,32,2849,1424
0.55,1,33,3443,1721
0.55,1,34,3537,1768
0.55,1,35,3559,1779
0.55,1,36,3477,1738
0.55,1,37,3437,1718
0.55,1,38,3381,1690
0.55,1,39,3025,1512
0.55,1,40,2977,1488
0.55,1,41,1,0
0.55,1,42,3657,1828
0.55,1,43,2285,1142
0.55,1,44,1519,759
0.55,1,45,3531,1765
0.55,1,46,2781,1390
0.55,1,47,1,0
0.55,1,48,2995,1497
0.55,1,49,3537,1768
0.55,1,50,3387,1693
0.55,1,51,3,1
0.55,1,52,9,4
0.55,1,53,1,0
0.55,1,54,3395,1697
0.55,1,55,3587,1793
0.55,1,56,3435,1717
0.55,1,57,1387,693
0.55,1,58,1,0
0.55,1,59,1,0
0.55,1,60,3535,1767
0.55,1,61,7,3
0.55,1,62,3419,1709
0.55,1,63,3181,1590
0.55,1,64,1,0
0.55,1,65,13,6
0.55,1,66,3247,1623
0.55,1,67,3373,1686
0.55,1,68,2761,1380
0.55,1,69,1,0
0.55,1,70,1,0
0.55,1,71,3509,1754
0.55,1,72,9,4
0.55,1,73,3599,1799
0.55,1,74,3157,1578
0.55,1,75,209,104
0.55,1,76,3,1
0.55,1,77,3371,1685
0.55,1,78,417,208
0.55,1,79,3401,1700
0.55,1,80,2989,1494
0.55,1,81,1,0
0.55,1,82,3161,1580
0.55,1,83,3409,1704
0.55,1,84,3,1
0.55,1,85,3361,1680
0.55,1,86,3397,1698
0.55,1,87,1,0
0.55,1,88,3305,1652
0.55,1,89,3497,1748
0.55,1,90,1831,915
0.55,1,91,2585,1292
0.55,1,92,3275,1637
0.55,1,93,1,0
0.55,1,94,2813,1406
0.55,1,95,2365,1182
0.55,1,96,3377,1688
0.55,1,97,1709,854
0.55,1,98,2979,1489
0.55,1,99,1,0
0.55,1,100,3369,1684
0.55,1,101,3509,1754
0.55,1,102,43,21
0.55,1,103,3375,1687
0.55,1,104,3441,1720
0.55,1,105,3163,1581
0.55,1,106,3075,1537
0.55,1,107,3301,1650
0.55,1,108,3293,1646
0.55,1,109,3,1
0.55,1,110,3465,1732
0.55,1,111,2241,1120
0.55,1,112,3429,1714
0.55,1,113,2509,1254
0.55,1,114,3,1
0.55,1,115,9,4
0.55,1,116,1,0
0.55,1,117,3299,1649
0.55,1,118,3359,1679
0.55,1,119,3543,1771
0.55,1,120,3441,1720
0.55,1,121,3323,1661
0.55,1,122,1,0
0.55,1,123,2547,1273
0.55,1,124,3215,1607
0.55,1,125,3261,1630
0.55,1,126,2017,1008
0.55,1,127,251,125
0.55,1,128,9,4
0.55,1,129,2939,1469
0.55,1,130,3451,1725
0.55,1,131,3331,1665
0.55,1,132,3043,1521
0.55,1,133,23,11
