lambda,wi,wr,seed,events,score,extinct
0.5312,17,32,81,1,-1,1
0.5312,17,32,82,5,-1,1
0.5312,17,32,83,1,-1,1
0.5312,17,32,84,3,-1,1
0.5312,17,32,85,50003,193,0
0.5312,17,32,86,1,-1,1
0.5312,17,32,87,50000,192,0
0.5312,17,32,88,50002,188,0
0.5312,17,32,89,1,-1,1
0.5312,17,32,90,1,-1,1
0.5312,17,32,91,50001,201,0
0.5312,17,32,92,50001,167,0
0.5312,17,32,93,50001,157,0
0.5312,17,32,94,79,-1,1
0.5312,17,32,95,50003,183,0
0.5312,17,32,96,1,-1,1
0.5312,17,32,97,1,-1,1
0.5312,17,32,98,1,-1,1
0.5312,17,32,99,50003,181,0
0.5312,17,32,100,185,-1,1
0.5625,18,32,1,3,-1,1
0.5625,18,32,2,50001,213,0
0.5625,18,32,3,50001,177,0
0.5625,18,32,4,1,-1,1
0.5625,18,32,5,50000,238,0
0.5625,18,32,6,1,-1,1
0.5625,18,32,7,1,-1,1
0.5625,18,32,8,50003,205,0
0.5625,18,32,9,1,-1,1
0.5625,18,32,10,1,-1,1
0.5625,18,32,11,50000,208,0
0.5625,18,32,12,50001,227,0
0.5625,18,32,13,50000,202,0
0.5625,18,32,14,50001,167,0
0.5625,18,32,15,3,-1,1
0.5625,18,32,16,50000,234,0
0.5625,18,32,17,1,-1,1
0.5625,18,32,18,50001,201,0
0.5625,18,32,19,11,-1,1
0.5625,18,32,20,9,-1,1
0.5625,18,32,21,50002,208,0
0.5625,18,32,22,50000,194,0
0.5625,18,32,23,1,-1,1
0.5625,18,32,24,50002,202,0
0.5625,18,32,25,3,-1,1
0.5625,18,32,26,1,-1,1
0.5625,18,32,27,50000,202,0
0.5625,18,32,28,50000,196,0
0.5625,18,32,29,50000,208,0
0.5625,18,32,30,50001,211,0
0.5625,18,32,31,1,-1,1
0.5625,18,32,32,50003,219,0
0.5625,18,32,33,50003,211,0
0.5625,18,32,34,5,-1,1
0.5625,18,32,35,50000,250,0
0.5625,18,32,36,1,-1,1
0.5625,18,32,37,50000,206,0
0.5625,18,32,38,15,-1,1
0.5625,18,32,39,50003,207,0
0.5625,18,32,40,1,-1,1
0.5625,18,32,41,9,-1,1
0.5625,18,32,42,50002,188,0
0.5625,18,32,43,29,-1,1
0.5625,18,32,44,50002,228,0
0.5625,18,32,45,50003,207,0
0.5625,18,32,46,50003,225,0
0.5625,18,32,47,50003,193,0
0.5625,18,32,48,50000,226,0
0.5625,18,32,49,9,-1,1
0.5625,18,32,50,3,-1,1
0.5625,18,32,51,50001,209,0
0.5625,18,32,52,50003,197,0
0.5625,18,32,53,50003,231,0
0.5625,18,32,54,50003,235,0
0.5625,18,32,55,107,-1,1
0.5625,18,32,56,1,-1,1
0.5625,18,32,57,50003,179,0
0.5625,18,32,58,50001,193,0
0.5625,18,32,59,50002,238,0
0.5625,18,32,60,50003,235,0
0.5625,18,32,61,50001,229,0
0.5625,18,32,62,1,-1,1
0.5625,18,32,63,9,-1,1
0.5625,18,32,64,50001,219,0
0.5625,18,32,65,50002,202,0
0.5625,18,32,66,50000,196,0
0.5625,18,32,67,1,-1,1
0.5625,18,32,68,7,-1,1
0.5625,18,32,69,50000,218,0
0.5625,18,32,70,1,-1,1
0.5625,18,32,71,1,-1,1
0.5625,18,32,72,50003,201,0
0.5625,18,32,73,50000,198,0
0.5625,18,32,74,1,-1,1
0.5625,18,32,75,50001,223,0
0.5625,18,32,76,50001,201,0
0.5625,18,32,77,1,-1,1
0.5625,18,32,78,1,-1,1
0.5625,18,32,79,23,-1,1
0.5625,18,32,80,1,-1,1
0.5625,18,32,81,1,-1,1
0.5625,18,32,82,5,-1,1
0.5625,18,32,83,1,-1,1
0.5625,18,32,84,11,-1,1
0.5625,18,32,85,50003,203,0
0.5625,18,32,86,1,-1,1
0.5625,18,32,87,50002,196,0
0.5625,18,32,88,50003,207,0
0.5625,18,32,89,1,-1,1
0.5625,18,32,90,1,-1,1
0.5625,18,32,91,50001,233,0
0.5625,18,32,92,50001,221,0
0.5625,18,32,93,50002,222,0
0.5625,18,32,94,50001,243,0
0.5625,18,32,95,50000,204,0
0.5625,18,32,96,1,-1,1
0.5625,18,32,97,1,-1,1
0.5625,18,32,98,1,-1,1
0.5625,18,32,99,50000,190,0
0.5625,18,32,100,50001,209,0
