lambda,wi,wr,seed,events,score,extinct
0.4688,15,32,79,31,-1,1
0.4688,15,32,80,1,-1,1
0.4688,15,32,81,1,-1,1
0.4688,15,32,82,3,-1,1
0.4688,15,32,83,1,-1,1
0.4688,15,32,84,27,-1,1
0.4688,15,32,85,121,-1,1
0.4688,15,32,86,1,-1,1
0.4688,15,32,87,493,-1,1
0.4688,15,32,88,97,-1,1
0.4688,15,32,89,1,-1,1
0.4688,15,32,90,1,-1,1
0.4688,15,32,91,50003,131,0
0.4688,15,32,92,27,-1,1
0.4688,15,32,93,115,-1,1
0.4688,15,32,94,55,-1,1
0.4688,15,32,95,15,-1,1
0.4688,15,32,96,1,-1,1
0.4688,15,32,97,1,-1,1
0.4688,15,32,98,1,-1,1
0.4688,15,32,99,7,-1,1
0.4688,15,32,100,31,-1,1
0.5000,16,32,1,39,-1,1
0.5000,16,32,2,139,-1,1
0.5000,16,32,3,15,-1,1
0.5000,16,32,4,1,-1,1
0.5000,16,32,5,50005,203,0
0.5000,16,32,6,1,-1,1
0.5000,16,32,7,1,-1,1
0.5000,16,32,8,53,-1,1
0.5000,16,32,9,1,-1,1
0.5000,16,32,10,1,-1,1
0.5000,16,32,11,50003,167,0
0.5000,16,32,12,1,-1,1
0.5000,16,32,13,50007,149,0
0.5000,16,32,14,3,-1,1
0.5000,16,32,15,3,-1,1
0.5000,16,32,16,50003,133,0
0.5000,16,32,17,1,-1,1
0.5000,16,32,18,21,-1,1
0.5000,16,32,19,5,-1,1
0.5000,16,32,20,17,-1,1
0.5000,16,32,21,7,-1,1
0.5000,16,32,22,50006,174,0
0.5000,16,32,23,1,-1,1
0.5000,16,32,24,3,-1,1
0.5000,16,32,25,3,-1,1
0.5000,16,32,26,1,-1,1
0.5000,16,32,27,25,-1,1
0.5000,16,32,28,50001,171,0
0.5000,16,32,29,50001,181,0
0.5000,16,32,30,43,-1,1
0.5000,16,32,31,1,-1,1
0.5000,16,32,32,5,-1,1
0.5000,16,32,33,50001,153,0
0.5000,16,32,34,85,-1,1
0.5000,16,32,35,1,-1,1
0.5000,16,32,36,1,-1,1
0.5000,16,32,37,217,-1,1
0.5000,16,32,38,7,-1,1
0.5000,16,32,39,9,-1,1
0.5000,16,32,40,1,-1,1
0.5000,16,32,41,50005,149,0
0.5000,16,32,42,27,-1,1
0.5000,16,32,43,50005,185,0
0.5000,16,32,44,23,-1,1
0.5000,16,32,45,50003,157,0
0.5000,16,32,46,35,-1,1
0.5000,16,32,47,9,-1,1
0.5000,16,32,48,19,-1,1
0.5000,16,32,49,7,-1,1
0.5000,16,32,50,3,-1,1
0.5000,16,32,51,50005,199,0
0.5000,16,32,52,15,-1,1
0.5000,16,32,53,50007,179,0
0.5000,16,32,54,357,-1,1
0.5000,16,32,55,13,-1,1
0.5000,16,32,56,1,-1,1
0.5000,16,32,57,35,-1,1
0.5000,16,32,58,3,-1,1
0.5000,16,32,59,7,-1,1
0.5000,16,32,60,3,-1,1
0.5000,16,32,61,5,-1,1
0.5000,16,32,62,1,-1,1
0.5000,16,32,63,55,-1,1
0.5000,16,32,64,50005,177,0
0.5000,16,32,65,50001,155,0
0.5000,16,32,66,50005,177,0
0.5000,16,32,67,1,-1,1
0.5000,16,32,68,11,-1,1
0.5000,16,32,69,17,-1,1
0.5000,16,32,70,1,-1,1
0.5000,16,32,71,1,-1,1
0.5000,16,32,72,50001,199,0
0.5000,16,32,73,50003,169,0
0.5000,16,32,74,1,-1,1
0.5000,16,32,75,50007,169,0
0.5000,16,32,76,50003,189,0
0.5000,16,32,77,1,-1,1
0.5000,16,32,78,1,-1,1
0.5000,16,32,79,31,-1,1
0.5000,16,32,80,1,-1,1
0.5000,16,32,81,1,-1,1
0.5000,16,32,82,3,-1,1
0.5000,16,32,83,1,-1,1
0.5000,16,32,84,27,-1,1
0.5000,16,32,85,947,-1,1
0.5000,16,32,86,1,-1,1
0.5000,16,32,87,175,-1,1
0.5000,16,32,88,50003,219,0
0.5000,16,32,89,1,-1,1
0.5000,16,32,90,1,-1,1
0.5000,16,32,91,273,-1,1
0.5000,16,32,92,50003,177,0
0.5000,16,32,93,50007,149,0
0.5000,16,32,94,11,-1,1
0.5000,16,32,95,15,-1,1
0.5000,16,32,96,1,-1,1
0.5000,16,32,97,1,-1,1
0.5000,16,32,98,1,-1,1
0.5000,16,32,99,7,-1,1
0.5000,16,32,100,50005,149,0
0.5312,17,32,1,39,-1,1
0.5312,17,32,2,50003,193,0
0.5312,17,32,3,15,-1,1
0.5312,17,32,4,1,-1,1
0.5312,17,32,5,50005,211,0
0.5312,17,32,6,1,-1,1
0.5312,17,32,7,1,-1,1
0.5312,17,32,8,73,-1,1
0.5312,17,32,9,1,-1,1
0.5312,17,32,10,1,-1,1
0.5312,17,32,11,50007,203,0
0.5312,17,32,12,1,-1,1
0.5312,17,32,13,50003,189,0
0.5312,17,32,14,3,-1,1
0.5312,17,32,15,3,-1,1
0.5312,17,32,16,50005,205,0
0.5312,17,32,17,1,-1,1
0.5312,17,32,18,21,-1,1
0.5312,17,32,19,5,-1,1
0.5312,17,32,20,17,-1,1
0.5312,17,32,21,7,-1,1
0.5312,17,32,22,50005,223,0
0.5312,17,32,23,1,-1,1
0.5312,17,32,24,3,-1,1
0.5312,17,32,25,3,-1,1
0.5312,17,32,26,1,-1,1
0.5312,17,32,27,25,-1,1
0.5312,17,32,28,50007,163,0
0.5312,17,32,29,50003,161,0
0.5312,17,32,30,17,-1,1
0.5312,17,32,31,1,-1,1
0.5312,17,32,32,50005,213,0
0.5312,17,32,33,50005,217,0
0.5312,17,32,34,139,-1,1
0.5312,17,32,35,3,-1,1
0.5312,17,32,36,1,-1,1
0.5312,17,32,37,50001,197,0
0.5312,17,32,38,7,-1,1
0.5312,17,32,39,9,-1,1
0.5312,17,32,40,1,-1,1
0.5312,17,32,41,29,-1,1
0.5312,17,32,42,50005,241,0
0.5312,17,32,43,131,-1,1
0.5312,17,32,44,23,-1,1
0.5312,17,32,45,39,-1,1
0.5312,17,32,46,35,-1,1
0.5312,17,32,47,9,-1,1
0.5312,17,32,48,50001,183,0
0.5312,17,32,49,7,-1,1
0.5312,17,32,50,3,-1,1
0.5312,17,32,51,50003,203,0
0.5312,17,32,52,15,-1,1
0.5312,17,32,53,50007,189,0
0.5312,17,32,54,49,-1,1
0.5312,17,32,55,50003,209,0
0.5312,17,32,56,1,-1,1
0.5312,17,32,57,33,-1,1
0.5312,17,32,58,3,-1,1
0.5312,17,32,59,7,-1,1
0.5312,17,32,60,3,-1,1
0.5312,17,32,61,5,-1,1
0.5312,17,32,62,1,-1,1
0.5312,17,32,63,50003,207,0
0.5312,17,32,64,50005,175,0
0.5312,17,32,65,53,-1,1
0.5312,17,32,66,50001,187,0
0.5312,17,32,67,1,-1,1
0.5312,17,32,68,11,-1,1
0.5312,17,32,69,17,-1,1
0.5312,17,32,70,1,-1,1
0.5312,17,32,71,1,-1,1
0.5312,17,32,72,50005,215,0
0.5312,17,32,73,50001,241,0
0.5312,17,32,74,1,-1,1
0.5312,17,32,75,50001,175,0
0.5312,17,32,76,50003,181,0
0.5312,17,32,77,1,-1,1
0.5312,17,32,78,1,-1,1
0.5312,17,32,79,13,-1,1
0.5312,17,32,80,1,-1,1
0.5312,17,32,81,1,-1,1
0.5312,17,32,82,3,-1,1
0.5312,17,32,83,1,-1,1
0.5312,17,32,84,33,-1,1
0.5312,17,32,85,50003,187,0
0.5312,17,32,86,1,-1,1
0.5312,17,32,87,50007,165,0
0.5312,17,32,88,101,-1,1
0.5312,17,32,89,1,-1,1
0.5312,17,32,90,1,-1,1
0.5312,17,32,91,177,-1,1
0.5312,17,32,92,50003,215,0
0.5312,17,32,93,50005,187,0
0.5312,17,32,94,11,-1,1
0.5312,17,32,95,15,-1,1
0.5312,17,32,96,1,-1,1
0.5312,17,32,97,1,-1,1
0.5312,17,32,98,1,-1,1
0.5312,17,32,99,7,-1,1
0.5312,17,32,100,50005,209,0
0.5625,18,32,1,39,-1,1
0.5625,18,32,2,50003,231,0
0.5625,18,32,3,15,-1,1
0.5625,18,32,4,1,-1,1
0.5625,18,32,5,50005,229,0
0.5625,18,32,6,1,-1,1
0.5625,18,32,7,1,-1,1
0.5625,18,32,8,50007,233,0
0.5625,18,32,9,1,-1,1
0.5625,18,32,10,1,-1,1
0.5625,18,32,11,50007,243,0
0.5625,18,32,12,193,-1,1
0.5625,18,32,13,50005,245,0
0.5625,18,32,14,3,-1,1
0.5625,18,32,15,3,-1,1
0.5625,18,32,16,50007,209,0
0.5625,18,32,17,1,-1,1
0.5625,18,32,18,21,-1,1
0.5625,18,32,19,5,-1,1
0.5625,18,32,20,50003,227,0
0.5625,18,32,21,7,-1,1
0.5625,18,32,22,50005,213,0
0.5625,18,32,23,1,-1,1
0.5625,18,32,24,19,-1,1
0.5625,18,32,25,3,-1,1
0.5625,18,32,26,1,-1,1
0.5625,18,32,27,50001,213,0
0.5625,18,32,28,50001,227,0
0.5625,18,32,29,50005,229,0
0.5625,18,32,30,17,-1,1
0.5625,18,32,31,1,-1,1
0.5625,18,32,32,50005,195,0
0.5625,18,32,33,50001,257,0
0.5625,18,32,34,50001,255,0
0.5625,18,32,35,41,-1,1
0.5625,18,32,36,1,-1,1
0.5625,18,32,37,50005,235,0
0.5625,18,32,38,7,-1,1
0.5625,18,32,39,9,-1,1
0.5625,18,32,40,1,-1,1
0.5625,18,32,41,50005,211,0
0.5625,18,32,42,50001,219,0
0.5625,18,32,43,50007,273,0
0.5625,18,32,44,23,-1,1
0.5625,18,32,45,50003,223,0
0.5625,18,32,46,50001,209,0
0.5625,18,32,47,9,-1,1
0.5625,18,32,48,50007,231,0
0.5625,18,32,49,7,-1,1
0.5625,18,32,50,3,-1,1
0.5625,18,32,51,50003,225,0
0.5625,18,32,52,15,-1,1
0.5625,18,32,53,50003,207,0
0.5625,18,32,54,9,-1,1
0.5625,18,32,55,50003,197,0
0.5625,18,32,56,1,-1,1
0.5625,18,32,57,50001,237,0
0.5625,18,32,58,3,-1,1
0.5625,18,32,59,7,-1,1
0.5625,18,32,60,3,-1,1
0.5625,18,32,61,50007,191,0
0.5625,18,32,62,1,-1,1
0.5625,18,32,63,50003,249,0
0.5625,18,32,64,50007,235,0
0.5625,18,32,65,53,-1,1
0.5625,18,32,66,50001,219,0
0.5625,18,32,67,1,-1,1
0.5625,18,32,68,11,-1,1
0.5625,18,32,69,17,-1,1
0.5625,18,32,70,1,-1,1
0.5625,18,32,71,1,-1,1
0.5625,18,32,72,50005,249,0
0.5625,18,32,73,50003,215,0
0.5625,18,32,74,1,-1,1
0.5625,18,32,75,50001,241,0
0.5625,18,32,76,50003,205,0
0.5625,18,32,77,1,-1,1
0.5625,18,32,78,1,-1,1
0.5625,18,32,79,13,-1,1
0.5625,18,32,80,1,-1,1
0.5625,18,32,81,1,-1,1
0.5625,18,32,82,3,-1,1
0.5625,18,32,83,1,-1,1
0.5625,18,32,84,33,-1,1
0.5625,18,32,85,50003,227,0
0.5625,18,32,86,1,-1,1
0.5625,18,32,87,50001,235,0
0.5625,18,32,88,103,-1,1
0.5625,18,32,89,1,-1,1
0.5625,18,32,90,1,-1,1
0.5625,18,32,91,50003,217,0
0.5625,18,32,92,50000,220,0
0.5625,18,32,93,50001,221,0
0.5625,18,32,94,50005,207,0
0.5625,18,32,95,50007,255,0
0.5625,18,32,96,1,-1,1
0.5625,18,32,97,1,-1,1
0.5625,18,32,98,1,-1,1
0.5625,18,32,99,50003,245,0
0.5625,18,32,100,50005,227,0
