p,threads,seed,events,size
0.40,8,188,1,0
0.40,8,189,41,20
0.40,8,190,73,36
0.40,8,191,13,6
0.40,8,192,1,0
0.40,8,193,259,129
0.40,8,194,7,3
0.40,8,195,1,0
0.40,8,196,1,0
0.40,8,197,5,2
0.40,8,198,1,0
0.40,8,199,1,0
0.40,8,200,1,0
0.45,8,1,19,9
0.45,8,2,33,16
0.45,8,3,65,32
0.45,8,4,53,26
0.45,8,5,279,139
0.45,8,6,1,0
0.45,8,7,7,3
0.45,8,8,179,89
0.45,8,9,265,132
0.45,8,10,325,162
0.45,8,11,3,1
0.45,8,12,3,1
0.45,8,13,39,19
0.45,8,14,23,11
0.45,8,15,241,120
0.45,8,16,3,1
0.45,8,17,113,56
0.45,8,18,89,44
0.45,8,19,329,164
0.45,8,20,37,18
0.45,8,21,45,22
0.45,8,22,147,73
0.45,8,23,3,1
0.45,8,24,149,74
0.45,8,25,7,3
0.45,8,26,1,0
0.45,8,27,271,135
0.45,8,28,295,147
0.45,8,29,9,4
0.45,8,30,1,0
0.45,8,31,7,3
0.45,8,32,119,59
0.45,8,33,19,9
0.45,8,34,1,0
0.45,8,35,451,225
0.45,8,36,7,3
0.45,8,37,71,35
0.45,8,38,39,19
0.45,8,39,301,150
0.45,8,40,1,0
0.45,8,41,1,0
0.45,8,42,27,13
0.45,8,43,97,48
0.45,8,44,31,15
0.45,8,45,317,158
0.45,8,46,105,52
0.45,8,47,37,18
0.45,8,48,603,301
0.45,8,49,197,98
0.45,8,50,533,266
0.45,8,51,39,19
0.45,8,52,325,162
0.45,8,53,1,0
0.45,8,54,1,0
0.45,8,55,39,19
0.45,8,56,1,0
0.45,8,57,1,0
0.45,8,58,47,23
0.45,8,59,149,74
0.45,8,60,3,1
0.45,8,61,1,0
0.45,8,62,29,14
0.45,8,63,7,3
0.45,8,64,293,146
0.45,8,65,105,52
0.45,8,66,7,3
0.45,8,67,121,60
0.45,8,68,33,16
0.45,8,69,7,3
0.45,8,70,105,52
0.45,8,71,17,8
0.45,8,72,213,106
0.45,8,73,1,0
0.45,8,74,57,28
0.45,8,75,15,7
0.45,8,76,195,97
0.45,8,77,455,227
0.45,8,78,1,0
0.45,8,79,19,9
0.45,8,80,157,78
0.45,8,81,19,9
0.45,8,82,39,19
0.45,8,83,111,55
0.45,8,84,233,116
0.45,8,85,453,226
0.45,8,86,1,0
0.45,8,87,607,303
0.45,8,88,219,109
0.45,8,89,1,0
0.45,8,90,147,73
0.45,8,91,71,35
0.45,8,92,125,62
0.45,8,93,117,58
0.45,8,94,3,1
0.45,8,95,289,144
0.45,8,96,1,0
0.45,8,97,7,3
0.45,8,98,65,32
0.45,8,99,1,0
0.45,8,100,1,0
0.45,8,101,173,86
0.45,8,102,39,19
0.45,8,103,33,16
0.45,8,104,7,3
0.45,8,105,9,4
0.45,8,106,53,26
0.45,8,107,7,3
0.45,8,108,11,5
0.45,8,109,3,1
0.45,8,110,41,20
0.45,8,111,61,30
0.45,8,112,37,18
0.45,8,113,1,0
0.45,8,114,33,16
0.45,8,115,13,6
0.45,8,116,23,11
0.45,8,117,1,0
0.45,8,118,3,1
0.45,8,119,641,320
0.45,8,120,203,101
0.45,8,121,3,1
0.45,8,122,1,0
0.45,8,123,15,7
0.45,8,124,33,16
0.45,8,125,769,384
0.45,8,126,45,22
0.45,8,127,191,95
0.45,8,128,57,28
0.45,8,129,3,1
0.45,8,130,3,1
0.45,8,131,1,0
0.45,8,132,1,0
0.45,8,133,41,20
0.45,8,134,1,0
0.45,8,135,17,8
0.45,8,136,87,43
0.45,8,137,13,6
0.45,8,138,157,78
0.45,8,139,1,0
0.45,8,140,119,59
0.45,8,141,53,26
0.45,8,142,495,247
0.45,8,143,233,116
0.45,8,144,7,3
0.45,8,145,1,0
0.45,8,146,129,64
0.45,8,147,1,0
0.45,8,148,5,2
0.45,8,149,13,6
0.45,8,150,81,40
0.45,8,151,95,47
0.45,8,152,495,247
0.45,8,153,55,27
0.45,8,154,149,74
0.45,8,155,1,0
0.45,8,156,945,472
0.45,8,157,1,0
0.45,8,158,29,14
0.45,8,159,141,70
0.45,8,160,313,156
0.45,8,161,357,178
0.45,8,162,3,1
0.45,8,163,131,65
0.45,8,164,19,9
0.45,8,165,215,107
0.45,8,166,89,44
0.45,8,167,1,0
0.45,8,168,41,20
0.45,8,169,3,1
0.45,8,170,703,351
0.45,8,171,225,112
0.45,8,172,1,0
0.45,8,173,1,0
0.45,8,174,1,0
0.45,8,175,57,28
0.45,8,176,387,193
0.45,8,177,141,70
0.45,8,178,3,1
0.45,8,179,5,2
0.45,8,180,5,2
0.45,8,181,37,18
0.45,8,182,23,11
0.45,8,183,49,24
0.45,8,184,127,63
0.45,8,185,15,7
0.45,8,186,5,2
0.45,8,187,179,89
0.45,8,188,1,0
0.45,8,189,117,58
0.45,8,190,23,11
0.45,8,191,583,291
0.45,8,192,421,210
0.45,8,193,45,22
0.45,8,194,231,115
0.45,8,195,1,0
0.45,8,196,1,0
0.45,8,197,5,2
0.45,8,198,1,0
0.45,8,199,1,0
0.45,8,200,1,0
0.50,8,1,1963,981
0.50,8,2,149,74
0.50,8,3,33,16
0.50,8,4,235,117
0.50,8,5,155,77
0.50,8,6,61,30
0.50,8,7,7,3
0.50,8,8,29,14
0.50,8,9,1557,778
0.50,8,10,2273,1136
0.50,8,11,937,468
0.50,8,12,859,429
0.50,8,13,43,21
0.50,8,14,185,92
0.50,8,15,9,4
0.50,8,16,3,1
0.50,8,17,131,65
0.50,8,18,143,71
0.50,8,19,869,434
0.50,8,20,157,78
0.50,8,21,1711,855
0.50,8,22,49,24
0.50,8,23,3,1
0.50,8,24,1069,534
0.50,8,25,7,3
0.50,8,26,1,0
0.50,8,27,563,281
0.50,8,28,59,29
0.50,8,29,9,4
0.50,8,30,1,0
0.50,8,31,1975,987
0.50,8,32,817,408
0.50,8,33,39,19
0.50,8,34,1,0
0.50,8,35,885,442
0.50,8,36,7,3
0.50,8,37,2761,1380
0.50,8,38,143,71
0.50,8,39,487,243
0.50,8,40,1,0
0.50,8,41,1,0
0.50,8,42,469,234
0.50,8,43,21,10
0.50,8,44,11,5
0.50,8,45,445,222
0.50,8,46,383,191
0.50,8,47,1823,911
0.50,8,48,359,179
0.50,8,49,1015,507
0.50,8,50,2841,1420
0.50,8,51,1387,693
0.50,8,52,539,269
0.50,8,53,1,0
0.50,8,54,327,163
0.50,8,55,1613,806
0.50,8,56,1,0
0.50,8,57,1,0
0.50,8,58,1033,516
0.50,8,59,29,14
0.50,8,60,493,246
0.50,8,61,1,0
0.50,8,62,443,221
0.50,8,63,353,176
0.50,8,64,2197,1098
0.50,8,65,123,61
0.50,8,66,1587,793
0.50,8,67,51,25
0.50,8,68,1801,900
0.50,8,69,7,3
0.50,8,70,2129,1064
0.50,8,71,1647,823
0.50,8,72,1025,512
0.50,8,73,1,0
0.50,8,74,2093,1046
0.50,8,75,2929,1464
0.50,8,76,259,129
0.50,8,77,413,206
0.50,8,78,1,0
0.50,8,79,51,25
0.50,8,80,7,3
0.50,8,81,501,250
0.50,8,82,861,430
0.50,8,83,83,41
0.50,8,84,165,82
0.50,8,85,123,61
0.50,8,86,1,0
0.50,8,87,93,46
0.50,8,88,1063,531
0.50,8,89,1,0
0.50,8,90,1917,958
0.50,8,91,2625,1312
0.50,8,92,901,450
0.50,8,93,1221,610
0.50,8,94,3,1
0.50,8,95,1879,939
0.50,8,96,1,0
0.50,8,97,7,3
0.50,8,98,773,386
0.50,8,99,1,0
0.50,8,100,1,0
0.50,8,101,765,382
0.50,8,102,409,204
0.50,8,103,341,170
0.50,8,104,1109,554
0.50,8,105,1473,736
0.50,8,106,27,13
0.50,8,107,2455,1227
0.50,8,108,359,179
0.50,8,109,45,22
0.50,8,110,41,20
0.50,8,111,71,35
0.50,8,112,1859,929
0.50,8,113,1,0
0.50,8,114,31,15
0.50,8,115,13,6
0.50,8,116,1105,552
0.50,8,117,1,0
0.50,8,118,379,189
0.50,8,119,845,422
0.50,8,120,947,473
0.50,8,121,3,1
0.50,8,122,55,27
0.50,8,123,15,7
0.50,8,124,87,43
0.50,8,125,367,183
0.50,8,126,61,30
0.50,8,127,2503,1251
0.50,8,128,557,278
0.50,8,129,3,1
0.50,8,130,3,1
0.50,8,131,2871,1435
0.50,8,132,1,0
0.50,8,133,571,285
0.50,8,134,1,0
0.50,8,135,19,9
0.50,8,136,2237,1118
0.50,8,137,937,468
0.50,8,138,1943,971
0.50,8,139,1,0
0.50,8,140,1211,605
0.50,8,141,283,141
0.50,8,142,539,269
0.50,8,143,159,79
0.50,8,144,7,3
0.50,8,145,1,0
0.50,8,146,1099,549
0.50,8,147,1,0
0.50,8,148,5,2
0.50,8,149,473,236
0.50,8,150,1827,913
0.50,8,151,741,370
0.50,8,152,2603,1301
0.50,8,153,1283,641
0.50,8,154,1159,579
0.50,8,155,3,1
0.50,8,156,2719,1359
0.50,8,157,1,0
0.50,8,158,1121,560
0.50,8,159,59,29
0.50,8,160,93,46
0.50,8,161,81,40
0.50,8,162,3,1
0.50,8,163,1197,598
0.50,8,164,2229,1114
0.50,8,165,1793,896
0.50,8,166,59,29
0.50,8,167,1,0
0.50,8,168,85,42
0.50,8,169,3,1
0.50,8,170,155,77
0.50,8,171,1691,845
0.50,8,172,1,0
0.50,8,173,1,0
0.50,8,174,1,0
0.50,8,175,637,318
0.50,8,176,2119,1059
0.50,8,177,2445,1222
0.50,8,178,3,1
0.50,8,179,1117,558
0.50,8,180,5,2
0.50,8,181,1011,505
0.50,8,182,2227,1113
0.50,8,183,167,83
0.50,8,184,35,17
0.50,8,185,13,6
0.50,8,186,5,2
0.50,8,187,487,243
0.50,8,188,1,0
0.50,8,189,263,131
0.50,8,190,19,9
0.50,8,191,1445,722
0.50,8,192,1127,563
0.50,8,193,1063,531
0.50,8,194,1117,558
0.50,8,195,1,0
0.50,8,196,1,0
0.50,8,197,2759,1379
0.50,8,198,867,433
0.50,8,199,1,0
0.50,8,200,1,0
0.55,8,1,2041,1020
0.55,8,2,3647,1823
0.55,8,3,955,477
0.55,8,4,3671,1835
0.55,8,5,1839,919
0.55,8,6,1715,857
0.55,8,7,7,3
0.55,8,8,1767,883
0.55,8,9,231,115
0.55,8,10,3471,1735
0.55,8,11,3545,1772
0.55,8,12,3421,1710
0.55,8,13,2951,1475
0.55,8,14,3433,1716
0.55,8,15,3221,1610
0.55,8,16,3,1
0.55,8,17,3311,1655
0.55,8,18,3547,1773
0.55,8,19,3269,1634
0.55,8,20,3101,1550
0.55,8,21,3663,1831
0.55,8,22,3465,1732
0.55,8,23,5,2
0.55,8,24,3511,1755
0.55,8,25,7,3
0.55,8,26,1,0
0.55,8,27,3515,1757
0.55,8,28,3225,1612
0.55,8,29,319,159
0.55,8,30,15,7
0.55,8,31,3557,1778
0.55,8,32,2739,1369
0.55,8,33,3339,1669
0.55,8,34,1,0
0.55,8,35,3227,1613
0.55,8,36,35,17
0.55,8,37,3429,1714
0.55,8,38,487,243
0.55,8,39,541,270
0.55,8,40,3181,1590
0.55,8,41,1,0
0.55,8,42,2973,1486
0.55,8,43,5,2
0.55,8,44,3363,1681
0.55,8,45,3681,1840
0.55,8,46,3411,1705
0.55,8,47,2191,1095
0.55,8,48,3235,1617
0.55,8,49,3419,1709
0.55,8,50,3221,1610
0.55,8,51,3191,1595
0.55,8,52,963,481
0.55,8,53,3645,1822
0.55,8,54,3015,1507
0.55,8,55,1157,578
0.55,8,56,1,0
0.55,8,57,1,0
0.55,8,58,3399,1699
0.55,8,59,3149,1574
0.55,8,60,3401,1700
0.55,8,61,1,0
0.55,8,62,2913,1456
0.55,8,63,3365,1682
0.55,8,64,2745,1372
0.55,8,65,3481,1740
0.55,8,66,1891,945
0.55,8,67,3639,1819
0.55,8,68,37,18
0.55,8,69,7,3
0.55,8,70,3595,1797
0.55,8,71,3061,1530
0.55,8,72,3671,1835
0.55,8,73,1,0
0.55,8,74,2699,1349
0.55,8,75,3397,1698
0.55,8,76,3467,1733
0.55,8,77,3183,1591
0.55,8,78,3349,1674
0.55,8,79,2589,1294
0.55,8,80,3547,1773
0.55,8,81,3517,1758
0.55,8,82,3441,1720
0.55,8,83,3633,1816
0.55,8,84,3379,1689
0.55,8,85,2893,1446
0.55,8,86,1,0
0.55,8,87,3503,1751
0.55,8,88,3299,1649
0.55,8,89,1,0
0.55,8,90,3559,1779
0.55,8,91,3645,1822
0.55,8,92,55,27
0.55,8,93,3365,1682
0.55,8,94,3277,1638
0.55,8,95,3293,1646
0.55,8,96,1,0
0.55,8,97,3499,1749
0.55,8,98,3547,1773
0.55,8,99,1,0
0.55,8,100,1,0
0.55,8,101,2441,1220
0.55,8,102,3425,1712
0.55,8,103,2515,1257
0.55,8,104,3221,1610
0.55,8,105,3413,1706
0.55,8,106,2625,1312
0.55,8,107,3597,1798
0.55,8,108,2573,1286
0.55,8,109,3487,1743
0.55,8,110,3385,1692
0.55,8,111,3253,1626
0.55,8,112,3513,1756
0.55,8,113,1,0
0.55,8,114,3231,1615
0.55,8,115,13,6
0.55,8,116,21,10
0.55,8,117,1685,842
0.55,8,118,3293,1646
0.55,8,119,3615,1807
0.55,8,120,3527,1763
0.55,8,121,3,1
0.55,8,122,3565,1782
0.55,8,123,3233,1616
0.55,8,124,551,275
0.55,8,125,3609,1804
0.55,8,126,733,366
0.55,8,127,133,66
0.55,8,128,25,12
0.55,8,129,2769,1384
0.55,8,130,959,479
0.55,8,131,3459,1729
0.55,8,132,3627,1813
0.55,8,133,1727,863
0.55,8,134,1,0
0.55,8,135,3427,1713
0.55,8,136,1895,947
0.55,8,137,3279,1639
0.55,8,138,3361,1680
0.55,8,139,1,0
0.55,8,140,69,34
0.55,8,141,2927,1463
0.55,8,142,3527,1763
0.55,8,143,3403,1701
0.55,8,144,3115,1557
0.55,8,145,1,0
0.55,8,146,1497,748
0.55,8,147,1,0
0.55,8,148,3349,1674
0.55,8,149,3409,1704
0.55,8,150,3055,1527
0.55,8,151,3179,1589
0.55,8,152,2851,1425
0.55,8,153,2185,1092
0.55,8,154,3019,1509
0.55,8,155,3,1
0.55,8,156,3463,1731
0.55,8,157,1,0
0.55,8,158,3441,1720
0.55,8,159,2825,1412
0.55,8,160,3263,1631
0.55,8,161,3339,1669
0.55,8,162,3325,1662
0.55,8,163,1001,500
0.55,8,164,3467,1733
0.55,8,165,3341,1670
0.55,8,166,3509,1754
0.55,8,167,1,0
0.55,8,168,3469,1734
0.55,8,169,3559,1779
0.55,8,170,2919,1459
0.55,8,171,3183,1591
0.55,8,172,1,0
0.55,8,173,1,0
0.55,8,174,1,0
0.55,8,175,3349,1674
0.55,8,176,3677,1838
0.55,8,177,3565,1782
0.55,8,178,2989,1494
0.55,8,179,13,6
0.55,8,180,5,2
0.55,8,181,3379,1689
0.55,8,182,3555,1777
0.55,8,183,13,6
0.55,8,184,3213,1606
0.55,8,185,3117,1558
0.55,8,186,3155,1577
0.55,8,187,2913,1456
0.55,8,188,1,0
0.55,8,189,3515,1757
0.55,8,190,3365,1682
0.55,8,191,3185,1592
0.55,8,192,1151,575
0.55,8,193,2939,1469
0.55,8,194,3225,1612
0.55,8,195,1,0
0.55,8,196,1,0
0.55,8,197,3203,1601
0.55,8,198,3521,1760
0.55,8,199,1,0
0.55,8,200,1,0
0.60,8,1,3767,1883
0.60,8,2,3809,1904
0.60,8,3,3731,1865
0.60,8,4,3741,1870
0.60,8,5,3775,1887
0.60,8,6,3509,1754
0.60,8,7,3849,1924
0.60,8,8,3859,1929
0.60,8,9,3773,1886
0.60,8,10,3797,1898
0.60,8,11,3905,1952
0.60,8,12,3827,1913
0.60,8,13,3833,1916
0.60,8,14,3939,1969
0.60,8,15,3825,1912
0.60,8,16,3,1
0.60,8,17,3855,1927
0.60,8,18,3841,1920
0.60,8,19,3871,1935
0.60,8,20,3635,1817
0.60,8,21,3827,1913
0.60,8,22,3601,1800
0.60,8,23,3851,1925
0.60,8,24,3827,1913
0.60,8,25,7,3
0.60,8,26,1,0
0.60,8,27,3781,1890
0.60,8,28,3839,1919
0.60,8,29,3799,1899
0.60,8,30,15,7
0.60,8,31,3707,1853
0.60,8,32,3783,1891
0.60,8,33,3793,1896
0.60,8,34,1,0
0.60,8,35,3897,1948
0.60,8,36,3837,1918
0.60,8,37,3585,1792
0.60,8,38,3835,1917
0.60,8,39,3891,1945
0.60,8,40,17,8
0.60,8,41,1,0
0.60,8,42,3725,1862
0.60,8,43,5,2
0.60,8,44,3899,1949
0.60,8,45,3595,1797
0.60,8,46,3809,1904
0.60,8,47,3749,1874
0.60,8,48,3819,1909
0.60,8,49,3925,1962
0.60,8,50,3741,1870
0.60,8,51,3753,1876
0.60,8,52,3833,1916
0.60,8,53,3845,1922
0.60,8,54,3799,1899
0.60,8,55,3867,1933
0.60,8,56,1,0
0.60,8,57,1,0
0.60,8,58,3873,1936
0.60,8,59,3713,1856
0.60,8,60,3891,1945
0.60,8,61,1,0
0.60,8,62,15,7
0.60,8,63,3831,1915
0.60,8,64,3813,1906
0.60,8,65,3855,1927
0.60,8,66,3637,1818
0.60,8,67,3869,1934
0.60,8,68,3891,1945
0.60,8,69,7,3
0.60,8,70,3847,1923
0.60,8,71,3743,1871
0.60,8,72,3839,1919
0.60,8,73,1,0
0.60,8,74,3823,1911
0.60,8,75,3813,1906
0.60,8,76,3527,1763
0.60,8,77,3907,1953
0.60,8,78,3831,1915
0.60,8,79,3897,1948
0.60,8,80,3805,1902
0.60,8,81,3833,1916
0.60,8,82,3837,1918
0.60,8,83,3715,1857
0.60,8,84,3827,1913
0.60,8,85,3807,1903
0.60,8,86,1,0
0.60,8,87,3837,1918
0.60,8,88,3857,1928
0.60,8,89,3839,1919
0.60,8,90,3807,1903
0.60,8,91,3763,1881
0.60,8,92,3847,1923
0.60,8,93,3575,1787
0.60,8,94,3813,1906
0.60,8,95,3805,1902
0.60,8,96,1,0
0.60,8,97,3873,1936
0.60,8,98,3847,1923
0.60,8,99,3851,1925
0.60,8,100,1,0
0.60,8,101,3675,1837
0.60,8,102,3845,1922
0.60,8,103,3811,1905
0.60,8,104,3881,1940
0.60,8,105,3717,1858
0.60,8,106,3829,1914
0.60,8,107,3781,1890
0.60,8,108,3781,1890
0.60,8,109,3851,1925
0.60,8,110,3863,1931
0.60,8,111,3867,1933
0.60,8,112,3853,1926
0.60,8,113,3689,1844
0.60,8,114,3827,1913
0.60,8,115,11,5
0.60,8,116,3691,1845
0.60,8,117,3483,1741
0.60,8,118,3803,1901
0.60,8,119,3867,1933
0.60,8,120,3825,1912
0.60,8,121,3,1
0.60,8,122,3871,1935
0.60,8,123,3849,1924
0.60,8,124,3727,1863
0.60,8,125,3861,1930
0.60,8,126,3649,1824
0.60,8,127,3851,1925
0.60,8,128,3889,1944
0.60,8,129,3861,1930
0.60,8,130,3907,1953
0.60,8,131,3769,1884
0.60,8,132,3839,1919
0.60,8,133,3869,1934
0.60,8,134,1,0
0.60,8,135,3851,1925
0.60,8,136,3769,1884
0.60,8,137,3909,1954
0.60,8,138,3825,1912
0.60,8,139,1,0
0.60,8,140,3867,1933
0.60,8,141,3815,1907
0.60,8,142,3813,1906
0.60,8,143,3797,1898
0.60,8,144,3685,1842
0.60,8,145,1,0
0.60,8,146,3791,1895
0.60,8,147,1,0
0.60,8,148,3901,1950
0.60,8,149,3841,1920
0.60,8,150,3699,1849
0.60,8,151,3857,1928
0.60,8,152,3845,1922
0.60,8,153,3625,1812
0.60,8,154,3891,1945
0.60,8,155,3,1
0.60,8,156,3825,1912
0.60,8,157,3585,1792
0.60,8,158,3791,1895
0.60,8,159,3809,1904
0.60,8,160,3903,1951
0.60,8,161,3787,1893
0.60,8,162,3855,1927
0.60,8,163,3751,1875
0.60,8,164,3885,1942
0.60,8,165,3815,1907
0.60,8,166,3863,1931
0.60,8,167,3807,1903
0.60,8,168,3741,1870
0.60,8,169,3807,1903
0.60,8,170,3843,1921
0.60,8,171,3835,1917
0.60,8,172,1,0
0.60,8,173,1,0
0.60,8,174,1,0
0.60,8,175,3785,1892
0.60,8,176,3839,1919
0.60,8,177,3887,1943
0.60,8,178,3891,1945
0.60,8,179,3821,1910
0.60,8,180,3819,1909
0.60,8,181,3825,1912
0.60,8,182,3853,1926
0.60,8,183,3699,1849
0.60,8,184,3903,1951
0.60,8,185,3889,1944
0.60,8,186,3781,1890
0.60,8,187,3833,1916
0.60,8,188,1,0
0.60,8,189,3839,1919
0.60,8,190,3831,1915
0.60,8,191,3809,1904
0.60,8,192,3903,1951
0.60,8,193,3913,1956
0.60,8,194,3877,1938
0.60,8,195,1,0
0.60,8,196,1,0
0.60,8,197,3873,1936
0.60,8,198,3843,1921
0.60,8,199,1,0
0.60,8,200,3865,1932
