start,eps,seed,cp,alive,n_α,n_β,n_γ,n_δ
γ,0.01,13,9000,24,16,6,0,1
γ,0.01,13,10000,23,14,8,0,1
γ,0.01,13,11000,24,0,0,24,0
γ,0.01,14,1000,21,15,2,7,0
γ,0.01,14,2000,22,18,4,0,1
γ,0.01,14,3000,23,10,4,9,0
γ,0.01,14,4000,23,22,0,1,0
γ,0.01,14,5000,22,19,3,0,1
γ,0.01,14,6000,24,23,0,1,0
γ,0.01,14,7000,24,23,0,1,0
γ,0.01,14,8000,24,24,0,0,0
γ,0.01,14,9000,24,6,15,0,2
γ,0.01,14,10000,24,23,0,1,0
γ,0.01,14,11000,24,20,3,0,0
γ,0.01,15,1000,24,22,0,1,0
γ,0.01,15,2000,24,11,11,0,1
γ,0.01,15,3000,22,17,5,0,0
γ,0.01,15,4000,24,16,0,8,0
γ,0.01,15,5000,24,21,0,2,0
γ,0.01,15,6000,22,21,0,3,0
γ,0.01,15,7000,24,17,5,1,0
γ,0.01,15,8000,24,14,8,0,1
γ,0.01,15,9000,23,18,2,4,0
γ,0.01,15,10000,24,20,4,0,0
γ,0.01,16,1000,22,11,0,12,0
γ,0.01,16,2000,24,18,0,1,1
γ,0.01,16,3000,23,14,1,7,0
γ,0.01,16,4000,23,24,0,0,0
γ,0.01,16,5000,23,19,4,0,0
γ,0.01,16,6000,24,0,20,4,0
γ,0.01,16,7000,24,7,11,5,0
γ,0.01,17,1000,22,9,10,2,0
γ,0.01,17,2000,23,17,0,5,0
γ,0.01,17,3000,23,24,0,0,0
γ,0.01,17,4000,24,12,10,2,0
γ,0.01,17,5000,22,8,0,16,0
γ,0.01,17,6000,24,8,16,0,0
γ,0.01,17,7000,23,20,0,3,0
γ,0.01,17,8000,23,16,4,3,0
γ,0.01,17,9000,22,0,16,6,1
γ,0.01,17,10000,24,23,1,0,0
γ,0.01,17,11000,24,9,11,2,0
γ,0.01,18,1000,23,10,0,13,0
γ,0.01,18,2000,24,22,0,1,0
γ,0.01,18,3000,24,6,18,0,0
γ,0.01,19,1000,24,22,2,0,0
γ,0.01,19,2000,22,20,1,2,0
γ,0.01,19,3000,23,19,1,2,0
γ,0.01,19,4000,24,12,11,0,0
γ,0.01,19,5000,24,17,0,5,0
γ,0.01,19,6000,23,19,0,2,0
γ,0.01,19,7000,22,17,6,0,0
γ,0.01,19,8000,23,20,2,2,0
γ,0.01,19,9000,24,0,24,0,0
γ,0.01,19,10000,23,22,0,1,0
