start,eps,seed,cp,alive,n_α,n_β,n_γ,n_δ
α,0.0,21,11000,24,23,0,0,0
α,0.0,22,1000,22,24,0,0,0
α,0.0,22,2000,23,24,0,0,0
α,0.0,22,3000,24,23,0,0,0
α,0.0,22,4000,21,23,0,0,0
α,0.0,22,5000,23,22,0,0,0
α,0.0,22,6000,24,23,0,0,0
α,0.0,22,7000,23,24,0,0,0
α,0.0,22,8000,22,24,0,0,0
α,0.0,22,9000,24,24,0,0,0
α,0.0,22,10000,23,23,0,0,0
α,0.0,22,11000,23,24,0,0,0
α,0.0,23,1000,23,22,0,0,0
α,0.0,23,2000,23,23,0,0,0
α,0.0,23,3000,24,24,0,0,0
α,0.0,23,4000,22,22,0,0,0
α,0.0,23,5000,23,24,0,0,0
α,0.0,23,6000,24,23,0,0,0
α,0.0,23,7000,23,24,0,0,0
α,0.0,23,8000,22,23,0,0,0
α,0.0,23,9000,23,23,0,0,0
α,0.0,23,10000,24,24,0,0,0
α,0.0,23,11000,23,24,0,0,0
α,0.0,24,1000,23,23,0,0,0
α,0.0,24,2000,24,23,0,0,0
α,0.0,24,3000,23,24,0,0,0
α,0.0,24,4000,24,24,0,0,0
α,0.0,24,5000,24,24,0,0,0
α,0.0,24,6000,24,23,0,0,0
α,0.0,24,7000,23,24,0,0,0
α,0.0,24,8000,23,24,0,0,0
α,0.0,24,9000,23,23,0,0,0
α,0.0,24,10000,24,24,0,0,0
α,0.0,24,11000,24,24,0,0,0
α,0.0,25,1000,23,23,0,0,0
α,0.0,25,2000,23,23,0,0,0
α,0.0,25,3000,23,23,0,0,0
α,0.0,25,4000,24,24,0,0,0
α,0.0,25,5000,24,24,0,0,0
α,0.0,25,6000,23,24,0,0,0
α,0.0,25,7000,24,22,0,0,0
α,0.0,25,8000,23,24,0,0,0
α,0.0,25,9000,23,24,0,0,0
α,0.0,25,10000,24,24,0,0,0
α,0.0,25,11000,24,24,0,0,0
α,0.0,26,1000,23,23,0,0,0
α,0.0,26,2000,23,23,0,0,0
α,0.0,26,3000,24,23,0,0,0
α,0.0,26,4000,23,24,0,0,0
α,0.0,26,5000,24,23,0,0,0
α,0.0,26,6000,24,24,0,0,0
α,0.0,26,7000,23,24,0,0,0
α,0.0,26,8000,23,24,0,0,0
α,0.0,26,9000,24,23,0,0,0
α,0.0,26,10000,23,22,0,0,0
α,0.0,26,11000,23,23,0,0,0
α,0.0,27,1000,23,24,0,0,0
α,0.0,27,2000,23,22,0,0,0
α,0.0,27,3000,22,22,0,0,0
α,0.0,27,4000,23,23,0,0,0
α,0.0,27,5000,24,24,0,0,0
α,0.0,27,6000,23,23,0,0,0
α,0.0,27,7000,23,23,0,0,0
α,0.0,27,8000,23,22,0,0,0
α,0.0,27,9000,24,24,0,0,0
α,0.0,27,10000,24,23,0,0,0
α,0.0,27,11000,24,23,0,0,0
α,0.0,28,1000,23,24,0,0,0
α,0.0,28,2000,23,23,0,0,0
α,0.0,28,3000,24,23,0,0,0
α,0.0,28,4000,23,23,0,0,0
α,0.0,28,5000,23,23,0,0,0
α,0.0,28,6000,21,24,0,0,0
α,0.0,28,7000,24,24,0,0,0
α,0.0,28,8000,23,23,0,0,0
α,0.0,28,9000,24,24,0,0,0
α,0.0,28,10000,24,24,0,0,0
α,0.0,28,11000,24,24,0,0,0
α,0.0,29,1000,23,23,0,0,0
α,0.0,29,2000,23,22,0,0,0
α,0.0,29,3000,23,23,0,0,0
α,0.0,29,4000,23,22,0,0,0
α,0.0,29,5000,23,23,0,0,0
α,0.0,29,6000,23,23,0,0,0
α,0.0,29,7000,24,24,0,0,0
α,0.0,29,8000,24,23,0,0,0
α,0.0,29,9000,24,23,0,0,0
α,0.0,29,10000,23,23,0,0,0
α,0.0,29,11000,24,24,0,0,0
α,0.0,30,1000,24,24,0,0,0
α,0.0,30,2000,24,24,0,0,0
α,0.0,30,3000,23,23,0,0,0
α,0.0,30,4000,24,24,0,0,0
α,0.0,30,5000,24,24,0,0,0
α,0.0,30,6000,24,23,0,0,0
α,0.0,30,7000,23,23,0,0,0
α,0.0,30,8000,23,24,0,0,0
α,0.0,30,9000,23,23,0,0,0
α,0.0,30,10000,24,23,0,0,0
α,0.0,30,11000,23,24,0,0,0
α,0.0,31,1000,23,22,0,0,0
α,0.0,31,2000,24,23,0,0,0
α,0.0,31,3000,23,23,0,0,0
α,0.0,31,4000,22,23,0,0,0
α,0.0,31,5000,24,24,0,0,0
α,0.0,31,6000,24,24,0,0,0
α,0.0,31,7000,24,22,0,0,0
α,0.0,31,8000,23,23,0,0,0
α,0.0,31,9000,23,24,0,0,0
α,0.0,31,10000,23,23,0,0,0
α,0.0,31,11000,24,24,0,0,0
α,0.0,32,1000,23,23,0,0,0
α,0.0,32,2000,24,23,0,0,0
α,0.0,32,3000,24,23,0,0,0
α,0.0,32,4000,24,24,0,0,0
α,0.0,32,5000,24,24,0,0,0
α,0.0,32,6000,23,24,0,0,0
α,0.0,32,7000,23,24,0,0,0
α,0.0,32,8000,24,23,0,0,0
α,0.0,32,9000,22,24,0,0,0
α,0.0,32,10000,23,24,0,0,0
α,0.0,32,11000,24,24,0,0,0
α,0.0,33,1000,23,22,0,0,0
α,0.0,33,2000,23,24,0,0,0
α,0.0,33,3000,23,24,0,0,0
α,0.0,33,4000,24,24,0,0,0
α,0.0,33,5000,24,23,0,0,0
α,0.0,33,6000,23,22,0,0,0
α,0.0,33,7000,23,22,0,0,0
α,0.0,33,8000,24,24,0,0,0
α,0.0,33,9000,23,24,0,0,0
α,0.0,33,10000,23,23,0,0,0
α,0.0,33,11000,23,22,0,0,0
α,0.0,34,1000,23,24,0,0,0
α,0.0,34,2000,24,23,0,0,0
α,0.0,34,3000,23,24,0,0,0
α,0.0,34,4000,23,24,0,0,0
α,0.0,34,5000,23,23,0,0,0
α,0.0,34,6000,24,23,0,0,0
α,0.0,34,7000,23,24,0,0,0
α,0.0,34,8000,22,23,0,0,0
α,0.0,34,9000,24,24,0,0,0
α,0.0,34,10000,23,23,0,0,0
α,0.0,34,11000,23,24,0,0,0
α,0.0,35,1000,24,24,0,0,0
α,0.0,35,2000,24,23,0,0,0
α,0.0,35,3000,23,23,0,0,0
α,0.0,35,4000,23,23,0,0,0
α,0.0,35,5000,23,23,0,0,0
α,0.0,35,6000,23,22,0,0,0
α,0.0,35,7000,23,24,0,0,0
α,0.0,35,8000,23,23,0,0,0
α,0.0,35,9000,23,24,0,0,0
α,0.0,35,10000,24,24,0,0,0
α,0.0,35,11000,23,24,0,0,0
α,0.0,36,1000,23,23,0,0,0
α,0.0,36,2000,24,24,0,0,0
α,0.0,36,3000,23,22,0,0,0
α,0.0,36,4000,24,22,0,0,0
α,0.0,36,5000,23,23,0,0,0
α,0.0,36,6000,23,24,0,0,0
α,0.0,36,7000,23,24,0,0,0
α,0.0,36,8000,23,24,0,0,0
α,0.0,36,9000,23,22,0,0,0
α,0.0,36,10000,23,23,0,0,0
α,0.0,36,11000,23,24,0,0,0
α,0.0,37,1000,24,22,0,0,0
α,0.0,37,2000,23,24,0,0,0
α,0.0,37,3000,24,22,0,0,0
α,0.0,37,4000,24,24,0,0,0
α,0.0,37,5000,23,23,0,0,0
α,0.0,37,6000,24,23,0,0,0
α,0.0,37,7000,24,22,0,0,0
α,0.0,37,8000,22,23,0,0,0
α,0.0,37,9000,24,23,0,0,0
α,0.0,37,10000,24,23,0,0,0
α,0.0,37,11000,24,22,0,0,0
α,0.0,38,1000,24,23,0,0,0
α,0.0,38,2000,23,23,0,0,0
α,0.0,38,3000,24,23,0,0,0
α,0.0,38,4000,23,23,0,0,0
α,0.0,38,5000,23,24,0,0,0
α,0.0,38,6000,23,23,0,0,0
α,0.0,38,7000,24,24,0,0,0
α,0.0,38,8000,24,23,0,0,0
α,0.0,38,9000,24,24,0,0,0
α,0.0,38,10000,24,23,0,0,0
α,0.0,38,11000,24,23,0,0,0
α,0.0,39,1000,23,22,0,0,0
α,0.0,39,2000,24,24,0,0,0
α,0.0,39,3000,23,23,0,0,0
α,0.0,39,4000,23,23,0,0,0
α,0.0,39,5000,24,24,0,0,0
α,0.0,39,6000,23,24,0,0,0
α,0.0,39,7000,23,23,0,0,0
α,0.0,39,8000,24,23,0,0,0
α,0.0,39,9000,22,24,0,0,0
α,0.0,39,10000,24,23,0,0,0
α,0.0,39,11000,23,23,0,0,0
α,0.0,40,1000,21,22,0,0,0
α,0.0,40,2000,23,22,0,0,0
α,0.0,40,3000,24,24,0,0,0
α,0.0,40,4000,24,23,0,0,0
α,0.0,40,5000,23,23,0,0,0
α,0.0,40,6000,23,24,0,0,0
α,0.0,40,7000,22,24,0,0,0
α,0.0,40,8000,22,23,0,0,0
α,0.0,40,9000,23,24,0,0,0
α,0.0,40,10000,24,24,0,0,0
α,0.0,40,11000,24,23,0,0,0
α,0.0,41,1000,24,22,0,0,0
α,0.0,41,2000,23,24,0,0,0
α,0.0,41,3000,24,23,0,0,0
α,0.0,41,4000,23,24,0,0,0
α,0.0,41,5000,24,23,0,0,0
α,0.0,41,6000,23,23,0,0,0
α,0.0,41,7000,24,24,0,0,0
α,0.0,41,8000,24,24,0,0,0
α,0.0,41,9000,24,23,0,0,0
α,0.0,41,10000,23,24,0,0,0
α,0.0,41,11000,24,23,0,0,0
α,0.0,42,1000,22,23,0,0,0
α,0.0,42,2000,24,23,0,0,0
α,0.0,42,3000,23,24,0,0,0
α,0.0,42,4000,23,23,0,0,0
α,0.0,42,5000,23,22,0,0,0
α,0.0,42,6000,24,24,0,0,0
α,0.0,42,7000,24,23,0,0,0
α,0.0,42,8000,23,24,0,0,0
α,0.0,42,9000,23,24,0,0,0
α,0.0,42,10000,23,23,0,0,0
α,0.0,42,11000,23,22,0,0,0
α,0.0,43,1000,21,22,0,0,0
α,0.0,43,2000,23,23,0,0,0
α,0.0,43,3000,24,23,0,0,0
α,0.0,43,4000,24,23,0,0,0
α,0.0,43,5000,23,24,0,0,0
α,0.0,43,6000,23,24,0,0,0
α,0.0,43,7000,23,24,0,0,0
α,0.0,43,8000,24,23,0,0,0
α,0.0,43,9000,23,24,0,0,0
α,0.0,43,10000,24,24,0,0,0
α,0.0,43,11000,22,23,0,0,0
α,0.0,44,1000,23,23,0,0,0
α,0.0,44,2000,23,24,0,0,0
α,0.0,44,3000,24,24,0,0,0
α,0.0,44,4000,23,24,0,0,0
α,0.0,44,5000,24,24,0,0,0
α,0.0,44,6000,22,24,0,0,0
α,0.0,44,7000,23,24,0,0,0
α,0.0,44,8000,24,24,0,0,0
α,0.0,44,9000,22,24,0,0,0
α,0.0,44,10000,23,23,0,0,0
α,0.0,44,11000,24,24,0,0,0
α,0.0,45,1000,22,24,0,0,0
α,0.0,45,2000,23,24,0,0,0
α,0.0,45,3000,24,24,0,0,0
α,0.0,45,4000,23,23,0,0,0
α,0.0,45,5000,24,24,0,0,0
α,0.0,45,6000,24,23,0,0,0
α,0.0,45,7000,24,22,0,0,0
α,0.0,45,8000,24,23,0,0,0
α,0.0,45,9000,24,23,0,0,0
α,0.0,45,10000,24,24,0,0,0
α,0.0,45,11000,24,24,0,0,0
α,0.0,46,1000,24,23,0,0,0
α,0.0,46,2000,23,24,0,0,0
α,0.0,46,3000,24,23,0,0,0
α,0.0,46,4000,23,24,0,0,0
α,0.0,46,5000,23,22,0,0,0
α,0.0,46,6000,23,24,0,0,0
α,0.0,46,7000,24,24,0,0,0
α,0.0,46,8000,24,23,0,0,0
α,0.0,46,9000,22,24,0,0,0
α,0.0,46,10000,24,24,0,0,0
α,0.0,46,11000,22,24,0,0,0
α,0.0,47,1000,24,24,0,0,0
α,0.0,47,2000,23,23,0,0,0
α,0.0,47,3000,23,23,0,0,0
α,0.0,47,4000,24,23,0,0,0
α,0.0,47,5000,23,23,0,0,0
α,0.0,47,6000,23,23,0,0,0
α,0.0,47,7000,24,22,0,0,0
α,0.0,47,8000,23,23,0,0,0
α,0.0,47,9000,23,24,0,0,0
α,0.0,47,10000,23,24,0,0,0
α,0.0,47,11000,23,24,0,0,0
α,0.0,48,1000,23,24,0,0,0
α,0.0,48,2000,24,23,0,0,0
α,0.0,48,3000,23,23,0,0,0
α,0.0,48,4000,24,23,0,0,0
α,0.0,48,5000,24,23,0,0,0
α,0.0,48,6000,24,23,0,0,0
α,0.0,48,7000,24,24,0,0,0
α,0.0,48,8000,24,24,0,0,0
α,0.0,48,9000,23,22,0,0,0
α,0.0,48,10000,22,24,0,0,0
α,0.0,48,11000,23,22,0,0,0
α,0.0,49,1000,23,23,0,0,0
α,0.0,49,2000,23,23,0,0,0
α,0.0,49,3000,23,23,0,0,0
α,0.0,49,4000,22,22,0,0,0
α,0.0,49,5000,24,24,0,0,0
α,0.0,49,6000,22,23,0,0,0
α,0.0,49,7000,23,23,0,0,0
α,0.0,49,8000,24,24,0,0,0
α,0.0,49,9000,24,23,0,0,0
α,0.0,49,10000,23,24,0,0,0
α,0.0,49,11000,23,23,0,0,0
α,0.0,50,1000,24,24,0,0,0
α,0.0,50,2000,22,23,0,0,0
α,0.0,50,3000,23,24,0,0,0
α,0.0,50,4000,23,22,0,0,0
α,0.0,50,5000,22,23,0,0,0
α,0.0,50,6000,24,24,0,0,0
α,0.0,50,7000,24,24,0,0,0
α,0.0,50,8000,23,24,0,0,0
α,0.0,50,9000,24,23,0,0,0
α,0.0,50,10000,23,23,0,0,0
α,0.0,50,11000,23,23,0,0,0
α,0.01,1,1000,24,0,0,24,0
α,0.01,1,2000,24,20,0,2,0
α,0.01,1,3000,22,23,0,0,0
α,0.01,1,4000,23,20,1,2,0
α,0.01,1,5000,22,19,0,2,1
α,0.01,1,6000,23,18,0,6,0
α,0.01,1,7000,23,13,7,3,0
α,0.01,1,8000,24,9,14,0,1
α,0.01,1,9000,24,8,5,9,1
α,0.01,2,1000,23,21,1,0,0
α,0.01,2,2000,23,22,2,0,0
α,0.01,2,3000,24,1,22,0,0
α,0.01,2,4000,24,18,0,5,0
α,0.01,2,5000,22,21,2,0,1
α,0.01,2,6000,24,10,11,0,1
α,0.01,2,7000,24,18,1,3,2
α,0.01,2,8000,23,15,3,6,0
α,0.01,2,9000,22,14,4,5,0
α,0.01,2,10000,22,18,0,5,0
α,0.01,2,11000,23,13,10,0,0
α,0.01,3,1000,22,23,0,0,0
α,0.01,3,2000,24,0,14,9,0
α,0.01,3,3000,23,16,8,0,0
α,0.01,3,4000,23,18,5,0,0
α,0.01,3,5000,24,12,12,0,0
α,0.01,3,6000,24,23,0,0,0
α,0.01,3,7000,24,23,0,0,0
α,0.01,3,8000,23,22,0,0,0
α,0.01,3,9000,24,15,0,9,0
α,0.01,3,10000,22,15,5,3,0
α,0.01,3,11000,24,21,0,2,1
α,0.01,4,1000,24,8,13,1,0
α,0.01,4,2000,23,23,0,0,0
α,0.01,4,3000,21,18,0,2,0
α,0.01,4,4000,24,14,5,5,0
α,0.01,4,5000,22,15,6,0,2
α,0.01,4,6000,23,10,9,3,0
α,0.01,4,7000,23,17,1,5,1
α,0.01,4,8000,24,2,22,0,0
α,0.01,4,9000,23,13,6,5,0
α,0.01,4,10000,24,6,0,18,0
α,0.01,4,11000,23,16,6,0,0
α,0.01,5,1000,24,24,0,0,0
α,0.01,5,2000,23,9,12,0,1
α,0.01,5,3000,23,21,0,1,0
α,0.01,5,4000,24,15,6,2,0
α,0.01,5,5000,24,12,0,9,1
α,0.01,5,6000,23,16,8,0,0
α,0.01,5,7000,23,23,0,0,1
α,0.01,5,8000,24,14,5,4,0
α,0.01,5,9000,24,18,6,0,0
α,0.01,5,10000,24,21,0,1,1
α,0.01,5,11000,24,14,4,6,0
α,0.01,6,1000,24,18,5,0,0
α,0.01,6,2000,23,22,0,0,0
α,0.01,6,3000,23,14,0,9,0
α,0.01,6,4000,21,7,5,10,0
α,0.01,6,5000,23,6,10,8,0
α,0.01,6,6000,24,21,0,0,0
α,0.01,6,7000,22,10,0,13,0
α,0.01,6,8000,24,16,3,5,0
α,0.01,6,9000,23,24,0,0,0
α,0.01,6,10000,23,18,0,6,0
α,0.01,6,11000,24,24,0,0,0
α,0.01,7,1000,22,12,3,8,0
α,0.01,7,2000,23,0,14,9,1
α,0.01,7,3000,22,20,0,2,1
α,0.01,7,4000,23,17,3,4,0
α,0.01,7,5000,23,22,0,1,0
α,0.01,7,6000,24,22,1,1,0
α,0.01,7,7000,23,10,12,0,0
α,0.01,7,8000,24,9,11,3,0
α,0.01,7,9000,24,20,1,1,1
α,0.01,7,10000,24,23,0,0,0
α,0.01,7,11000,23,20,1,2,0
α,0.01,8,1000,23,20,4,0,0
α,0.01,8,2000,24,17,4,0,2
α,0.01,8,3000,22,18,6,0,0
α,0.01,8,4000,24,17,1,4,1
α,0.01,8,5000,24,0,14,9,1
α,0.01,9,1000,23,14,8,0,0
α,0.01,9,2000,22,22,0,0,0
α,0.01,9,3000,23,21,0,2,0
α,0.01,9,4000,23,23,0,0,0
α,0.01,9,5000,24,11,12,0,0
α,0.01,9,6000,24,21,2,1,0
α,0.01,9,7000,23,24,0,0,0
α,0.01,9,8000,22,21,0,2,0
α,0.01,9,9000,24,24,0,0,0
α,0.01,9,10000,22,23,0,0,0
α,0.01,9,11000,24,15,3,5,0
α,0.01,10,1000,24,1,19,4,0
α,0.01,10,2000,22,20,0,3,0
α,0.01,10,3000,23,0,0,24,0
α,0.01,10,4000,24,19,5,0,0
α,0.01,10,5000,24,16,7,0,1
α,0.01,10,6000,24,21,1,1,0
α,0.01,10,7000,24,24,0,0,0
α,0.01,10,8000,23,15,4,4,0
α,0.01,10,9000,22,16,0,7,0
α,0.01,10,10000,24,9,8,7,0
α,0.01,10,11000,24,17,0,6,1
α,0.01,11,1000,23,22,0,0,0
α,0.01,11,2000,23,22,0,0,0
α,0.01,11,3000,24,16,2,5,0
α,0.01,11,4000,24,7,14,0,1
α,0.01,12,1000,23,2,21,0,0
α,0.01,12,2000,23,13,5,6,0
α,0.01,12,3000,24,20,4,0,0
α,0.01,12,4000,22,9,0,11,1
α,0.01,12,5000,23,12,0,11,0
α,0.01,12,6000,23,12,8,3,0
α,0.01,12,7000,23,20,0,3,0
α,0.01,12,8000,24,16,0,5,1
α,0.01,12,9000,24,8,13,1,0
α,0.01,12,10000,23,17,0,7,0
α,0.01,12,11000,23,16,0,8,0
α,0.01,13,1000,24,12,6,4,1
α,0.01,13,2000,23,17,4,1,1
α,0.01,13,3000,23,21,0,2,0
α,0.01,13,4000,23,20,2,2,0
α,0.01,13,5000,22,22,0,1,0
α,0.01,13,6000,22,23,0,0,0
α,0.01,13,7000,24,0,24,0,0
α,0.01,13,8000,23,18,6,0,0
α,0.01,13,9000,24,16,6,0,1
α,0.01,13,10000,23,14,8,0,1
α,0.01,13,11000,24,0,0,24,0
α,0.01,14,1000,21,19,0,4,1
α,0.01,14,2000,22,18,4,0,1
α,0.01,14,3000,23,10,4,9,0
α,0.01,14,4000,23,22,0,1,0
α,0.01,14,5000,22,19,3,0,1
α,0.01,14,6000,24,23,0,1,0
α,0.01,14,7000,24,23,0,1,0
α,0.01,14,8000,24,24,0,0,0
α,0.01,14,9000,24,6,15,0,2
α,0.01,14,10000,24,23,0,1,0
α,0.01,14,11000,24,20,3,0,0
α,0.01,15,1000,21,10,2,9,0
α,0.01,15,2000,23,22,1,0,0
α,0.01,15,3000,22,17,5,0,0
α,0.01,15,4000,24,16,0,8,0
α,0.01,15,5000,24,21,0,2,0
α,0.01,15,6000,22,21,0,3,0
α,0.01,15,7000,24,17,5,1,0
α,0.01,15,8000,24,14,8,0,1
α,0.01,15,9000,23,18,2,4,0
α,0.01,15,10000,24,20,4,0,0
α,0.01,16,1000,24,14,7,0,1
α,0.01,16,2000,24,12,9,0,1
α,0.01,16,3000,24,17,6,0,0
α,0.01,16,4000,23,24,0,0,0
α,0.01,16,5000,23,19,4,0,0
α,0.01,16,6000,24,0,20,4,0
α,0.01,16,7000,24,7,11,5,0
α,0.01,17,1000,24,13,1,9,0
α,0.01,17,2000,23,17,0,5,0
α,0.01,17,3000,23,24,0,0,0
α,0.01,17,4000,24,12,10,2,0
α,0.01,17,5000,22,8,0,16,0
α,0.01,17,6000,24,8,16,0,0
α,0.01,17,7000,23,20,0,3,0
α,0.01,17,8000,23,16,4,3,0
α,0.01,17,9000,22,0,16,6,1
α,0.01,17,10000,24,23,1,0,0
α,0.01,17,11000,24,9,11,2,0
α,0.01,18,1000,23,19,2,0,1
α,0.01,18,2000,22,23,1,0,0
α,0.01,18,3000,24,22,0,1,0
α,0.01,18,4000,23,20,0,2,1
α,0.01,18,5000,23,23,0,1,0
α,0.01,18,6000,24,21,2,0,1
α,0.01,18,7000,24,20,2,0,0
α,0.01,18,8000,24,23,0,0,1
α,0.01,18,9000,22,21,2,0,0
α,0.01,18,10000,24,16,8,0,0
α,0.01,19,1000,24,20,4,0,0
α,0.01,19,2000,22,20,1,2,0
α,0.01,19,3000,23,19,1,2,0
α,0.01,19,4000,24,12,11,0,0
α,0.01,19,5000,24,17,0,5,0
α,0.01,19,6000,23,19,0,2,0
α,0.01,19,7000,22,17,6,0,0
α,0.01,19,8000,23,20,2,2,0
α,0.01,19,9000,24,0,24,0,0
α,0.01,19,10000,23,22,0,1,0
α,0.01,19,11000,23,11,3,7,3
α,0.01,20,1000,22,22,0,0,0
α,0.01,20,2000,23,5,13,6,0
α,0.01,20,3000,24,19,0,3,1
α,0.01,20,4000,24,23,1,0,0
α,0.01,20,5000,16,0,0,15,1
α,0.01,21,1000,23,10,12,0,0
α,0.01,21,2000,23,23,0,0,0
α,0.01,21,3000,23,23,0,0,0
α,0.01,21,4000,22,24,0,0,0
α,0.01,21,5000,24,16,5,3,0
α,0.01,21,6000,23,8,7,7,0
α,0.01,22,1000,23,19,3,1,0
α,0.01,22,2000,22,10,11,0,1
α,0.01,22,3000,21,15,0,9,0
α,0.01,22,4000,21,14,4,4,0
α,0.01,22,5000,23,19,3,0,1
α,0.01,22,6000,23,13,0,10,0
α,0.01,22,7000,23,18,3,2,0
α,0.01,22,8000,23,21,2,0,0
α,0.01,22,9000,24,13,5,6,0
α,0.01,22,10000,23,21,1,1,0
α,0.01,22,11000,23,19,0,4,0
α,0.01,23,1000,24,21,1,0,1
α,0.01,23,2000,24,0,24,0,0
α,0.01,23,3000,24,8,13,3,0
α,0.01,23,4000,23,18,0,6,0
α,0.01,23,5000,23,16,0,7,0
α,0.01,23,6000,23,17,6,0,0
α,0.01,23,7000,22,19,0,4,0
α,0.01,23,8000,22,23,0,0,0
α,0.01,23,9000,23,23,0,0,0
α,0.01,23,10000,24,19,2,2,0
α,0.01,23,11000,24,19,2,3,0
α,0.01,24,1000,22,23,0,0,0
α,0.01,24,2000,24,18,4,2,0
α,0.01,24,3000,22,15,7,0,0
α,0.01,24,4000,24,23,0,0,1
α,0.01,24,5000,24,23,0,1,0
α,0.01,24,6000,24,15,7,0,0
α,0.01,24,7000,24,8,14,0,1
α,0.01,24,8000,23,24,0,0,0
α,0.01,24,9000,23,18,6,0,0
α,0.01,24,10000,23,2,11,10,0
α,0.01,24,11000,23,15,7,0,0
α,0.01,25,1000,22,16,3,3,1
α,0.01,25,2000,23,15,8,0,0
α,0.01,25,3000,22,10,12,0,1
α,0.01,25,4000,24,16,0,7,0
α,0.01,25,5000,24,24,0,0,0
α,0.01,25,6000,24,7,6,8,1
α,0.01,25,7000,24,20,0,3,0
α,0.01,25,8000,23,23,0,1,0
α,0.01,25,9000,23,24,0,0,0
α,0.01,25,10000,24,22,1,0,1
α,0.01,25,11000,23,9,2,12,0
α,0.01,26,1000,22,15,0,8,0
α,0.01,26,2000,24,17,4,1,1
α,0.01,26,3000,24,17,4,0,1
α,0.01,26,4000,24,21,2,1,0
α,0.01,26,5000,24,8,12,4,0
α,0.01,26,6000,23,16,7,0,0
α,0.01,26,7000,22,16,0,6,0
α,0.01,26,8000,23,14,10,0,0
α,0.01,26,9000,22,18,6,0,0
α,0.01,26,10000,22,17,5,0,0
α,0.01,26,11000,23,10,0,14,0
α,0.01,27,1000,23,11,5,5,0
α,0.01,27,2000,23,24,0,0,0
α,0.01,27,3000,23,19,3,0,1
α,0.01,27,4000,23,22,1,0,0
α,0.01,27,5000,22,20,0,4,0
α,0.01,27,6000,24,11,13,0,0
α,0.01,27,7000,22,14,0,8,0
α,0.01,27,8000,24,9,11,2,1
α,0.01,27,9000,23,22,0,2,0
α,0.01,27,10000,23,13,0,9,0
α,0.01,27,11000,23,13,0,10,0
α,0.01,28,1000,23,24,0,0,0
α,0.01,28,2000,24,22,0,1,0
α,0.01,28,3000,23,24,0,0,0
α,0.01,28,4000,22,15,4,3,0
α,0.01,28,5000,23,22,0,1,0
α,0.01,28,6000,24,20,0,3,1
α,0.01,28,7000,23,16,0,8,0
α,0.01,28,8000,23,23,0,0,0
α,0.01,28,9000,23,16,7,0,0
α,0.01,28,10000,24,21,0,2,1
α,0.01,28,11000,23,19,5,0,0
α,0.01,29,1000,23,23,0,0,0
α,0.01,29,2000,22,17,0,3,0
α,0.01,29,3000,23,17,6,0,1
α,0.01,29,4000,24,19,3,0,0
α,0.01,29,5000,22,16,0,6,0
α,0.01,29,6000,23,16,4,3,0
α,0.01,29,7000,24,21,1,0,2
α,0.01,29,8000,24,19,0,3,0
α,0.01,29,9000,23,2,14,7,0
α,0.01,29,10000,19,0,3,14,1
α,0.01,30,1000,23,10,7,6,1
α,0.01,30,2000,24,12,12,0,0
α,0.01,30,3000,21,18,2,2,0
α,0.01,30,4000,23,23,0,1,0
α,0.01,30,5000,23,14,5,5,0
α,0.01,30,6000,23,6,0,16,1
α,0.01,30,7000,24,23,0,0,0
α,0.01,30,8000,24,15,7,2,0
α,0.01,30,9000,23,11,11,0,1
α,0.01,30,10000,24,23,0,0,0
α,0.01,30,11000,23,21,0,3,0
α,0.01,31,1000,24,13,8,0,2
α,0.01,31,2000,24,10,6,8,0
α,0.01,31,3000,18,0,15,0,2
α,0.01,32,1000,24,9,8,7,0
α,0.01,32,2000,24,21,0,2,0
α,0.01,32,3000,24,21,2,0,0
α,0.01,32,4000,24,12,5,6,0
α,0.01,32,5000,24,18,0,5,0
α,0.01,32,6000,24,19,3,0,1
α,0.01,32,7000,23,14,4,5,0
α,0.01,32,8000,24,22,1,0,0
α,0.01,32,9000,23,24,0,0,0
α,0.01,32,10000,23,24,0,0,0
α,0.01,32,11000,23,15,1,8,0
α,0.01,33,1000,23,22,0,1,0
α,0.01,33,2000,23,13,0,9,0
α,0.01,33,3000,23,10,6,6,0
α,0.01,33,4000,23,14,7,3,0
α,0.01,33,5000,24,5,15,3,0
α,0.01,33,6000,23,20,0,3,0
α,0.01,33,7000,23,19,2,1,0
α,0.01,34,1000,23,10,12,0,2
α,0.01,34,2000,23,16,0,7,0
α,0.01,34,3000,23,22,0,2,0
α,0.01,34,4000,24,20,1,1,0
α,0.01,34,5000,22,23,0,0,0
α,0.01,34,6000,24,18,4,1,0
α,0.01,34,7000,23,21,0,1,1
α,0.01,34,8000,23,13,3,7,0
α,0.01,34,9000,24,22,0,1,1
α,0.01,34,10000,23,18,6,0,0
α,0.01,34,11000,23,23,0,1,0
α,0.01,35,1000,23,12,6,5,0
α,0.01,35,2000,24,22,1,0,0
α,0.01,35,3000,24,6,17,0,0
α,0.01,35,4000,22,15,6,1,1
α,0.01,35,5000,23,0,8,14,1
α,0.01,36,1000,22,15,0,7,0
α,0.01,36,2000,24,24,0,0,0
α,0.01,36,3000,24,17,6,0,0
α,0.01,36,4000,22,19,0,5,0
α,0.01,36,5000,24,0,6,15,1
α,0.01,36,6000,24,12,12,0,0
α,0.01,36,7000,24,19,0,5,0
α,0.01,36,8000,23,22,2,0,0
α,0.01,36,9000,22,5,0,18,0
α,0.01,36,10000,24,12,9,3,0
α,0.01,36,11000,23,22,1,0,1
