cell,seed,dom,alive,fuel,hoard
carrion_t_k2,28,DEAD,0,24,α:3.40;β:4.67
carrion_t_k2,29,DEAD,0,24,α:4.31;β:4.86
carrion_t_k2,30,DEAD,0,24,α:3.56;β:4.00
carrion_t_k2,31,DEAD,0,24,α:4.03;β:4.72
carrion_t_k2,32,DEAD,0,24,α:4.18;β:3.00
carrion_t_k2,33,DEAD,0,24,α:3.42;β:3.12
carrion_t_k2,34,DEAD,0,24,α:4.32;β:2.47
carrion_t_k2,35,DEAD,0,24,α:3.98;β:3.98
carrion_t_k2,36,DEAD,0,24,α:4.17;β:3.57
carrion_t_k2,37,DEAD,0,24,α:3.42;β:3.02
carrion_t_k2,38,DEAD,0,24,α:3.85;β:3.40
carrion_t_k2,39,DEAD,0,24,α:3.90;β:4.72
carrion_t_k2,40,DEAD,0,24,α:3.92;β:4.81
carrion_t_k2,41,DEAD,0,24,α:4.00;β:3.88
carrion_t_k2,42,DEAD,0,24,α:3.76;β:3.22
carrion_t_k2,43,DEAD,0,24,α:3.64;β:3.76
carrion_t_k2,44,DEAD,0,24,α:5.30;β:3.49
carrion_t_k2,45,DEAD,0,24,α:3.06;β:3.73
carrion_t_k2,46,DEAD,0,24,α:3.25;β:4.16
carrion_t_k2,47,DEAD,0,24,α:4.45;β:2.45
carrion_t_k2,48,DEAD,0,24,α:2.98;β:4.26
carrion_t_k2,49,DEAD,0,24,α:3.84;β:3.27
carrion_t_k2,50,DEAD,0,24,α:5.00;β:3.76
carrion_t_k2,51,DEAD,0,24,α:3.44;β:4.16
carrion_t_k2,52,DEAD,0,24,α:4.00;β:4.51
carrion_t_k2,53,DEAD,0,24,α:3.23;β:3.88
carrion_t_k2,54,DEAD,0,24,α:2.64;β:4.44
carrion_t_k2,55,DEAD,0,24,α:3.96;β:2.54
carrion_t_k2,56,DEAD,0,24,α:4.34;β:4.00
carrion_t_k2,57,DEAD,0,24,α:4.75;β:3.15
