ring,w,seed,dom
24,1.15,118,β
24,1.15,119,α
24,1.15,120,β
24,1.15,121,β
24,1.15,122,α
24,1.15,123,α
24,1.15,124,β
24,1.15,125,β
24,1.15,126,β
24,1.15,127,β
24,1.15,128,α
24,1.15,129,β
24,1.15,130,β
24,1.15,131,β
24,1.15,132,β
24,1.15,133,β
24,1.15,134,β
24,1.15,135,β
24,1.15,136,β
24,1.15,137,β
24,1.15,138,β
24,1.15,139,β
24,1.15,140,β
24,1.15,141,α
24,1.15,142,β
24,1.15,143,β
24,1.15,144,β
24,1.15,145,α
24,1.15,146,β
24,1.15,147,β
24,1.15,148,β
24,1.15,149,β
24,1.15,150,β
24,1.15,151,α
24,1.15,152,β
24,1.15,153,α
24,1.15,154,α
24,1.15,155,β
24,1.15,156,β
24,1.15,157,β
24,1.15,158,α
24,1.15,159,β
24,1.15,160,β
24,1.15,161,α
24,1.15,162,α
24,1.15,163,β
24,1.15,164,α
24,1.15,165,β
24,1.15,166,β
24,1.15,167,β
24,1.15,168,β
24,1.15,169,β
24,1.15,170,β
24,1.15,171,β
24,1.15,172,β
24,1.15,173,β
24,1.15,174,α
24,1.15,175,β
24,1.15,176,α
24,1.15,177,α
24,1.15,178,β
24,1.15,179,β
24,1.15,180,β
24,1.15,181,β
24,1.15,182,β
24,1.15,183,α
24,1.15,184,β
24,1.15,185,α
24,1.15,186,β
24,1.15,187,β
24,1.15,188,β
24,1.15,189,α
24,1.15,190,β
24,1.15,191,β
24,1.15,192,β
24,1.15,193,β
24,1.15,194,β
24,1.15,195,β
24,1.15,196,β
24,1.15,197,β
24,1.15,198,β
24,1.15,199,α
24,1.15,200,β
24,1.2,1,β
24,1.2,2,α
24,1.2,3,α
24,1.2,4,β
24,1.2,5,β
24,1.2,6,α
24,1.2,7,α
24,1.2,8,β
24,1.2,9,β
24,1.2,10,β
24,1.2,11,β
24,1.2,12,α
24,1.2,13,α
24,1.2,14,β
24,1.2,15,α
24,1.2,16,α
24,1.2,17,β
24,1.2,18,α
24,1.2,19,β
24,1.2,20,β
24,1.2,21,α
24,1.2,22,β
24,1.2,23,α
24,1.2,24,β
24,1.2,25,α
24,1.2,26,β
24,1.2,27,β
24,1.2,28,β
24,1.2,29,β
24,1.2,30,β
24,1.2,31,β
24,1.2,32,β
24,1.2,33,α
24,1.2,34,β
24,1.2,35,β
24,1.2,36,β
24,1.2,37,β
24,1.2,38,β
24,1.2,39,α
24,1.2,40,α
24,1.2,41,β
24,1.2,42,β
24,1.2,43,β
24,1.2,44,β
24,1.2,45,α
24,1.2,46,β
24,1.2,47,β
24,1.2,48,β
24,1.2,49,β
24,1.2,50,β
24,1.2,51,β
24,1.2,52,β
24,1.2,53,α
24,1.2,54,β
24,1.2,55,β
24,1.2,56,β
24,1.2,57,α
24,1.2,58,β
24,1.2,59,β
24,1.2,60,β
24,1.2,61,β
24,1.2,62,β
24,1.2,63,β
24,1.2,64,α
24,1.2,65,β
24,1.2,66,β
24,1.2,67,α
24,1.2,68,β
24,1.2,69,β
24,1.2,70,β
24,1.2,71,β
24,1.2,72,β
24,1.2,73,β
24,1.2,74,β
24,1.2,75,β
24,1.2,76,β
24,1.2,77,α
24,1.2,78,α
24,1.2,79,β
24,1.2,80,β
24,1.2,81,β
24,1.2,82,β
24,1.2,83,α
24,1.2,84,α
24,1.2,85,α
24,1.2,86,β
24,1.2,87,β
24,1.2,88,β
24,1.2,89,β
24,1.2,90,β
24,1.2,91,α
24,1.2,92,β
24,1.2,93,β
24,1.2,94,α
24,1.2,95,β
24,1.2,96,α
24,1.2,97,α
24,1.2,98,α
24,1.2,99,β
24,1.2,100,α
24,1.2,101,β
24,1.2,102,β
24,1.2,103,β
24,1.2,104,β
24,1.2,105,β
24,1.2,106,β
24,1.2,107,β
24,1.2,108,β
24,1.2,109,α
24,1.2,110,β
24,1.2,111,β
24,1.2,112,β
24,1.2,113,β
24,1.2,114,β
24,1.2,115,β
24,1.2,116,α
24,1.2,117,β
24,1.2,118,β
24,1.2,119,α
24,1.2,120,β
24,1.2,121,β
24,1.2,122,α
24,1.2,123,β
24,1.2,124,β
24,1.2,125,β
24,1.2,126,α
24,1.2,127,β
24,1.2,128,α
24,1.2,129,α
24,1.2,130,β
24,1.2,131,β
24,1.2,132,α
24,1.2,133,β
24,1.2,134,β
24,1.2,135,α
24,1.2,136,β
24,1.2,137,α
24,1.2,138,α
24,1.2,139,β
24,1.2,140,β
24,1.2,141,α
24,1.2,142,β
24,1.2,143,β
24,1.2,144,α
24,1.2,145,β
24,1.2,146,β
24,1.2,147,β
24,1.2,148,β
24,1.2,149,β
24,1.2,150,β
24,1.2,151,β
24,1.2,152,β
24,1.2,153,α
24,1.2,154,β
24,1.2,155,β
24,1.2,156,β
24,1.2,157,β
24,1.2,158,α
24,1.2,159,β
24,1.2,160,β
24,1.2,161,β
24,1.2,162,β
24,1.2,163,β
24,1.2,164,β
24,1.2,165,β
24,1.2,166,β
24,1.2,167,α
24,1.2,168,β
24,1.2,169,α
24,1.2,170,β
24,1.2,171,β
24,1.2,172,β
24,1.2,173,β
24,1.2,174,β
24,1.2,175,β
24,1.2,176,β
24,1.2,177,β
24,1.2,178,β
24,1.2,179,β
24,1.2,180,β
24,1.2,181,β
24,1.2,182,β
24,1.2,183,β
24,1.2,184,β
24,1.2,185,β
24,1.2,186,β
24,1.2,187,β
24,1.2,188,β
24,1.2,189,α
24,1.2,190,α
24,1.2,191,α
24,1.2,192,β
24,1.2,193,β
24,1.2,194,α
24,1.2,195,β
24,1.2,196,β
24,1.2,197,β
24,1.2,198,α
24,1.2,199,β
24,1.2,200,α
24,1.25,1,β
24,1.25,2,α
24,1.25,3,α
24,1.25,4,β
24,1.25,5,β
24,1.25,6,β
24,1.25,7,β
24,1.25,8,α
24,1.25,9,β
24,1.25,10,β
24,1.25,11,β
24,1.25,12,β
24,1.25,13,β
24,1.25,14,β
24,1.25,15,β
24,1.25,16,β
24,1.25,17,β
24,1.25,18,β
24,1.25,19,β
24,1.25,20,α
24,1.25,21,β
24,1.25,22,α
24,1.25,23,α
24,1.25,24,β
24,1.25,25,β
24,1.25,26,β
24,1.25,27,β
24,1.25,28,β
24,1.25,29,β
24,1.25,30,β
24,1.25,31,α
24,1.25,32,α
24,1.25,33,α
24,1.25,34,β
24,1.25,35,β
24,1.25,36,β
24,1.25,37,α
24,1.25,38,β
24,1.25,39,β
24,1.25,40,β
24,1.25,41,β
24,1.25,42,β
24,1.25,43,β
24,1.25,44,β
24,1.25,45,β
24,1.25,46,β
24,1.25,47,β
24,1.25,48,β
24,1.25,49,β
24,1.25,50,β
24,1.25,51,β
24,1.25,52,β
24,1.25,53,β
24,1.25,54,β
24,1.25,55,α
24,1.25,56,β
24,1.25,57,β
24,1.25,58,β
24,1.25,59,β
24,1.25,60,α
24,1.25,61,β
24,1.25,62,β
24,1.25,63,β
24,1.25,64,β
