arm,seed,survived,alive,faithful,sloppy,share_f,births_f,births_s,miscopies,g_alpha,g_target,qmarks,exact
beneficial,32,True,16,0,21,0.0,19,118,32,3,21,0,True
beneficial,33,True,17,3,17,0.15,38,68,28,7,14,3,True
beneficial,34,True,20,11,10,0.5238095238095238,44,58,15,16,5,3,True
beneficial,35,True,18,11,10,0.5238095238095238,63,56,21,6,17,1,True
beneficial,36,True,13,12,6,0.6666666666666666,47,52,20,2,21,1,True
beneficial,37,True,17,10,6,0.625,60,20,9,16,6,2,True
beneficial,38,True,19,8,14,0.36363636363636365,61,62,15,9,14,1,True
beneficial,39,True,12,5,17,0.22727272727272727,26,81,26,14,9,1,True
beneficial,40,True,17,18,5,0.782608695652174,72,42,12,2,20,2,True
beneficial,41,True,18,6,14,0.3,42,52,22,10,14,0,True
beneficial,42,True,18,12,9,0.5714285714285714,62,44,22,13,10,1,True
beneficial,43,True,19,17,0,1.0,69,5,1,22,0,2,True
beneficial,44,True,19,20,0,1.0,82,13,5,22,0,2,True
beneficial,45,True,21,14,2,0.875,67,20,7,20,0,4,True
beneficial,46,True,19,8,13,0.38095238095238093,40,37,19,17,6,1,True
beneficial,47,True,17,0,20,0.0,3,98,40,9,10,5,True
beneficial,48,True,16,11,7,0.6111111111111112,44,41,9,21,1,2,True
beneficial,49,True,18,15,5,0.75,61,47,10,15,5,4,True
beneficial,50,True,20,20,0,1.0,94,14,3,15,8,1,True
beneficial,51,True,14,7,11,0.3888888888888889,52,46,9,21,3,0,True
beneficial,52,True,16,18,2,0.9,92,13,6,0,22,2,True
beneficial,53,True,16,0,20,0.0,14,75,26,12,11,1,True
beneficial,54,True,19,14,0,1.0,69,7,1,23,0,1,True
beneficial,55,True,17,9,11,0.45,38,57,22,13,8,3,True
beneficial,56,True,18,3,18,0.14285714285714285,72,59,13,10,14,0,True
beneficial,57,True,17,23,0,1.0,94,21,7,0,21,3,True
beneficial,58,True,12,0,22,0.0,29,80,27,9,14,1,True
beneficial,59,True,14,5,13,0.2777777777777778,30,72,24,13,9,2,True
beneficial,60,True,21,4,11,0.26666666666666666,45,47,19,18,5,1,True
beneficial,61,True,19,20,0,1.0,84,14,2,11,10,3,True
beneficial,62,True,19,10,8,0.5555555555555556,71,35,16,18,5,1,True
beneficial,63,True,16,3,14,0.17647058823529413,35,65,16,15,8,1,True
beneficial,64,True,17,11,7,0.6111111111111112,54,44,20,10,12,2,True
beneficial,65,True,15,14,8,0.6363636363636364,80,43,18,6,16,2,True
beneficial,66,True,20,1,18,0.05263157894736842,18,80,29,15,8,1,True
beneficial,67,False,10,13,8,0.6190476190476191,39,61,21,15,9,0,True
beneficial,68,True,21,11,9,0.55,76,24,8,9,13,2,True
beneficial,69,True,17,9,11,0.45,38,50,26,12,10,2,True
beneficial,70,True,17,0,16,0.0,18,78,37,12,10,2,True
beneficial,71,True,16,18,1,0.9473684210526315,55,50,23,7,15,2,True
beneficial,72,True,21,4,14,0.2222222222222222,31,63,29,8,12,4,True
beneficial,73,True,14,20,0,1.0,79,5,1,23,0,1,True
beneficial,74,True,16,0,17,0.0,24,94,40,12,11,1,True
beneficial,75,True,20,1,19,0.05,20,85,31,7,14,3,True
beneficial,76,False,11,11,9,0.55,43,51,18,15,8,1,True
beneficial,77,True,18,0,21,0.0,1,111,44,11,9,4,True
beneficial,78,True,17,8,10,0.4444444444444444,45,61,17,4,17,3,True
beneficial,79,True,19,19,0,1.0,85,2,0,22,0,2,True
beneficial,80,True,17,14,2,0.875,75,12,8,15,4,5,True
beneficial,81,True,15,0,19,0.0,21,77,32,10,13,1,True
beneficial,82,True,16,12,9,0.5714285714285714,37,67,25,9,13,2,True
beneficial,83,True,20,10,5,0.6666666666666666,58,35,20,15,8,1,True
beneficial,84,False,6,6,10,0.375,34,69,23,11,13,0,True
beneficial,85,False,9,0,19,0.0,0,97,34,11,8,5,True
beneficial,86,True,20,4,14,0.2222222222222222,35,65,33,18,6,0,True
beneficial,87,True,16,1,18,0.05263157894736842,37,79,26,7,15,2,True
beneficial,88,True,17,15,5,0.75,63,27,11,15,5,4,True
beneficial,89,True,15,14,3,0.8235294117647058,71,7,3,19,4,1,True
beneficial,90,True,18,10,4,0.7142857142857143,61,36,14,11,12,1,True
beneficial,91,True,18,13,4,0.7647058823529411,57,35,8,15,7,2,True
beneficial,92,True,16,11,7,0.6111111111111112,68,20,7,19,4,1,True
beneficial,93,True,16,10,8,0.5555555555555556,47,60,19,11,10,3,True
beneficial,94,True,21,10,5,0.6666666666666666,49,41,12,13,8,3,True
beneficial,95,True,16,8,11,0.42105263157894735,37,43,20,15,8,1,True
beneficial,96,True,17,14,0,1.0,73,0,0,23,0,1,True
beneficial,97,True,22,1,18,0.05263157894736842,24,74,27,5,15,4,True
beneficial,98,True,18,4,13,0.23529411764705882,30,76,26,9,14,1,True
beneficial,99,True,14,0,20,0.0,23,79,22,3,19,2,True
beneficial,100,True,18,9,10,0.47368421052631576,41,59,20,12,11,1,True
deleterious,1,True,17,15,2,0.8823529411764706,71,16,5,20,0,4,True
deleterious,2,True,14,18,1,0.9473684210526315,65,11,4,22,0,2,True
deleterious,3,False,0,12,6,0.6666666666666666,51,41,10,21,3,0,True
deleterious,4,True,18,16,4,0.8,70,14,7,24,0,0,True
deleterious,5,True,19,6,6,0.5,38,40,18,22,0,2,True
deleterious,6,False,0,5,12,0.29411764705882354,32,44,9,19,5,0,True
deleterious,7,False,0,10,8,0.5555555555555556,46,42,5,21,3,0,True
deleterious,8,False,10,7,6,0.5384615384615384,46,39,8,23,1,0,True
deleterious,9,False,0,5,4,0.5555555555555556,44,48,9,20,4,0,True
deleterious,10,True,14,16,0,1.0,47,23,10,24,0,0,True
deleterious,11,False,0,4,4,0.5,44,33,19,17,7,0,True
deleterious,12,False,7,0,13,0.0,17,60,32,19,3,2,True
deleterious,13,False,8,15,4,0.7894736842105263,48,38,18,19,4,1,True
deleterious,14,False,0,8,10,0.4444444444444444,31,40,22,20,4,0,True
deleterious,15,False,11,10,6,0.625,62,27,11,21,1,2,True
deleterious,16,False,11,17,0,1.0,74,9,4,22,1,1,True
deleterious,17,True,17,15,2,0.8823529411764706,62,22,8,20,1,3,True
deleterious,18,True,15,12,4,0.75,58,14,10,21,0,3,True
deleterious,19,True,13,5,10,0.3333333333333333,24,62,23,20,3,1,True
deleterious,20,True,12,10,6,0.625,51,46,18,20,3,1,True
deleterious,21,True,14,16,0,1.0,51,25,5,23,0,1,True
deleterious,22,True,16,10,5,0.6666666666666666,39,24,13,18,4,2,True
deleterious,23,False,4,8,10,0.4444444444444444,29,47,19,20,4,0,True
deleterious,24,False,11,11,8,0.5789473684210527,32,37,17,22,2,0,True
deleterious,25,True,15,18,0,1.0,81,12,4,22,0,2,True
deleterious,26,False,8,4,16,0.2,28,65,21,17,5,2,True
deleterious,27,True,18,16,3,0.8421052631578947,56,14,9,23,0,1,True
deleterious,28,False,0,0,18,0.0,4,61,13,19,5,0,True
deleterious,29,True,16,13,4,0.7647058823529411,64,23,12,20,2,2,True
deleterious,30,True,17,14,2,0.875,48,22,10,22,0,2,True
deleterious,31,False,0,0,17,0.0,12,71,16,19,5,0,True
deleterious,32,False,11,2,13,0.13333333333333333,16,63,32,19,4,1,True
deleterious,33,False,0,6,10,0.375,54,21,16,22,2,0,True
deleterious,34,False,11,11,4,0.7333333333333333,36,38,12,20,2,2,True
deleterious,35,True,16,10,4,0.7142857142857143,54,25,13,22,1,1,True
deleterious,36,False,0,3,9,0.25,22,51,9,22,2,0,True
deleterious,37,True,19,16,1,0.9411764705882353,58,14,8,23,0,1,True
deleterious,38,False,0,9,7,0.5625,36,41,8,20,4,0,True
deleterious,39,False,0,5,12,0.29411764705882354,19,56,23,22,2,0,True
deleterious,40,False,0,0,13,0.0,16,58,19,18,6,0,True
deleterious,41,True,17,16,2,0.8888888888888888,62,17,6,22,0,2,True
deleterious,42,False,4,9,9,0.5,46,37,18,22,2,0,True
deleterious,43,True,19,17,0,1.0,69,5,1,22,0,2,True
deleterious,44,False,11,9,6,0.6,51,31,11,19,4,1,True
deleterious,45,True,19,18,1,0.9473684210526315,65,17,3,23,0,1,True
deleterious,46,False,7,13,6,0.6842105263157895,54,39,18,18,4,2,True
deleterious,47,False,8,0,15,0.0,3,68,20,18,5,1,True
deleterious,48,True,13,1,10,0.09090909090909091,19,41,23,21,1,2,True
deleterious,49,False,0,15,0,1.0,63,25,11,24,0,0,True
deleterious,50,True,15,15,1,0.9375,87,18,4,22,0,2,True
deleterious,51,True,15,6,11,0.35294117647058826,36,44,13,20,3,1,True
deleterious,52,True,16,12,1,0.9230769230769231,55,15,5,21,2,1,True
deleterious,53,False,9,7,7,0.5,37,37,19,23,1,0,True
deleterious,54,True,20,16,0,1.0,71,7,2,22,0,2,True
deleterious,55,True,17,10,7,0.5882352941176471,41,48,16,21,1,2,True
deleterious,56,False,0,8,10,0.4444444444444444,29,44,14,21,3,0,True
deleterious,57,False,0,11,5,0.6875,44,28,8,22,2,0,True
deleterious,58,False,10,9,10,0.47368421052631576,38,34,10,23,0,1,True
deleterious,59,False,6,3,11,0.21428571428571427,17,60,20,19,4,1,True
deleterious,60,True,15,3,11,0.21428571428571427,42,43,18,21,2,1,True
deleterious,61,True,16,19,0,1.0,69,11,4,21,0,3,True
deleterious,62,False,9,6,6,0.5,36,31,18,21,1,2,True
deleterious,63,False,7,17,0,1.0,67,14,13,22,0,2,True
deleterious,64,False,0,0,9,0.0,21,58,12,17,7,0,True
deleterious,65,False,0,7,6,0.5384615384615384,41,43,6,21,3,0,True
deleterious,66,True,12,8,11,0.42105263157894735,54,34,13,21,0,3,True
deleterious,67,True,18,4,13,0.23529411764705882,19,54,23,21,3,0,True
deleterious,68,True,18,20,0,1.0,80,4,2,23,0,1,True
deleterious,69,False,0,4,9,0.3076923076923077,17,42,21,20,4,0,True
deleterious,70,False,0,6,11,0.35294117647058826,29,54,19,18,6,0,True
deleterious,71,False,0,0,19,0.0,11,69,14,19,5,0,True
deleterious,72,True,21,17,0,1.0,76,5,1,21,0,3,True
deleterious,73,True,18,12,0,1.0,74,5,1,22,0,2,True
deleterious,74,False,0,7,12,0.3684210526315789,23,58,25,21,3,0,True
deleterious,75,False,0,0,17,0.0,6,60,17,17,7,0,True
deleterious,76,False,10,6,9,0.4,32,44,18,21,1,2,True
deleterious,77,False,0,1,10,0.09090909090909091,4,56,13,19,5,0,True
deleterious,78,False,0,9,7,0.5625,31,30,18,18,5,1,True
deleterious,79,True,19,19,0,1.0,85,2,0,22,0,2,True
deleterious,80,True,14,17,0,1.0,77,7,1,21,0,3,True
deleterious,81,True,17,9,4,0.6923076923076923,42,38,8,22,0,2,True
deleterious,82,False,0,4,16,0.2,26,56,12,21,3,0,True
deleterious,83,False,11,12,3,0.8,57,17,8,23,1,0,True
deleterious,84,True,13,2,12,0.14285714285714285,24,55,24,20,2,2,True
deleterious,85,False,0,0,11,0.0,0,70,13,20,4,0,True
deleterious,86,True,12,3,12,0.2,34,47,26,19,4,1,True
deleterious,87,False,0,6,12,0.3333333333333333,21,53,14,19,5,0,True
deleterious,88,True,16,16,3,0.8421052631578947,47,22,5,22,1,1,True
deleterious,89,True,18,9,3,0.75,63,7,7,23,0,1,True
deleterious,90,True,17,14,2,0.875,65,19,8,22,0,2,True
deleterious,91,True,21,18,1,0.9473684210526315,74,21,10,20,1,3,True
deleterious,92,True,13,9,2,0.8181818181818182,75,11,2,22,1,1,True
deleterious,93,True,15,10,7,0.5882352941176471,47,40,17,22,1,1,True
deleterious,94,False,0,16,0,1.0,77,13,7,21,3,0,True
deleterious,95,False,8,15,3,0.8333333333333334,50,28,10,23,0,1,True
deleterious,96,True,17,14,0,1.0,73,0,0,23,0,1,True
deleterious,97,False,10,7,12,0.3684210526315789,26,45,24,19,4,1,True
deleterious,98,False,0,2,15,0.11764705882352941,29,61,14,21,3,0,True
deleterious,99,True,15,11,7,0.6111111111111112,41,35,14,21,1,2,True
deleterious,100,True,14,8,4,0.6666666666666666,33,36,17,22,0,2,True
neutral,1,True,15,1,17,0.05555555555555555,20,67,24,5,18,1,True
neutral,2,True,14,6,9,0.4,41,33,16,11,12,1,True
neutral,3,True,16,5,14,0.2631578947368421,34,37,18,10,12,2,True
neutral,4,True,13,15,2,0.8823529411764706,59,20,12,14,10,0,True
neutral,5,True,19,0,17,0.0,7,77,43,8,12,4,True
neutral,6,True,18,0,12,0.0,18,56,21,14,10,0,True
neutral,7,True,19,11,5,0.6875,52,37,13,14,9,1,True
neutral,8,True,18,3,10,0.23076923076923078,40,47,22,12,9,3,True
neutral,9,True,15,14,3,0.8235294117647058,64,26,9,4,18,2,True
neutral,10,True,19,12,3,0.8,36,41,18,16,8,0,True
neutral,11,True,20,7,10,0.4117647058823529,38,41,21,11,11,2,True
neutral,12,True,21,4,6,0.4,24,42,33,12,8,4,True
neutral,13,True,16,7,8,0.4666666666666667,50,55,25,6,17,1,True
neutral,14,True,15,9,8,0.5294117647058824,52,29,11,16,6,2,True
neutral,15,True,16,3,17,0.15,30,57,28,8,13,3,True
neutral,16,True,20,17,0,1.0,68,4,2,24,0,0,True
neutral,17,True,15,17,2,0.8947368421052632,48,31,7,14,5,5,True
neutral,18,True,18,2,14,0.125,23,49,25,9,13,2,True
neutral,19,True,17,0,16,0.0,11,85,30,14,7,3,True
neutral,20,True,19,4,11,0.26666666666666666,35,42,21,11,11,2,True
neutral,21,True,18,3,17,0.15,45,58,17,14,9,1,True
neutral,22,True,20,4,13,0.23529411764705882,38,34,16,10,12,2,True
neutral,23,True,16,5,10,0.3333333333333333,43,36,14,2,22,0,True
neutral,24,True,15,5,14,0.2631578947368421,26,43,23,9,13,2,True
neutral,25,True,19,15,5,0.75,64,21,13,13,9,2,True
neutral,26,True,19,13,7,0.65,56,24,22,11,10,3,True
neutral,27,True,18,4,12,0.25,41,41,24,8,15,1,True
neutral,28,True,15,5,8,0.38461538461538464,18,52,20,12,11,1,True
neutral,29,True,18,14,0,1.0,74,6,5,16,6,2,True
neutral,30,True,17,18,0,1.0,78,14,6,14,9,1,True
neutral,31,True,21,4,12,0.25,21,61,20,11,11,2,True
neutral,32,True,17,3,17,0.15,27,61,24,13,10,1,True
neutral,33,True,21,14,0,1.0,88,5,2,14,8,2,True
neutral,34,True,20,12,3,0.8,56,25,9,12,9,3,True
neutral,35,True,17,13,5,0.7222222222222222,47,27,12,6,14,4,True
neutral,36,True,13,5,12,0.29411764705882354,33,45,26,5,15,4,True
neutral,37,True,15,10,9,0.5263157894736842,60,25,15,14,9,1,True
neutral,38,True,21,18,0,1.0,61,13,9,13,6,5,True
neutral,39,True,18,0,13,0.0,12,72,31,13,8,3,True
neutral,40,True,19,7,10,0.4117647058823529,27,56,36,7,16,1,True
neutral,41,True,21,19,0,1.0,68,12,9,1,21,2,True
neutral,42,False,6,3,16,0.15789473684210525,24,55,22,7,16,1,True
neutral,43,True,19,17,0,1.0,69,5,1,22,0,2,True
neutral,44,True,17,10,0,1.0,88,10,6,22,0,2,True
neutral,45,True,21,17,2,0.8947368421052632,71,19,8,20,3,1,True
neutral,46,True,16,11,5,0.6875,48,30,20,9,12,3,True
neutral,47,True,21,0,16,0.0,3,72,36,12,11,1,True
neutral,48,True,14,2,15,0.11764705882352941,13,69,34,10,14,0,True
neutral,49,True,16,10,10,0.5,38,48,17,19,4,1,True
neutral,50,True,20,15,2,0.8823529411764706,72,24,7,15,8,1,True
neutral,51,True,14,17,1,0.9444444444444444,67,19,9,17,6,1,True
neutral,52,True,15,16,3,0.8421052631578947,76,11,4,6,16,2,True
neutral,53,True,17,8,6,0.5714285714285714,30,39,25,14,8,2,True
neutral,54,True,21,18,0,1.0,61,12,6,20,2,2,True
neutral,55,True,19,13,3,0.8125,43,36,9,21,2,1,True
neutral,56,True,15,15,0,1.0,64,18,3,15,7,2,True
neutral,57,True,14,19,0,1.0,56,16,4,0,23,1,True
neutral,58,True,20,7,11,0.3888888888888889,42,43,28,12,9,3,True
neutral,59,True,16,0,16,0.0,13,69,21,8,13,3,True
neutral,60,True,21,3,12,0.2,33,59,19,12,9,3,True
neutral,61,True,22,15,2,0.8823529411764706,61,21,12,12,12,0,True
neutral,62,True,22,5,9,0.35714285714285715,34,51,26,11,11,2,True
neutral,63,True,17,5,11,0.3125,39,45,13,20,3,1,True
neutral,64,True,17,11,5,0.6875,44,41,14,20,2,2,True
neutral,65,True,19,15,0,1.0,65,19,10,0,23,1,True
neutral,66,True,16,12,4,0.75,39,34,14,11,9,4,True
neutral,67,True,18,10,6,0.625,47,33,12,8,15,1,True
neutral,68,True,17,13,3,0.8125,70,18,10,21,3,0,True
neutral,69,True,18,0,16,0.0,4,55,38,11,11,2,True
neutral,70,True,17,4,16,0.2,15,74,25,15,7,2,True
neutral,71,True,14,0,21,0.0,6,81,39,10,13,1,True
neutral,72,True,21,17,0,1.0,76,5,1,21,0,3,True
neutral,73,True,18,12,0,1.0,74,5,1,22,0,2,True
neutral,74,True,15,0,20,0.0,15,73,39,12,10,2,True
neutral,75,True,16,0,17,0.0,9,64,29,11,12,1,True
neutral,76,True,18,4,15,0.21052631578947367,23,61,30,14,9,1,True
neutral,77,True,21,0,18,0.0,1,86,37,9,11,4,True
neutral,78,True,18,0,16,0.0,8,69,34,7,17,0,True
neutral,79,True,19,19,0,1.0,85,2,0,22,0,2,True
neutral,80,True,17,18,0,1.0,78,6,1,22,0,2,True
neutral,81,True,20,2,12,0.14285714285714285,15,58,28,12,11,1,True
neutral,82,True,16,0,18,0.0,5,75,35,10,11,3,True
neutral,83,True,12,7,7,0.5,52,29,19,4,18,2,True
neutral,84,True,20,9,7,0.5625,42,44,27,7,14,3,True
neutral,85,True,14,0,16,0.0,0,88,34,10,13,1,True
neutral,86,True,19,11,9,0.55,43,45,14,12,10,2,True
neutral,87,True,18,2,13,0.13333333333333333,14,77,29,10,13,1,True
neutral,88,True,17,13,6,0.6842105263157895,49,42,12,15,6,3,True
neutral,89,True,20,13,1,0.9285714285714286,75,7,3,10,13,1,True
neutral,90,True,20,0,13,0.0,26,62,28,4,18,2,True
neutral,91,True,16,7,10,0.4117647058823529,56,34,15,17,6,1,True
neutral,92,True,13,9,7,0.5625,50,28,18,10,12,2,True
neutral,93,True,20,4,13,0.23529411764705882,31,52,20,19,4,1,True
neutral,94,True,18,2,6,0.25,28,43,25,12,10,2,True
neutral,95,True,19,6,5,0.5454545454545454,35,34,16,18,4,2,True
neutral,96,True,17,14,0,1.0,73,0,0,23,0,1,True
neutral,97,True,17,17,3,0.85,39,39,19,14,7,3,True
neutral,98,True,18,7,8,0.4666666666666667,31,61,24,16,7,1,True
neutral,99,True,17,3,15,0.16666666666666666,17,64,25,11,12,1,True
neutral,100,True,19,7,8,0.4666666666666667,31,48,19,14,9,1,True
