glyph,arm,seed,pre_cls,pre_p,outcome,exact
α,plain,17,FIXED,1,REPAIR,True
α,plain,18,FIXED,1,REPAIR,True
α,plain,19,FIXED,1,REPAIR,True
α,plain,20,FIXED,1,REPAIR,True
α,plain,21,FIXED,1,REPAIR,True
α,plain,22,FIXED,1,REPAIR,True
α,plain,23,FIXED,1,REPAIR,True
α,plain,24,FIXED,1,REPAIR,True
α,plain,25,FIXED,1,REPAIR,True
α,plain,26,FIXED,1,REPAIR,True
α,plain,27,FIXED,1,REPAIR,True
α,plain,28,FIXED,1,REPAIR,True
α,plain,29,FIXED,1,REPAIR,True
α,plain,30,FIXED,1,REPAIR,True
α,plain,31,FIXED,1,REPAIR,True
α,plain,32,FIXED,1,REPAIR,True
α,plain,33,FIXED,1,REPAIR,True
α,plain,34,FIXED,1,REPAIR,True
α,plain,35,FIXED,1,REPAIR,True
α,plain,36,FIXED,1,REPAIR,True
α,plain,37,FIXED,1,REPAIR,True
α,plain,38,FIXED,1,REPAIR,True
α,plain,39,FIXED,1,REPAIR,True
α,plain,40,FIXED,1,REPAIR,True
α,plain,41,FIXED,1,REPAIR,True
α,plain,42,FIXED,1,REPAIR,True
α,plain,43,FIXED,1,REPAIR,True
α,plain,44,FIXED,1,REPAIR,True
α,plain,45,FIXED,1,REPAIR,True
α,plain,46,FIXED,1,REPAIR,True
α,plain,47,FIXED,1,REPAIR,True
α,plain,48,FIXED,1,REPAIR,True
α,plain,49,FIXED,1,REPAIR,True
α,plain,50,FIXED,1,REPAIR,True
α,plain,51,FIXED,1,REPAIR,True
α,plain,52,FIXED,1,REPAIR,True
α,plain,53,FIXED,1,REPAIR,True
α,plain,54,FIXED,1,REPAIR,True
α,plain,55,FIXED,1,REPAIR,True
α,plain,56,FIXED,1,REPAIR,True
α,plain,57,FIXED,1,REPAIR,True
α,plain,58,FIXED,1,REPAIR,True
α,plain,59,FIXED,1,REPAIR,True
α,plain,60,FIXED,1,REPAIR,True
α,plain,61,FIXED,1,REPAIR,True
α,plain,62,FIXED,1,REPAIR,True
α,plain,63,FIXED,1,REPAIR,True
α,plain,64,FIXED,1,REPAIR,True
α,plain,65,FIXED,1,REPAIR,True
α,plain,66,FIXED,1,REPAIR,True
α,plain,67,FIXED,1,REPAIR,True
α,plain,68,FIXED,1,REPAIR,True
α,plain,69,FIXED,1,REPAIR,True
α,plain,70,FIXED,1,REPAIR,True
α,plain,71,FIXED,1,REPAIR,True
α,plain,72,FIXED,1,REPAIR,True
α,plain,73,FIXED,1,REPAIR,True
α,plain,74,FIXED,1,REPAIR,True
α,plain,75,FIXED,1,REPAIR,True
α,plain,76,FIXED,1,REPAIR,True
α,plain,77,FIXED,1,REPAIR,True
α,plain,78,FIXED,1,REPAIR,True
α,plain,79,FIXED,1,REPAIR,True
α,plain,80,FIXED,1,REPAIR,True
α,plain,81,FIXED,1,REPAIR,True
α,plain,82,FIXED,1,REPAIR,True
α,plain,83,FIXED,1,REPAIR,True
α,plain,84,FIXED,1,REPAIR,True
α,plain,85,FIXED,1,REPAIR,True
α,plain,86,FIXED,1,REPAIR,True
α,plain,87,FIXED,1,REPAIR,True
α,plain,88,FIXED,1,REPAIR,True
α,plain,89,FIXED,1,REPAIR,True
α,plain,90,FIXED,1,REPAIR,True
α,plain,91,FIXED,1,REPAIR,True
α,plain,92,FIXED,1,REPAIR,True
α,plain,93,FIXED,1,REPAIR,True
α,plain,94,FIXED,1,REPAIR,True
α,plain,95,FIXED,1,REPAIR,True
