eco,seed,dom,tape_ext,n_applies,spends,looted,repairs,q_g_spend,feeds_q,alive_q
rain,130,DEAD,277,281,β.prime:16;α.prime:8;β.f:27;α.f:28,α:4,β:13;α:6,,8;24;24;23,24;19;16;14
rain,131,DEAD,432,432,β.prime:12;α.prime:12;α.f:106;β.f:3,α:5,β:1;α:46,,22;36;36;39,24;14;16;11
rain,132,α,,772,α.prime:14;β.prime:10;α.f:168;β.f:59,α:18;β:5,α:75;β:33,,49;65;62;64,24;15;14;12
rain,133,DEAD,499,502,β.prime:13;α.prime:11;β.f:3;α.f:129,α:10,α:56,,32;40;38;46,24;9;8;18
rain,134,β,,812,β.prime:12;α.prime:12;α.f:8;β.f:222,β:2,α:1;β:114,,54;64;60;62,24;14;11;18
rain,135,DEAD,336,336,α.prime:12;β.prime:12;β.f:17;α.f:57,α:2,β:10;α:20,,12;31;27;28,24;21;13;14
rain,136,β,,809,β.prime:12;α.prime:12;α.f:21;β.f:211,β:2,β:110;α:6,,54;61;61;64,24;13;19;19
rain,137,α,,771,β.prime:12;α.prime:12;α.f:219;β.f:17,α:4,α:105;β:9,,49;65;66;60,24;13;16;11
rain,138,DEAD,279,279,α.prime:12;β.prime:12;β.f:19;α.f:37,α:5,β:4;α:20,,7;25;25;23,24;21;15;11
rain,139,α,,770,β.prime:13;α.prime:11;α.f:186;β.f:41,α:13;β:3,β:24;α:83,,48;62;64;66,24;17;15;16
rain,140,β,,802,α.prime:13;β.prime:11;α.f:50;β.f:177,α:4;β:8,β:96;α:16,,52;63;63;62,24;15;21;17
rain,141,α,,772,α.prime:11;β.prime:13;β.f:20;α.f:216,α:7,β:8;α:107,,52;58;70;60,24;13;20;10
rain,142,β,,812,β.prime:13;α.prime:11;α.f:7;β.f:219,β:2,β:115,,50;64;64;62,24;21;16;16
rain,143,β,,793,β.prime:12;α.prime:12;α.f:10;β.f:210,β:5,β:105;α:1,,53;61;61;65,24;12;16;17
rain,144,β,,804,α.prime:13;β.prime:11;α.f:16;β.f:212,β:3,α:1;β:112,,52;60;64;64,24;15;22;24
rain,145,α,,761,β.prime:12;α.prime:12;α.f:220;β.f:10,α:4,α:104;β:4,,52;60;66;62,24;11;19;11
rain,146,α,,764,α.prime:12;β.prime:12;α.f:204;β.f:23,β:1;α:7,α:97;β:11,,48;62;64;66,24;22;20;14
rain,147,β,,814,α.prime:13;β.prime:11;α.f:12;β.f:213,β:7;α:1,β:111;α:2,,52;62;60;66,24;21;17;19
rain,148,β,,807,α.prime:12;β.prime:12;β.f:216;α.f:8,β:3,β:109;α:2,,54;60;62;64,24;15;17;16
rain,149,α,,768,β.prime:12;α.prime:12;α.f:211;β.f:22,α:8,β:9;α:101,,52;59;67;62,24;11;16;12
rain,150,DEAD,299,300,α.prime:13;β.prime:11;α.f:55;β.f:9,α:2,β:5;α:19,,8;28;28;24,24;20;15;8
mix,1,β,,729,α.prime:11;β.prime:13;β.f:114;β.g:78;α.f:1;α.g:1,β:3,β:115;α:1,0β:11;0α:1;1β:23;2β:18;3β:26,45;54;53;50,24;15;15;13
mix,2,β,,725,α.prime:13;β.prime:11;α.f:18;α.g:6;β.f:91;β.g:71,α:3;β:10,α:8;β:101,0α:6;0β:4;1β:29;2β:22;3β:16,48;49;54;52,24;11;18;18
mix,3,α,,718,β.prime:12;α.prime:12;α.f:111;β.f:7;β.g:9;α.g:79,α:8;β:1,β:10;α:101,0β:9;0α:6;1α:23;2α:21;3α:29,44;55;62;55,24;17;17;11
mix,4,DEAD,569,569,β.prime:11;α.prime:13;α.f:87;α.g:58,α:4,α:79,0α:3;1α:21;2α:26;3α:8,37;42;41;49,24;5;10;22
mix,5,DEAD,212,214,α.prime:9;β.prime:15;β.f:15;β.g:8;α.f:6;α.g:2,β:1,β:9;α:2,1β:2;1α:2;2β:5;3β:1,2;19;18;16,24;22;17;11
mix,6,DEAD,476,476,α.prime:12;β.prime:12;β.f:55;α.f:8;α.g:4;β.g:35,α:2;β:6,α:6;β:55,0α:1;1β:16;1α:3;2β:12;3β:7,26;35;29;36,24;10;15;21
mix,7,DEAD,548,548,β.prime:12;α.prime:12;β.f:60;α.f:20;β.g:43;α.g:8,β:7;α:1,β:62;α:8,0β:7;0α:2;1α:6;1β:11;2β:19;3β:6,30;46;38;41,24;18;14;18
mix,8,α,,708,β.prime:14;α.prime:10;β.f:26;β.g:17;α.f:88;α.g:62,β:4;α:15,β:23;α:81,0β:9;0α:2;1β:8;1α:14;2α:23;3α:23,42;56;56;59,24;15;12;9
mix,9,β,,721,β.prime:12;α.prime:12;β.f:106;β.g:71;α.f:3,β:2,β:110,0β:5;1β:28;2β:14;3β:24,44;46;54;53,24;8;21;13
mix,10,α,,723,β.prime:13;α.prime:11;α.f:106;β.f:7;β.g:5;α.g:88,β:1;α:5,β:5;α:100,0β:5;0α:9;1α:22;2α:31;3α:26,47;59;57;61,24;13;7;14
mix,11,β,,735,α.prime:12;β.prime:12;α.f:8;β.f:105;β.g:73;α.g:5,α:1;β:5,β:109;α:5,0β:11;0α:5;1β:18;2β:26;3β:18,46;54;49;53,24;16;10;20
mix,12,DEAD,373,376,β.prime:12;α.prime:12;α.f:39;α.g:30;β.f:11;β.g:4,α:8,α:34;β:6,0α:1;1α:9;1β:2;2α:14;2β:2;3α:6,18;31;27;32,24;15;11;14
mix,13,α,,711,α.prime:12;β.prime:12;α.f:112;β.f:2;β.g:2;α.g:86,α:4,β:2;α:104,0β:2;0α:8;1α:28;2α:23;3α:27,46;55;60;57,24;10;14;10
mix,14,DEAD,208,208,α.prime:14;β.prime:10;α.f:8;α.g:6;β.f:9;β.g:7,β:2;α:2,α:6;β:7,1α:1;1β:2;2β:4;2α:2;3α:3;3β:1,1;20;17;16,24;23;17;14
mix,15,β,,746,α.prime:11;β.prime:13;α.f:11;α.g:5;β.f:108;β.g:77,α:2;β:5,α:5;β:114,0α:4;0β:10;1β:19;1α:1;2β:22;3β:26,46;53;56;48,24;16;17;9
mix,16,DEAD,657,657,α.prime:12;β.prime:12;α.f:7;β.f:88;β.g:61;α.g:1,β:6,β:90;α:1,0β:8;0α:1;1β:20;2β:18;3β:15,40;46;50;45,24;12;16;11
mix,17,DEAD,377,377,α.prime:11;β.prime:13;α.f:26;β.f:23;β.g:13;α.g:19,β:2;α:1,β:22;α:20,0β:1;0α:1;1α:10;1β:5;2β:6;2α:3;3α:5;3β:1,18;28;30;29,24;18;18;14
mix,18,DEAD,230,232,β.prime:10;α.prime:14;α.f:19;α.g:9;β.f:6;β.g:5,α:1;β:1,α:10;β:5,1α:6;2β:5;2α:3,4;20;20;19,24;22;17;14
mix,19,β,,742,β.prime:13;α.prime:11;β.f:113;α.f:3;β.g:78,β:7,β:112,0β:14;1β:20;2β:19;3β:25,45;50;56;54,24;20;20;15
mix,20,β,,742,α.prime:12;β.prime:12;β.f:110;α.f:4;β.g:80,β:6,β:109,0β:15;1β:22;2β:19;3β:24,43;56;56;52,24;20;17;10
mix,21,α,,716,β.prime:14;α.prime:10;α.f:112;β.f:8;β.g:2;α.g:87,α:5,β:4;α:111,0β:2;0α:10;1α:24;2α:22;3α:31,43;57;58;56,24;13;15;14
mix,22,β,,712,β.prime:9;α.prime:15;β.f:111;α.f:1;α.g:2;β.g:69,β:8,α:2;β:110,0α:2;0β:12;1β:14;2β:21;3β:22,39;53;52;51,24;23;13;12
mix,23,DEAD,216,216,β.prime:11;α.prime:13;β.f:8;α.f:12;β.g:8;α.g:3,α:3,β:8;α:7,1β:3;1α:1;2β:4;2α:2;3β:1,2;20;16;17,24;23;19;13
mix,24,DEAD,,674,α.prime:11;β.prime:13;β.f:5;α.f:102;β.g:1;α.g:72,β:1;α:6,β:2;α:97,0β:1;0α:11;1α:17;2α:28;3α:16,36;58;54;56,24;22;11;17
mix,25,β,,731,β.prime:12;α.prime:12;α.f:5;β.f:108;β.g:76,β:5,β:115,0β:16;1β:13;2β:23;3β:24,45;51;52;50,24;18;9;15
mix,26,DEAD,558,560,β.prime:12;α.prime:12;β.f:15;α.f:70;α.g:47;β.g:9,α:12;β:4,α:61;β:12,0α:7;0β:1;1α:14;1β:5;2β:3;2α:17;3α:9,31;42;44;48,24;17;21;20
mix,27,DEAD,657,657,β.prime:11;α.prime:13;β.f:1;β.g:1;α.f:98;α.g:75,α:8,β:1;α:92,0β:1;0α:6;1α:24;2α:23;3α:22,43;49;56;51,24;7;14;12
mix,28,DEAD,328,328,β.prime:12;α.prime:12;α.f:5;β.f:30;β.g:27,β:6,β:35,1β:7;2β:16;3β:4,14;29;19;24,24;17;8;20
mix,29,DEAD,278,278,β.prime:14;α.prime:10;α.f:25;β.f:7;β.g:6;α.g:12,α:9,β:10;α:15,1β:5;1α:1;2α:7;2β:1;3α:4,8;22;20;24,24;19;13;14
