arm,seed,rescued,alive,gates_a,gates_m,qmarks,copiers,first_mu,events,exact
nowound,87,False,24,24,0,0,0,-1,2265,True
nowound,88,False,24,24,0,0,0,-1,2185,True
nowound,89,False,24,24,0,0,0,-1,2083,True
nowound,90,False,24,24,0,0,0,-1,2838,True
nowound,91,False,24,24,0,0,0,-1,2248,True
nowound,92,False,24,24,0,0,0,-1,2326,True
nowound,93,False,24,24,0,0,0,-1,2188,True
nowound,94,False,24,24,0,0,0,-1,2210,True
nowound,95,False,24,24,0,0,0,-1,1855,True
nowound,96,False,24,24,0,0,0,-1,1908,True
nowound,97,False,24,24,0,0,0,-1,1823,True
nowound,98,False,24,24,0,0,0,-1,2271,True
nowound,99,False,24,24,0,0,0,-1,1811,True
nowound,100,False,24,24,0,0,0,-1,2084,True
sloppy_e001,1,False,0,14,0,10,0,-1,1911,True
sloppy_e001,2,False,0,15,0,9,0,-1,1228,True
sloppy_e001,3,False,0,13,0,11,0,1295,2425,True
sloppy_e001,4,False,0,14,0,10,0,-1,1562,True
sloppy_e001,5,False,0,15,0,9,0,-1,1601,True
sloppy_e001,6,False,0,12,0,12,0,-1,1224,True
sloppy_e001,7,False,0,14,0,10,0,-1,1539,True
sloppy_e001,8,False,0,12,0,12,0,-1,1101,True
sloppy_e001,9,False,0,13,0,11,0,-1,1776,True
sloppy_e001,10,False,0,12,0,12,0,-1,1687,True
sloppy_e001,11,False,0,14,0,10,0,-1,1558,True
sloppy_e001,12,False,0,13,0,11,0,-1,1662,True
sloppy_e001,13,False,0,10,0,14,0,-1,996,True
sloppy_e001,14,False,0,14,0,10,0,-1,990,True
sloppy_e001,15,False,0,12,0,12,0,-1,1280,True
sloppy_e001,16,False,0,17,0,7,0,-1,1936,True
sloppy_e001,17,False,0,13,0,11,0,-1,1289,True
sloppy_e001,18,False,0,15,0,9,0,-1,1771,True
sloppy_e001,19,False,0,14,0,10,0,-1,2029,True
sloppy_e001,20,False,0,10,0,14,0,-1,1354,True
sloppy_e001,21,False,0,14,0,10,0,-1,1486,True
sloppy_e001,22,False,0,16,0,8,0,-1,3255,True
sloppy_e001,23,False,0,13,0,11,0,-1,2054,True
sloppy_e001,24,False,0,12,0,12,0,-1,1333,True
sloppy_e001,25,False,0,13,0,11,0,-1,1053,True
sloppy_e001,26,False,0,14,0,10,0,-1,1776,True
sloppy_e001,27,False,0,13,0,11,0,-1,1926,True
sloppy_e001,28,False,0,13,0,11,0,-1,1365,True
sloppy_e001,29,False,0,13,0,11,0,-1,940,True
sloppy_e001,30,False,0,16,0,8,0,-1,1407,True
sloppy_e001,31,False,0,13,0,11,0,-1,1713,True
sloppy_e001,32,False,0,14,0,10,0,-1,1169,True
sloppy_e001,33,False,0,11,0,13,0,-1,1251,True
sloppy_e001,34,False,0,13,0,11,0,-1,1151,True
sloppy_e001,35,False,0,14,0,10,0,-1,1067,True
sloppy_e001,36,False,0,15,0,9,0,-1,1680,True
sloppy_e001,37,False,0,15,0,9,0,-1,1093,True
sloppy_e001,38,True,18,21,3,0,19,1213,6201,True
sloppy_e001,39,False,0,11,0,13,0,-1,1265,True
sloppy_e001,40,False,0,11,0,13,0,-1,1295,True
sloppy_e001,41,False,0,16,0,8,0,-1,1484,True
sloppy_e001,42,False,0,14,0,10,0,-1,1283,True
sloppy_e001,43,False,0,16,0,8,0,-1,1568,True
sloppy_e001,44,False,0,13,0,11,0,-1,1390,True
sloppy_e001,45,False,0,12,0,12,0,-1,1065,True
sloppy_e001,46,False,0,14,0,10,0,-1,1808,True
sloppy_e001,47,False,0,12,0,12,0,-1,1214,True
