start,eps,seed,exact,alive,winner,law_ext,tape_ext,n_applies,occupancy
γ,0.01,34,True,23,COEX,,,11000,α:23;β:0;γ:1;δ:0
γ,0.01,35,True,0,DEAD,400,401,401,α:0;β:0;γ:0;δ:0
γ,0.01,36,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
γ,0.01,37,True,23,COEX,,,11000,α:14;β:9;γ:0;δ:0
γ,0.01,38,True,24,COEX,,,11000,α:19;β:3;γ:1;δ:0
γ,0.01,39,True,23,COEX,,,11000,α:20;β:3;γ:0;δ:0
γ,0.01,40,True,0,DEAD,573,572,573,α:0;β:0;γ:0;δ:0
γ,0.01,41,True,24,COEX,,,11000,α:13;β:10;γ:0;δ:0
γ,0.01,42,True,24,COEX,,,11000,α:20;β:2;γ:0;δ:0
γ,0.01,43,True,24,COEX,,,11000,α:18;β:4;γ:2;δ:0
γ,0.01,44,True,0,DEAD,7423,7424,7424,α:0;β:0;γ:0;δ:0
γ,0.01,45,True,24,COEX,,,11000,α:3;β:21;γ:0;δ:0
γ,0.01,46,True,24,COEX,,,11000,α:17;β:0;γ:5;δ:0
γ,0.01,47,True,24,COEX,,,11000,α:12;β:8;γ:2;δ:1
γ,0.01,48,True,23,COEX,,,11000,α:16;β:0;γ:7;δ:0
γ,0.01,49,True,0,DEAD,1626,1625,1626,α:0;β:0;γ:0;δ:0
γ,0.01,50,True,24,COEX,,,11000,α:18;β:6;γ:0;δ:0
δ,0.0,1,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,2,True,0,DEAD,798,797,798,α:0;β:0;γ:0;δ:0
δ,0.0,3,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,4,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,5,True,0,DEAD,798,797,798,α:0;β:0;γ:0;δ:0
δ,0.0,6,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,7,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,8,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,9,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,10,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,11,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,12,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,13,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,14,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,15,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,16,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,17,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,18,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.0,19,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,20,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,21,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.0,22,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.0,23,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,24,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,25,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,26,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,27,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,28,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,29,True,0,DEAD,648,647,648,α:0;β:0;γ:0;δ:0
δ,0.0,30,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.0,31,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,32,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,33,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,34,True,0,DEAD,648,647,648,α:0;β:0;γ:0;δ:0
δ,0.0,35,True,0,DEAD,798,797,798,α:0;β:0;γ:0;δ:0
δ,0.0,36,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,37,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,38,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,39,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,40,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,41,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,42,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.0,43,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,44,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.0,45,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.0,46,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,47,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,48,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.0,49,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.0,50,True,0,DEAD,673,672,673,α:0;β:0;γ:0;δ:0
δ,0.01,1,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,2,True,0,DEAD,798,797,798,α:0;β:0;γ:0;δ:0
δ,0.01,3,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,4,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,5,True,0,DEAD,798,797,798,α:0;β:0;γ:0;δ:0
δ,0.01,6,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,7,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,8,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,9,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,10,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,11,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,12,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,13,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,14,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,15,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,16,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,17,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,18,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.01,19,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,20,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,21,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.01,22,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.01,23,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,24,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,25,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,26,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,27,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,28,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,29,True,0,DEAD,648,647,648,α:0;β:0;γ:0;δ:0
δ,0.01,30,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.01,31,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,32,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,33,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,34,True,0,DEAD,648,647,648,α:0;β:0;γ:0;δ:0
δ,0.01,35,True,0,DEAD,798,797,798,α:0;β:0;γ:0;δ:0
δ,0.01,36,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,37,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,38,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,39,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,40,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,41,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,42,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.01,43,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,44,True,0,DEAD,698,697,698,α:0;β:0;γ:0;δ:0
δ,0.01,45,True,0,DEAD,723,722,723,α:0;β:0;γ:0;δ:0
δ,0.01,46,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,47,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,48,True,0,DEAD,773,772,773,α:0;β:0;γ:0;δ:0
δ,0.01,49,True,0,DEAD,748,747,748,α:0;β:0;γ:0;δ:0
δ,0.01,50,True,0,DEAD,673,672,673,α:0;β:0;γ:0;δ:0
