arm,seed,survived,alive,copiers,xlators,builds,repairs,table_cells,exact
no-code,43,False,0,0,0,0,0,0,True
no-code,44,False,0,0,0,0,0,0,True
no-code,45,False,0,0,0,0,0,0,True
no-code,46,False,0,0,0,0,0,0,True
no-code,47,False,0,0,0,0,0,0,True
no-code,48,False,0,0,0,0,0,0,True
no-code,49,False,0,0,0,0,0,0,True
no-code,50,False,0,0,0,0,0,0,True
no-code,51,False,0,0,0,0,0,0,True
no-code,52,False,0,0,0,0,0,0,True
no-code,53,False,0,0,0,0,0,0,True
no-code,54,False,0,0,0,0,0,0,True
no-code,55,False,0,0,0,0,0,0,True
no-code,56,False,0,0,0,0,0,0,True
no-code,57,False,0,0,0,0,0,0,True
no-code,58,False,0,0,0,0,0,0,True
no-code,59,False,0,0,0,0,0,0,True
no-code,60,False,0,0,0,0,0,0,True
no-code,61,False,0,0,0,0,0,0,True
no-code,62,False,0,0,0,0,0,0,True
no-code,63,False,0,0,0,0,0,0,True
no-code,64,False,0,0,0,0,0,0,True
no-code,65,False,0,0,0,0,0,0,True
no-code,66,False,0,0,0,0,0,0,True
no-code,67,False,0,0,0,0,0,0,True
no-code,68,False,0,0,0,0,0,0,True
no-code,69,False,0,0,0,0,0,0,True
no-code,70,False,0,0,0,0,0,0,True
no-code,71,False,0,0,0,0,0,0,True
no-code,72,False,0,0,0,0,0,0,True
no-code,73,False,0,0,0,0,0,0,True
no-code,74,False,0,0,0,0,0,0,True
no-code,75,False,0,0,0,0,0,0,True
no-code,76,False,0,0,0,0,0,0,True
no-code,77,False,0,0,0,0,0,0,True
no-code,78,False,0,0,0,0,0,0,True
no-code,79,False,0,0,0,0,0,0,True
no-code,80,False,0,0,0,0,0,0,True
no-code,81,False,0,0,0,0,0,0,True
no-code,82,False,0,0,0,0,0,0,True
no-code,83,False,0,0,0,0,0,0,True
no-code,84,False,0,0,0,0,0,0,True
no-code,85,False,0,0,0,0,0,0,True
no-code,86,False,0,0,0,0,0,0,True
no-code,87,False,0,0,0,0,0,0,True
no-code,88,False,0,0,0,0,0,0,True
no-code,89,False,0,0,0,0,0,0,True
no-code,90,False,0,0,0,0,0,0,True
no-code,91,False,0,0,0,0,0,0,True
no-code,92,False,0,0,0,0,0,0,True
no-code,93,False,0,0,0,0,0,0,True
no-code,94,False,0,0,0,0,0,0,True
no-code,95,False,0,0,0,0,0,0,True
no-code,96,False,0,0,0,0,0,0,True
no-code,97,False,0,0,0,0,0,0,True
no-code,98,False,0,0,0,0,0,0,True
no-code,99,False,0,0,0,0,0,0,True
no-code,100,False,0,0,0,0,0,0,True
wounded,1,False,0,0,0,102,0,0,True
wounded,2,False,0,0,0,122,0,0,True
wounded,3,False,0,0,0,155,0,0,True
wounded,4,False,0,0,0,148,0,0,True
wounded,5,False,0,0,0,105,0,0,True
wounded,6,False,0,0,0,115,0,0,True
wounded,7,False,0,0,0,115,0,0,True
wounded,8,False,0,0,0,143,0,0,True
wounded,9,False,0,0,0,104,0,0,True
wounded,10,False,0,0,0,134,0,0,True
wounded,11,False,0,0,0,111,0,0,True
wounded,12,False,0,0,0,126,0,0,True
wounded,13,False,0,0,0,75,0,0,True
wounded,14,False,0,0,0,128,0,0,True
wounded,15,False,0,0,0,134,0,0,True
wounded,16,False,5,0,0,119,0,0,True
wounded,17,False,0,0,0,120,0,0,True
wounded,18,False,0,0,0,162,0,0,True
wounded,19,False,0,0,0,106,0,0,True
wounded,20,False,0,0,0,128,0,0,True
wounded,21,False,0,0,0,121,0,0,True
wounded,22,False,0,0,0,123,0,0,True
wounded,23,False,0,0,0,127,0,0,True
wounded,24,False,0,0,0,140,0,0,True
wounded,25,False,0,0,0,172,0,0,True
wounded,26,False,0,0,0,143,0,0,True
wounded,27,False,0,0,0,96,0,0,True
wounded,28,False,7,0,0,132,0,0,True
wounded,29,False,10,0,0,133,0,0,True
wounded,30,False,0,0,0,135,0,0,True
wounded,31,False,0,0,0,137,0,0,True
wounded,32,False,0,0,0,142,0,0,True
wounded,33,False,0,0,0,133,0,0,True
wounded,34,False,0,0,0,111,0,0,True
wounded,35,True,18,1,0,142,0,0,True
wounded,36,False,0,0,0,118,0,0,True
wounded,37,False,0,0,0,129,0,0,True
wounded,38,False,0,0,0,97,0,0,True
wounded,39,False,0,0,0,116,0,0,True
wounded,40,False,0,0,0,142,0,0,True
wounded,41,False,0,0,0,162,0,0,True
wounded,42,False,0,0,0,140,0,0,True
wounded,43,False,0,0,0,166,0,0,True
wounded,44,False,0,0,0,152,0,0,True
wounded,45,False,0,0,0,154,0,0,True
wounded,46,False,0,0,0,112,0,0,True
wounded,47,False,0,0,0,129,0,0,True
wounded,48,False,0,0,0,123,0,0,True
wounded,49,False,0,0,0,148,0,0,True
wounded,50,False,0,0,0,150,0,0,True
wounded,51,False,0,0,0,134,0,0,True
wounded,52,False,0,0,0,121,0,0,True
wounded,53,False,0,0,0,178,0,0,True
wounded,54,False,0,0,0,82,0,0,True
wounded,55,False,0,0,0,142,0,0,True
wounded,56,False,0,0,0,119,0,0,True
wounded,57,False,0,0,0,113,0,0,True
wounded,58,False,0,0,0,118,0,0,True
wounded,59,False,0,0,0,95,0,0,True
wounded,60,False,3,0,0,120,0,0,True
wounded,61,False,0,0,0,124,0,0,True
wounded,62,False,0,0,0,165,0,0,True
wounded,63,False,0,0,0,108,0,0,True
wounded,64,False,0,0,0,77,0,0,True
wounded,65,False,0,0,0,118,0,0,True
wounded,66,False,0,0,0,157,0,0,True
wounded,67,False,0,0,0,150,0,0,True
wounded,68,False,0,0,0,139,0,0,True
wounded,69,False,0,0,0,120,0,0,True
wounded,70,False,0,0,0,138,0,0,True
wounded,71,False,0,0,0,119,0,0,True
wounded,72,True,17,1,0,125,0,0,True
wounded,73,False,0,0,0,141,0,0,True
wounded,74,False,0,0,0,157,0,0,True
wounded,75,False,0,0,0,133,0,0,True
wounded,76,False,0,0,0,117,0,0,True
wounded,77,False,0,0,0,159,0,0,True
wounded,78,False,0,0,0,162,0,0,True
wounded,79,False,0,0,0,129,0,0,True
wounded,80,False,0,0,0,106,0,0,True
wounded,81,False,0,0,0,115,0,0,True
wounded,82,False,0,0,0,122,0,0,True
wounded,83,False,0,0,0,78,0,0,True
wounded,84,False,0,0,0,152,0,0,True
wounded,85,False,0,0,0,99,0,0,True
wounded,86,False,0,0,0,132,0,0,True
wounded,87,False,0,0,0,132,0,0,True
wounded,88,False,0,0,0,106,0,0,True
wounded,89,False,0,0,0,167,0,0,True
wounded,90,False,0,0,0,127,0,0,True
wounded,91,False,0,0,0,97,0,0,True
wounded,92,False,0,0,0,117,0,0,True
wounded,93,False,0,0,0,108,0,0,True
wounded,94,False,0,0,0,133,0,0,True
wounded,95,False,0,0,0,122,0,0,True
wounded,96,False,0,0,0,130,0,0,True
wounded,97,False,0,0,0,112,0,0,True
wounded,98,False,0,0,0,139,0,0,True
wounded,99,False,0,0,0,138,0,0,True
wounded,100,False,0,0,0,122,0,0,True
