stage,cell,seed,dom
ow2,ab_t,42,α
ow2,ab_t,43,α
ow2,ab_t,44,β
ow2,ab_t,45,α
ow2,ab_t,46,α
ow2,ab_t,47,α
ow2,ab_t,48,β
ow2,ab_t,49,β
ow2,ab_t,50,α
ow2,ab_t,51,β
ow2,ab_t,52,α
ow2,ab_t,53,α
ow2,ab_t,54,β
ow2,ab_t,55,α
ow2,ab_t,56,α
ow2,ab_t,57,β
ow2,ab_t,58,β
ow2,ab_t,59,β
ow2,ab_t,60,β
ow2,ab_t,61,α
ow2,ab_t,62,α
ow2,ab_t,63,α
ow2,ab_t,64,α
ow2,ab_t,65,β
ow2,ab_t,66,α
ow2,ab_t,67,α
ow2,ab_t,68,α
ow2,ab_t,69,β
ow2,ab_t,70,α
ow2,ab_t,71,α
ow2,ab_t,72,α
ow2,ab_t,73,α
ow2,ab_t,74,β
ow2,ab_t,75,α
ow2,ab_t,76,α
ow2,ab_t,77,β
ow2,ab_t,78,α
ow2,ab_t,79,β
ow2,ab_t,80,α
ow2,ab_t,81,β
ow2,ab_t,82,β
ow2,ab_t,83,β
ow2,ab_t,84,α
ow2,ab_t,85,α
ow2,ab_t,86,β
ow2,ab_t,87,α
ow2,ab_t,88,α
ow2,ab_t,89,α
ow2,ab_t,90,β
ow2,ab_t,91,α
ow2,ab_t,92,α
ow2,ab_t,93,β
ow2,ab_t,94,α
ow2,ab_t,95,β
ow2,ab_t,96,α
ow2,ab_t,97,α
ow2,ab_t,98,α
ow2,ab_t,99,α
ow2,ab_t,100,β
ow2,bd_t,1,β
ow2,bd_t,2,β
ow2,bd_t,3,β
ow2,bd_t,4,β
ow2,bd_t,5,β
ow2,bd_t,6,β
ow2,bd_t,7,β
ow2,bd_t,8,β
ow2,bd_t,9,β
ow2,bd_t,10,β
ow2,bd_t,11,β
ow2,bd_t,12,β
ow2,bd_t,13,β
ow2,bd_t,14,β
ow2,bd_t,15,β
ow2,bd_t,16,β
ow2,bd_t,17,β
ow2,bd_t,18,β
ow2,bd_t,19,β
ow2,bd_t,20,β
ow2,bd_t,21,β
ow2,bd_t,22,β
ow2,bd_t,23,β
ow2,bd_t,24,β
ow2,bd_t,25,β
ow2,bd_t,26,β
ow2,bd_t,27,β
ow2,bd_t,28,β
ow2,bd_t,29,β
ow2,bd_t,30,β
ow2,bd_t,31,β
ow2,bd_t,32,β
ow2,bd_t,33,β
ow2,bd_t,34,β
ow2,bd_t,35,β
ow2,bd_t,36,β
ow2,bd_t,37,β
ow2,bd_t,38,β
ow2,bd_t,39,β
ow2,bd_t,40,β
ow2,bd_t,41,β
ow2,bd_t,42,β
ow2,bd_t,43,β
ow2,bd_t,44,β
ow2,bd_t,45,β
ow2,bd_t,46,β
ow2,bd_t,47,β
ow2,bd_t,48,β
ow2,bd_t,49,β
ow2,bd_t,50,β
ow2,be_t,1,β
ow2,be_t,2,ε
ow2,be_t,3,β
ow2,be_t,4,β
ow2,be_t,5,ε
ow2,be_t,6,β
ow2,be_t,7,β
ow2,be_t,8,ε
ow2,be_t,9,β
ow2,be_t,10,ε
ow2,be_t,11,ε
ow2,be_t,12,ε
ow2,be_t,13,β
ow2,be_t,14,ε
ow2,be_t,15,β
ow2,be_t,16,ε
ow2,be_t,17,β
ow2,be_t,18,β
ow2,be_t,19,β
ow2,be_t,20,β
ow2,be_t,21,β
ow2,be_t,22,β
ow2,be_t,23,ε
ow2,be_t,24,β
ow2,be_t,25,β
ow2,be_t,26,ε
ow2,be_t,27,β
ow2,be_t,28,β
ow2,be_t,29,β
ow2,be_t,30,β
ow2,be_t,31,β
ow2,be_t,32,ε
ow2,be_t,33,β
ow2,be_t,34,ε
ow2,be_t,35,ε
ow2,be_t,36,ε
ow2,be_t,37,β
ow2,be_t,38,ε
ow2,be_t,39,β
ow2,be_t,40,ε
ow2,be_t,41,β
ow2,be_t,42,β
ow2,be_t,43,ε
ow2,be_t,44,β
ow2,be_t,45,ε
ow2,be_t,46,ε
ow2,be_t,47,ε
ow2,be_t,48,ε
ow2,be_t,49,β
ow2,be_t,50,β
ow2,be_t,51,ε
ow2,be_t,52,ε
ow2,be_t,53,ε
ow2,be_t,54,ε
ow2,be_t,55,β
ow2,be_t,56,ε
ow2,be_t,57,β
ow2,be_t,58,ε
ow2,be_t,59,ε
ow2,be_t,60,β
ow2,be_t,61,β
ow2,be_t,62,ε
ow2,be_t,63,β
ow2,be_t,64,β
ow2,be_t,65,β
ow2,be_t,66,β
ow2,be_t,67,β
ow2,be_t,68,ε
ow2,be_t,69,ε
ow2,be_t,70,β
ow2,be_t,71,β
ow2,be_t,72,β
ow2,be_t,73,ε
ow2,be_t,74,β
ow2,be_t,75,β
ow2,be_t,76,ε
ow2,be_t,77,ε
ow2,be_t,78,ε
ow2,be_t,79,ε
ow2,be_t,80,β
ow2,be_t,81,β
ow2,be_t,82,β
ow2,be_t,83,β
ow2,be_t,84,β
ow2,be_t,85,β
ow2,be_t,86,ε
ow2,be_t,87,ε
ow2,be_t,88,ε
ow2,be_t,89,ε
ow2,be_t,90,ε
ow2,be_t,91,ε
ow2,be_t,92,ε
ow2,be_t,93,β
ow2,be_t,94,β
ow2,be_t,95,β
ow2,be_t,96,β
ow2,be_t,97,β
ow2,be_t,98,β
ow2,be_t,99,ε
ow2,be_t,100,β
ow2,bg_t,1,β
ow2,bg_t,2,DEAD
ow2,bg_t,3,β
ow2,bg_t,4,β
ow2,bg_t,5,β
ow2,bg_t,6,β
ow2,bg_t,7,β
ow2,bg_t,8,DEAD
ow2,bg_t,9,β
ow2,bg_t,10,DEAD
ow2,bg_t,11,DEAD
ow2,bg_t,12,DEAD
ow2,bg_t,13,β
ow2,bg_t,14,DEAD
ow2,bg_t,15,β
ow2,bg_t,16,DEAD
ow2,bg_t,17,β
ow2,bg_t,18,β
ow2,bg_t,19,β
ow2,bg_t,20,β
ow2,bg_t,21,DEAD
ow2,bg_t,22,β
ow2,bg_t,23,DEAD
ow2,bg_t,24,β
ow2,bg_t,25,β
ow2,bg_t,26,DEAD
ow2,bg_t,27,β
ow2,bg_t,28,β
ow2,bg_t,29,β
ow2,bg_t,30,β
ow2,bg_t,31,β
ow2,bg_t,32,DEAD
ow2,bg_t,33,β
ow2,bg_t,34,DEAD
ow2,bg_t,35,DEAD
ow2,bg_t,36,DEAD
ow2,bg_t,37,β
ow2,bg_t,38,DEAD
ow2,bg_t,39,β
ow2,bg_t,40,DEAD
ow2,bg_t,41,β
ow2,bg_t,42,β
ow2,bg_t,43,β
ow2,bg_t,44,β
ow2,bg_t,45,DEAD
ow2,bg_t,46,DEAD
ow2,bg_t,47,β
ow2,bg_t,48,β
ow2,bg_t,49,β
ow2,bg_t,50,β
ow3,a1,1,α
ow3,a1,2,α
ow3,a1,3,DEAD
ow3,a1,4,DEAD
ow3,a1,5,DEAD
ow3,a1,6,α
ow3,a1,7,α
ow3,a1,8,DEAD
ow3,a1,9,α
ow3,a1,10,β
ow3,a1,11,α
ow3,a1,12,α
ow3,a1,13,α
ow3,a1,14,α
ow3,a1,15,α
ow3,a1,16,β
ow3,a1,17,α
ow3,a1,18,α
ow3,a1,19,α
ow3,a1,20,α
ow3,a1,21,α
ow3,a1,22,α
ow3,a1,23,α
ow3,a1,24,α
ow3,a1,25,α
ow3,a1,26,α
ow3,a1,27,α
ow3,a1,28,α
ow3,a1,29,DEAD
ow3,a1,30,α
ow3,a1,31,α
ow3,a1,32,α
ow3,a1,33,α
ow3,a1,34,α
ow3,a1,35,α
ow3,a1,36,α
ow3,a1,37,α
ow3,a1,38,α
ow3,a1,39,α
ow3,a1,40,α
ow3,a1,41,α
ow3,a1,42,α
ow3,a1,43,DEAD
ow3,a1,44,β
ow3,a1,45,DEAD
ow3,a1,46,γ
ow3,a1,47,DEAD
ow3,a1,48,DEAD
ow3,a1,49,α
ow3,a1,50,DEAD
ow3,g0,1,DEAD
ow3,g0,2,DEAD
ow3,g0,3,DEAD
ow3,g0,4,DEAD
ow3,g0,5,DEAD
ow3,g0,6,DEAD
ow3,g0,7,DEAD
ow3,g0,8,DEAD
ow3,g0,9,DEAD
ow3,g0,10,DEAD
ow3,g0,11,DEAD
ow3,g0,12,DEAD
ow3,g0,13,DEAD
ow3,g0,14,DEAD
ow3,g0,15,DEAD
ow3,g0,16,DEAD
ow3,g0,17,DEAD
ow3,g0,18,DEAD
ow3,g0,19,DEAD
ow3,g0,20,DEAD
ow3,g0,21,DEAD
ow3,g0,22,DEAD
ow3,g0,23,DEAD
ow3,g0,24,DEAD
ow3,g0,25,DEAD
ow3,g0,26,DEAD
ow3,g0,27,DEAD
ow3,g0,28,DEAD
ow3,g0,29,DEAD
ow3,g0,30,DEAD
ow3,g0,31,DEAD
ow3,g0,32,DEAD
ow3,g0,33,DEAD
ow3,g0,34,DEAD
ow3,g0,35,DEAD
ow3,g0,36,DEAD
ow3,g0,37,DEAD
ow3,g0,38,DEAD
ow3,g0,39,DEAD
ow3,g0,40,DEAD
ow3,g0,41,DEAD
ow3,g0,42,DEAD
ow3,g0,43,DEAD
ow3,g0,44,DEAD
ow3,g0,45,DEAD
ow3,g0,46,DEAD
ow3,g0,47,DEAD
ow3,g0,48,DEAD
ow3,g0,49,DEAD
ow3,g0,50,DEAD
ow3,g1,1,DEAD
ow3,g1,2,α
ow3,g1,3,DEAD
ow3,g1,4,DEAD
ow3,g1,5,DEAD
ow3,g1,6,α
ow3,g1,7,α
ow3,g1,8,DEAD
ow3,g1,9,α
ow3,g1,10,β
ow3,g1,11,DEAD
ow3,g1,12,DEAD
ow3,g1,13,α
ow3,g1,14,α
ow3,g1,15,DEAD
ow3,g1,16,β
ow3,g1,17,α
ow3,g1,18,α
ow3,g1,19,α
ow3,g1,20,α
ow3,g1,21,α
ow3,g1,22,DEAD
ow3,g1,23,DEAD
ow3,g1,24,α
ow3,g1,25,α
ow3,g1,26,α
ow3,g1,27,α
ow3,g1,28,α
ow3,g1,29,DEAD
ow3,g1,30,DEAD
ow3,g1,31,α
ow3,g1,32,α
ow3,g1,33,α
ow3,g1,34,α
ow3,g1,35,DEAD
ow3,g1,36,DEAD
ow3,g1,37,DEAD
ow3,g1,38,DEAD
ow3,g1,39,α
ow3,g1,40,DEAD
ow3,g1,41,DEAD
ow3,g1,42,α
ow3,g1,43,α
ow3,g1,44,DEAD
ow3,g1,45,DEAD
ow3,g1,46,DEAD
ow3,g1,47,DEAD
ow3,g1,48,DEAD
ow3,g1,49,α
ow3,g1,50,DEAD
