arena,w,seed,dom
free,2.0,80,β
free,2.0,81,β
free,2.0,82,β
free,2.0,83,β
free,2.0,84,β
free,2.0,85,β
free,2.0,86,β
free,2.0,87,β
free,2.0,88,β
free,2.0,89,β
free,2.0,90,β
free,2.0,91,β
free,2.0,92,β
free,2.0,93,β
free,2.0,94,β
free,2.0,95,β
free,2.0,96,β
free,2.0,97,β
free,2.0,98,β
free,2.0,99,β
free,2.0,100,β
free,2.5,1,β
free,2.5,2,β
free,2.5,3,β
free,2.5,4,β
free,2.5,5,β
free,2.5,6,β
free,2.5,7,β
free,2.5,8,β
free,2.5,9,β
free,2.5,10,β
free,2.5,11,β
free,2.5,12,β
free,2.5,13,β
free,2.5,14,β
free,2.5,15,β
free,2.5,16,β
free,2.5,17,β
free,2.5,18,β
free,2.5,19,β
free,2.5,20,β
free,2.5,21,β
free,2.5,22,β
free,2.5,23,β
free,2.5,24,β
free,2.5,25,β
free,2.5,26,β
free,2.5,27,β
free,2.5,28,β
free,2.5,29,β
free,2.5,30,β
free,2.5,31,β
free,2.5,32,β
free,2.5,33,β
free,2.5,34,β
free,2.5,35,β
free,2.5,36,β
free,2.5,37,β
free,2.5,38,β
free,2.5,39,β
free,2.5,40,β
free,2.5,41,β
free,2.5,42,β
free,2.5,43,β
free,2.5,44,β
free,2.5,45,β
free,2.5,46,β
free,2.5,47,β
free,2.5,48,β
free,2.5,49,β
free,2.5,50,β
free,2.5,51,β
free,2.5,52,β
free,2.5,53,β
free,2.5,54,β
free,2.5,55,β
free,2.5,56,β
free,2.5,57,β
free,2.5,58,β
free,2.5,59,β
free,2.5,60,β
free,2.5,61,β
free,2.5,62,β
free,2.5,63,β
free,2.5,64,β
free,2.5,65,β
free,2.5,66,β
free,2.5,67,β
free,2.5,68,β
free,2.5,69,β
free,2.5,70,β
free,2.5,71,β
free,2.5,72,β
free,2.5,73,β
free,2.5,74,β
free,2.5,75,β
free,2.5,76,β
free,2.5,77,β
free,2.5,78,β
free,2.5,79,β
free,2.5,80,β
free,2.5,81,β
free,2.5,82,β
free,2.5,83,β
free,2.5,84,β
free,2.5,85,β
free,2.5,86,β
free,2.5,87,β
free,2.5,88,β
free,2.5,89,β
free,2.5,90,β
free,2.5,91,β
free,2.5,92,β
free,2.5,93,β
free,2.5,94,β
free,2.5,95,β
free,2.5,96,β
free,2.5,97,β
free,2.5,98,β
free,2.5,99,β
free,2.5,100,β
free,3.0,1,β
free,3.0,2,β
free,3.0,3,β
free,3.0,4,β
free,3.0,5,β
free,3.0,6,β
free,3.0,7,β
free,3.0,8,β
free,3.0,9,β
free,3.0,10,β
free,3.0,11,β
free,3.0,12,β
free,3.0,13,β
free,3.0,14,β
free,3.0,15,β
free,3.0,16,β
free,3.0,17,β
free,3.0,18,β
free,3.0,19,β
free,3.0,20,β
free,3.0,21,β
free,3.0,22,β
free,3.0,23,β
free,3.0,24,β
free,3.0,25,β
free,3.0,26,β
free,3.0,27,β
free,3.0,28,β
free,3.0,29,β
free,3.0,30,β
free,3.0,31,β
free,3.0,32,β
free,3.0,33,β
free,3.0,34,β
free,3.0,35,β
free,3.0,36,β
free,3.0,37,β
free,3.0,38,β
free,3.0,39,β
free,3.0,40,β
free,3.0,41,β
free,3.0,42,β
free,3.0,43,β
free,3.0,44,β
free,3.0,45,β
free,3.0,46,β
free,3.0,47,β
free,3.0,48,β
free,3.0,49,β
free,3.0,50,β
free,3.0,51,β
free,3.0,52,β
free,3.0,53,β
free,3.0,54,β
free,3.0,55,β
free,3.0,56,β
free,3.0,57,β
free,3.0,58,β
free,3.0,59,β
free,3.0,60,β
free,3.0,61,β
free,3.0,62,β
free,3.0,63,β
free,3.0,64,β
free,3.0,65,β
free,3.0,66,β
free,3.0,67,β
free,3.0,68,β
free,3.0,69,β
free,3.0,70,β
free,3.0,71,β
free,3.0,72,β
free,3.0,73,β
free,3.0,74,β
free,3.0,75,β
free,3.0,76,β
free,3.0,77,β
free,3.0,78,β
free,3.0,79,β
free,3.0,80,β
free,3.0,81,β
free,3.0,82,β
free,3.0,83,β
free,3.0,84,β
free,3.0,85,β
free,3.0,86,β
free,3.0,87,β
free,3.0,88,β
free,3.0,89,β
free,3.0,90,β
free,3.0,91,β
free,3.0,92,β
free,3.0,93,β
free,3.0,94,β
free,3.0,95,β
free,3.0,96,β
free,3.0,97,β
free,3.0,98,β
free,3.0,99,β
free,3.0,100,β
free,4.0,1,β
free,4.0,2,β
free,4.0,3,β
free,4.0,4,β
free,4.0,5,β
free,4.0,6,β
free,4.0,7,β
free,4.0,8,β
free,4.0,9,β
free,4.0,10,β
free,4.0,11,β
free,4.0,12,β
free,4.0,13,β
free,4.0,14,β
free,4.0,15,β
free,4.0,16,β
free,4.0,17,β
free,4.0,18,β
free,4.0,19,β
free,4.0,20,β
free,4.0,21,β
free,4.0,22,β
free,4.0,23,β
free,4.0,24,β
free,4.0,25,β
free,4.0,26,β
free,4.0,27,β
free,4.0,28,β
free,4.0,29,β
free,4.0,30,β
free,4.0,31,β
free,4.0,32,β
free,4.0,33,β
free,4.0,34,β
free,4.0,35,β
free,4.0,36,β
free,4.0,37,β
free,4.0,38,β
free,4.0,39,β
free,4.0,40,β
free,4.0,41,β
free,4.0,42,β
free,4.0,43,β
free,4.0,44,β
free,4.0,45,β
free,4.0,46,β
free,4.0,47,β
free,4.0,48,β
free,4.0,49,β
free,4.0,50,β
free,4.0,51,β
free,4.0,52,β
free,4.0,53,β
free,4.0,54,β
free,4.0,55,β
free,4.0,56,β
free,4.0,57,β
free,4.0,58,β
free,4.0,59,β
free,4.0,60,β
free,4.0,61,β
free,4.0,62,β
free,4.0,63,β
free,4.0,64,β
free,4.0,65,β
free,4.0,66,β
free,4.0,67,β
free,4.0,68,β
free,4.0,69,β
free,4.0,70,β
free,4.0,71,β
free,4.0,72,β
free,4.0,73,β
free,4.0,74,β
free,4.0,75,β
free,4.0,76,β
free,4.0,77,β
free,4.0,78,β
free,4.0,79,β
free,4.0,80,β
free,4.0,81,β
free,4.0,82,β
free,4.0,83,β
free,4.0,84,β
free,4.0,85,β
free,4.0,86,β
free,4.0,87,β
free,4.0,88,β
free,4.0,89,β
free,4.0,90,β
free,4.0,91,β
free,4.0,92,β
free,4.0,93,β
free,4.0,94,β
free,4.0,95,β
free,4.0,96,β
free,4.0,97,β
free,4.0,98,β
free,4.0,99,β
free,4.0,100,β
priced,1.0,1,α
priced,1.0,2,α
priced,1.0,3,α
priced,1.0,4,α
priced,1.0,5,α
priced,1.0,6,α
priced,1.0,7,α
priced,1.0,8,α
priced,1.0,9,α
priced,1.0,10,α
priced,1.0,11,α
priced,1.0,12,α
priced,1.0,13,α
priced,1.0,14,α
priced,1.0,15,α
priced,1.0,16,α
priced,1.0,17,α
priced,1.0,18,α
priced,1.0,19,α
priced,1.0,20,α
priced,1.0,21,α
priced,1.0,22,α
priced,1.0,23,α
priced,1.0,24,α
priced,1.0,25,α
priced,1.0,26,α
priced,1.0,27,α
priced,1.0,28,α
priced,1.0,29,α
priced,1.0,30,α
priced,1.0,31,α
priced,1.0,32,α
priced,1.0,33,α
priced,1.0,34,α
priced,1.0,35,α
priced,1.0,36,α
priced,1.0,37,α
priced,1.0,38,α
priced,1.0,39,α
priced,1.0,40,α
priced,1.0,41,α
priced,1.0,42,α
priced,1.0,43,α
priced,1.0,44,α
priced,1.0,45,α
priced,1.0,46,α
priced,1.0,47,α
priced,1.0,48,α
priced,1.0,49,α
priced,1.0,50,α
priced,1.0,51,α
priced,1.0,52,α
priced,1.0,53,α
priced,1.0,54,α
priced,1.0,55,α
priced,1.0,56,β
priced,1.0,57,α
priced,1.0,58,α
priced,1.0,59,α
priced,1.0,60,α
priced,1.25,1,α
priced,1.25,2,α
priced,1.25,3,α
priced,1.25,4,α
priced,1.25,5,α
priced,1.25,6,α
priced,1.25,7,α
priced,1.25,8,α
priced,1.25,9,α
priced,1.25,10,α
priced,1.25,11,α
priced,1.25,12,α
priced,1.25,13,α
priced,1.25,14,α
priced,1.25,15,α
priced,1.25,16,α
priced,1.25,17,α
priced,1.25,18,α
priced,1.25,19,α
priced,1.25,20,α
priced,1.25,21,α
priced,1.25,22,α
priced,1.25,23,α
priced,1.25,24,α
priced,1.25,25,α
priced,1.25,26,α
priced,1.25,27,α
priced,1.25,28,α
priced,1.25,29,α
priced,1.25,30,α
priced,1.25,31,α
priced,1.25,32,α
priced,1.25,33,α
priced,1.25,34,α
priced,1.25,35,α
priced,1.25,36,α
priced,1.25,37,α
priced,1.25,38,α
priced,1.25,39,α
priced,1.25,40,α
priced,1.25,41,α
priced,1.25,42,α
priced,1.25,43,α
priced,1.25,44,α
priced,1.25,45,α
priced,1.25,46,α
priced,1.25,47,α
priced,1.25,48,α
priced,1.25,49,α
priced,1.25,50,α
priced,1.25,51,α
priced,1.25,52,α
priced,1.25,53,α
priced,1.25,54,α
priced,1.25,55,α
priced,1.25,56,α
priced,1.25,57,α
priced,1.25,58,α
priced,1.25,59,α
priced,1.25,60,α
priced,1.5,1,α
priced,1.5,2,α
priced,1.5,3,α
priced,1.5,4,α
priced,1.5,5,α
priced,1.5,6,α
priced,1.5,7,α
priced,1.5,8,α
priced,1.5,9,α
priced,1.5,10,α
priced,1.5,11,α
priced,1.5,12,α
priced,1.5,13,α
priced,1.5,14,α
priced,1.5,15,α
priced,1.5,16,α
priced,1.5,17,α
priced,1.5,18,α
priced,1.5,19,α
priced,1.5,20,α
priced,1.5,21,α
priced,1.5,22,α
priced,1.5,23,α
priced,1.5,24,α
priced,1.5,25,α
priced,1.5,26,α
priced,1.5,27,α
priced,1.5,28,α
priced,1.5,29,α
priced,1.5,30,α
priced,1.5,31,α
priced,1.5,32,α
priced,1.5,33,α
priced,1.5,34,α
priced,1.5,35,α
priced,1.5,36,α
priced,1.5,37,β
priced,1.5,38,α
priced,1.5,39,α
priced,1.5,40,α
priced,1.5,41,α
priced,1.5,42,α
priced,1.5,43,α
priced,1.5,44,α
priced,1.5,45,α
priced,1.5,46,α
priced,1.5,47,α
priced,1.5,48,α
priced,1.5,49,α
priced,1.5,50,α
priced,1.5,51,α
priced,1.5,52,α
priced,1.5,53,α
priced,1.5,54,α
priced,1.5,55,α
priced,1.5,56,α
priced,1.5,57,α
priced,1.5,58,α
priced,1.5,59,α
priced,1.5,60,α
priced,2.0,1,β
priced,2.0,2,α
priced,2.0,3,α
priced,2.0,4,α
priced,2.0,5,α
priced,2.0,6,α
priced,2.0,7,α
priced,2.0,8,α
priced,2.0,9,α
priced,2.0,10,α
priced,2.0,11,α
priced,2.0,12,α
priced,2.0,13,α
priced,2.0,14,α
priced,2.0,15,α
priced,2.0,16,α
priced,2.0,17,β
priced,2.0,18,α
priced,2.0,19,α
priced,2.0,20,α
priced,2.0,21,α
priced,2.0,22,α
priced,2.0,23,α
priced,2.0,24,α
priced,2.0,25,α
priced,2.0,26,α
priced,2.0,27,α
priced,2.0,28,α
priced,2.0,29,α
priced,2.0,30,α
priced,2.0,31,α
priced,2.0,32,α
priced,2.0,33,α
priced,2.0,34,α
priced,2.0,35,α
priced,2.0,36,α
priced,2.0,37,α
priced,2.0,38,α
priced,2.0,39,α
priced,2.0,40,α
priced,2.0,41,α
priced,2.0,42,α
priced,2.0,43,α
priced,2.0,44,α
priced,2.0,45,α
priced,2.0,46,β
priced,2.0,47,α
priced,2.0,48,α
priced,2.0,49,α
priced,2.0,50,α
priced,2.0,51,α
priced,2.0,52,α
priced,2.0,53,α
priced,2.0,54,α
priced,2.0,55,α
priced,2.0,56,α
priced,2.0,57,α
priced,2.0,58,α
priced,2.0,59,α
priced,2.0,60,α
priced,2.5,1,α
priced,2.5,2,α
priced,2.5,3,α
priced,2.5,4,β
priced,2.5,5,α
priced,2.5,6,α
priced,2.5,7,α
priced,2.5,8,α
priced,2.5,9,α
priced,2.5,10,α
priced,2.5,11,α
priced,2.5,12,α
priced,2.5,13,α
priced,2.5,14,α
priced,2.5,15,α
priced,2.5,16,α
priced,2.5,17,α
priced,2.5,18,α
priced,2.5,19,α
priced,2.5,20,α
priced,2.5,21,α
priced,2.5,22,α
priced,2.5,23,α
priced,2.5,24,α
priced,2.5,25,α
priced,2.5,26,α
priced,2.5,27,α
priced,2.5,28,α
priced,2.5,29,α
priced,2.5,30,α
priced,2.5,31,α
priced,2.5,32,α
priced,2.5,33,α
priced,2.5,34,α
priced,2.5,35,α
priced,2.5,36,α
priced,2.5,37,α
priced,2.5,38,α
priced,2.5,39,α
priced,2.5,40,α
priced,2.5,41,α
priced,2.5,42,α
priced,2.5,43,α
priced,2.5,44,α
priced,2.5,45,α
priced,2.5,46,α
priced,2.5,47,α
priced,2.5,48,α
priced,2.5,49,α
priced,2.5,50,α
priced,2.5,51,β
priced,2.5,52,α
priced,2.5,53,α
priced,2.5,54,α
priced,2.5,55,α
priced,2.5,56,α
priced,2.5,57,α
priced,2.5,58,α
priced,2.5,59,α
priced,2.5,60,α
priced,3.0,1,α
priced,3.0,2,α
priced,3.0,3,α
priced,3.0,4,α
priced,3.0,5,α
priced,3.0,6,α
priced,3.0,7,α
priced,3.0,8,α
priced,3.0,9,α
priced,3.0,10,α
priced,3.0,11,α
priced,3.0,12,α
priced,3.0,13,α
priced,3.0,14,α
priced,3.0,15,α
priced,3.0,16,α
priced,3.0,17,α
priced,3.0,18,α
priced,3.0,19,α
priced,3.0,20,α
priced,3.0,21,α
priced,3.0,22,α
priced,3.0,23,α
priced,3.0,24,α
priced,3.0,25,α
priced,3.0,26,α
priced,3.0,27,α
priced,3.0,28,α
priced,3.0,29,α
priced,3.0,30,α
priced,3.0,31,α
priced,3.0,32,α
priced,3.0,33,α
priced,3.0,34,β
priced,3.0,35,α
priced,3.0,36,α
priced,3.0,37,α
priced,3.0,38,α
priced,3.0,39,α
priced,3.0,40,α
priced,3.0,41,α
priced,3.0,42,α
priced,3.0,43,α
priced,3.0,44,α
priced,3.0,45,α
priced,3.0,46,α
priced,3.0,47,α
priced,3.0,48,α
priced,3.0,49,α
priced,3.0,50,α
priced,3.0,51,β
priced,3.0,52,α
priced,3.0,53,α
priced,3.0,54,α
priced,3.0,55,α
priced,3.0,56,α
priced,3.0,57,α
priced,3.0,58,α
priced,3.0,59,α
priced,3.0,60,α
priced,4.0,1,α
priced,4.0,2,α
priced,4.0,3,α
priced,4.0,4,α
priced,4.0,5,β
priced,4.0,6,α
priced,4.0,7,α
priced,4.0,8,α
priced,4.0,9,α
priced,4.0,10,α
priced,4.0,11,α
priced,4.0,12,α
priced,4.0,13,α
priced,4.0,14,α
priced,4.0,15,α
priced,4.0,16,α
priced,4.0,17,α
priced,4.0,18,β
priced,4.0,19,α
priced,4.0,20,α
priced,4.0,21,α
priced,4.0,22,α
priced,4.0,23,α
priced,4.0,24,β
priced,4.0,25,α
priced,4.0,26,α
priced,4.0,27,α
priced,4.0,28,α
priced,4.0,29,α
priced,4.0,30,β
priced,4.0,31,α
priced,4.0,32,α
priced,4.0,33,α
priced,4.0,34,α
priced,4.0,35,α
priced,4.0,36,α
priced,4.0,37,α
priced,4.0,38,α
priced,4.0,39,α
priced,4.0,40,α
priced,4.0,41,α
priced,4.0,42,α
priced,4.0,43,α
priced,4.0,44,α
priced,4.0,45,α
priced,4.0,46,α
priced,4.0,47,α
priced,4.0,48,α
priced,4.0,49,α
priced,4.0,50,α
priced,4.0,51,α
priced,4.0,52,α
priced,4.0,53,α
priced,4.0,54,α
priced,4.0,55,α
priced,4.0,56,α
priced,4.0,57,α
priced,4.0,58,α
priced,4.0,59,β
priced,4.0,60,α
